year,soient_VERB également_ADV,soient_VERB egalement_ADV,soient_VERB légalement_ADV
1800,5.848145860909426e-07,1.2576657937302116e-08,9.432493897065797e-09
1801,7.357854201472946e-07,1.1905912700171939e-08,4.0480102825313224e-08
1802,6.154060656626825e-07,6.713520406265161e-09,2.2378401354217203e-09
1803,6.592146633010998e-07,7.801356893821776e-09,2.145373123596528e-08
1804,6.278501132328529e-07,4.943701892301533e-09,2.4718509461507665e-09
1805,5.373038902689586e-07,0.0,1.9900143755080535e-08
1806,7.06008961515181e-07,1.729001475325731e-08,2.881669125542885e-09
1807,5.209927849136875e-07,2.8469551160981155e-09,2.8469551160981155e-09
1808,4.872059093941061e-07,4.5321479902327155e-09,1.1330369531492579e-08
1809,5.421672994998517e-07,0.0,1.129515236897305e-08
1810,6.458749908233585e-07,2.3401267590372754e-09,3.042164919975221e-08
1811,5.590781029241043e-07,0.0,4.512738271955641e-08
1812,5.921202159697714e-07,2.6672082320544632e-09,1.600324850414836e-08
1813,5.665211233463197e-07,5.751483289628823e-09,2.0130190847567064e-08
1814,5.286417490424355e-07,6.293354282149721e-09,1.2586708564299443e-08
1815,4.531335662250058e-07,0.0,4.5852800667489646e-08
1816,6.442938911277452e-07,4.6352077731626196e-09,3.476405652236281e-08
1817,5.511332119567669e-07,0.0,1.5568733857662664e-08
1818,4.804234663424722e-07,3.5763532135746345e-09,5.48374146092101e-08
1819,5.351492973204586e-07,2.070210003424222e-09,1.5526575580793178e-08
1820,4.2126006860598864e-07,3.5599443393152796e-09,2.966620371580575e-08
1821,5.187142733120709e-07,3.94459531705138e-09,9.861488514673056e-09
1822,4.5917320790067606e-07,1.0025615893027862e-09,1.0025615893027862e-08
1823,3.755421005280368e-07,0.0,2.7671523739059012e-08
1824,5.397933477979677e-07,8.421112696055388e-10,2.863178316658832e-08
1825,4.781355755767436e-07,1.7610886082763955e-09,1.584979791857677e-08
1826,5.337638526725641e-07,8.807984341885344e-10,1.9377566218281572e-08
1827,5.00497947086842e-07,2.7651818612639545e-09,5.899054755786892e-08
1828,5.219039280746074e-07,9.172301140836225e-09,3.760643352279658e-08
1829,4.860990543420485e-07,0.0,2.2290258527846163e-08
1830,4.143423950608849e-07,6.262101504006523e-09,4.4878394334091354e-08
1831,4.630588250620349e-07,1.5591206103948707e-09,3.585977381703742e-08
1832,4.126640646973101e-07,1.3529969367098715e-09,2.570694235259907e-08
1833,4.818789420824032e-07,0.0,3.59092489077284e-08
1834,4.601923819791409e-07,0.0,3.360431222176885e-08
1835,4.144572187669837e-07,7.563087933704082e-10,1.5126175867408165e-08
1836,3.8913142930141476e-07,6.048674894287842e-09,5.309392392405243e-08
1837,4.7522394197585527e-07,1.3915781860163179e-09,4.174734513640033e-08
1838,3.8314823314067326e-07,3.1560809521380406e-09,2.209256599883247e-08
1839,4.3556889295359724e-07,2.0974426639952526e-09,3.076248944466897e-08
1840,3.815443392340967e-07,0.0,2.8026629905752998e-08
1841,4.0963098513202567e-07,1.926164561183441e-09,1.926164472365599e-08
1842,4.5012458826931834e-07,2.0124795163667386e-09,1.341653010911159e-08
1843,5.085850602881692e-07,1.7720733769266417e-09,1.4176587015413133e-08
1844,4.5664830850000726e-07,5.488561272137815e-10,5.0494762149355665e-08
1845,3.8838385307826684e-07,0.0,1.9530798311961917e-08
1846,5.204651642998215e-07,5.854501328173001e-10,1.9319854160926297e-08
1847,4.3091856127830397e-07,3.235934187273415e-09,3.235934187273415e-08
1848,4.545550211787486e-07,8.045221711050488e-10,4.263967667839097e-08
1849,3.6366660083331226e-07,0.0,1.8434713311421547e-08
1850,4.134498681196419e-07,1.3577992064028876e-09,2.5119284430275002e-08
1851,4.379168956347712e-07,6.449438760824933e-10,2.8377531435808123e-08
1852,4.498786836393265e-07,0.0,1.6276363368206148e-08
1853,4.102717241494247e-07,5.971931837933653e-10,2.5679307569248522e-08
1854,4.239662132476951e-07,1.0391328908454511e-09,1.1950028522278444e-08
1855,4.1128762973130506e-07,1.5920811335945473e-09,1.751289246954002e-08
1856,4.5145088733988814e-07,0.0,1.7084724746041502e-08
1857,3.480515999854106e-07,3.4170564155999728e-09,2.4895696171256532e-08
1858,3.547915241597366e-07,3.4255731584664773e-09,1.761723389392955e-08
1859,3.8751440456508135e-07,0.0,1.9859475841599306e-08
1860,3.382538977803051e-07,3.204028820036342e-09,2.197048232233101e-08
1861,3.871806200095307e-07,0.0,4.6688040100661965e-08
1862,3.722820736129506e-07,9.035972525772706e-10,1.9427341513278407e-08
1863,3.4512828506194637e-07,0.0,2.5472566278494924e-08
1864,3.433025312915561e-07,9.589455896019672e-10,3.931677028390368e-08
1865,3.8972672200543457e-07,0.0,2.9182434246877165e-08
1866,3.362138443208096e-07,4.865612912574591e-10,2.7247432754506917e-08
1867,3.911366093234392e-07,0.0,1.6014277903764196e-08
1868,5.522779247257859e-07,9.87974813071446e-10,2.8157282727647726e-08
1869,3.789610900639673e-07,9.767038289254515e-10,1.2208797528501236e-08
1870,3.6124507118984184e-07,6.307453670473251e-09,1.4335121534259088e-08
1871,4.32281922257971e-07,0.0,1.4869648623516696e-08
1872,3.259515892750642e-07,1.2094678591978436e-09,2.53988243770209e-08
1873,3.2144845363291097e-07,4.190203295451056e-09,2.0352414864532875e-08
1874,3.793876715008082e-07,5.974609140757536e-10,3.1067965977626955e-08
1875,3.3470934113211115e-07,3.432916173551348e-09,1.4303817685856757e-08
1876,3.440182467784325e-07,1.209202959984168e-09,2.418405919968336e-09
1877,3.234658834116999e-07,0.0,1.0514186854493346e-08
1878,3.3396159437870665e-07,6.039088673581716e-10,7.850815109122777e-09
1879,6.903537723701447e-07,0.0,1.588424503040642e-08
1880,3.228176694847207e-07,2.5671385017744797e-09,2.8238524407697696e-08
1881,3.4862537745539157e-07,3.4862537301449947e-09,2.1614773970668466e-08
1882,2.7553295467441785e-07,1.9966155395678697e-09,1.7969540522244642e-08
1883,3.0838373277219944e-07,0.0,1.9589950994713945e-08
1884,3.162212749430182e-07,6.601696966868076e-10,1.7824582698722224e-08
1885,3.190589552559686e-07,1.2891271383708158e-09,1.8047780159236027e-08
