year,tout_ADV également_ADV,tout_ADV egalement_ADV,tout_ADV légalement_ADV
1800,1.980823611802407e-07,0.0,0.0
1801,8.572257570449437e-08,0.0,0.0
1802,7.608656460433849e-08,0.0,0.0
1803,1.5017611509904327e-07,0.0,0.0
1804,7.415552971679062e-08,0.0,0.0
1805,5.970043304159844e-08,0.0,0.0
1806,1.037400902959007e-07,0.0,0.0
1807,6.832692633906845e-08,0.0,0.0
1808,5.891792298484688e-08,0.0,0.0
1809,7.00299480627109e-08,0.0,0.0
1810,2.574139479349924e-08,0.0,0.0
1811,1.504245972228091e-08,0.0,0.0
1812,1.1735716043403954e-07,5.3344164641089264e-09,0.0
1813,4.026038169513413e-08,0.0,0.0
1814,2.8320094713762956e-08,0.0,0.0
1815,4.315557688983063e-08,0.0,0.0
1816,1.2978581764855335e-07,0.0,0.0
1817,1.1053801074467628e-07,0.0,0.0
1818,6.318224166079744e-08,1.1921177378582115e-09,0.0
1819,4.34744116262209e-08,0.0,0.0
1820,5.814575754214957e-08,0.0,0.0
1821,1.1044866710108181e-07,0.0,0.0
1822,3.308453244699194e-08,1.0025615893027862e-09,0.0
1823,4.348382187657762e-08,0.0,0.0
1824,4.294767386170406e-08,0.0,8.421112696055388e-10
1825,7.572681104406342e-08,0.0,0.0
1826,4.844391554570393e-08,0.0,0.0
1827,5.8068820862899884e-08,0.0,0.0
1828,2.7516903700064432e-08,0.0,0.0
1829,4.029392641768936e-08,8.57317605795771e-10,0.0
1830,2.2961039292113128e-08,1.0436835840010872e-09,0.0
1831,2.3386808933878456e-08,0.0,0.0
1832,2.4353944638733083e-08,0.0,0.0
1833,3.1275796175123105e-08,0.0,0.0
1834,3.827157613045529e-08,0.0,0.0
1835,1.9664028627630614e-08,0.0,0.0
1836,9.005805168271763e-08,1.3441500135158435e-09,0.0
1837,2.99189295560609e-08,0.0,0.0
1838,6.690891751759409e-08,0.0,0.0
1839,3.4957377437194737e-08,0.0,4.894032734625853e-09
1840,2.4204817705708592e-08,0.0,0.0
1841,6.356343185132118e-08,0.0,0.0
1842,2.4149754196400863e-08,0.0,0.0
