year,voudrait_VERB imiter_VERB,voudrait_VERB limiter_VERB
1800,3.144164484325529e-09,0.0
1801,1.1905912700171939e-08,0.0
1802,0.0,2.2378401354217203e-09
1803,0.0,1.950339223455444e-09
1804,5.6852570651244605e-08,2.4718509461507665e-09
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,4.518061036407062e-09,0.0
1810,4.680253518074551e-09,0.0
1811,0.0,5.0141535368197765e-09
1812,2.9339290108509886e-08,0.0
1813,8.627225156487839e-09,0.0
1814,4.405347908686963e-08,0.0
1815,1.8880564667256294e-08,2.697223555614414e-09
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,3.113746815941454e-09,6.227493631882908e-09
1818,1.0729059418679299e-08,0.0
1819,3.001804671498576e-08,1.6561680027393777e-08
1820,2.1359666035891678e-08,9.493184904840746e-09
1821,2.5639868894700157e-08,9.86148829262845e-10
1822,1.5038423839541792e-08,4.010246357211145e-09
1823,1.2847492847356534e-08,9.882686891060644e-10
1824,1.2631669044083083e-08,7.57900142644985e-09
1825,5.283265824829186e-09,3.522177216552791e-09
1826,1.0569580766173203e-08,2.642395191543301e-09
1827,1.1060727445055818e-08,0.0
1828,2.384798314380987e-08,0.0
1829,2.3147574523818548e-08,2.571952872898464e-09
1830,1.1480519646056564e-08,1.0436835840010872e-09
1831,2.3386808933878456e-08,3.1182412207897414e-09
1832,1.7588959622116818e-08,0.0
1833,1.50587169400751e-08,3.4750886612755494e-09
1834,1.6802156110884425e-08,6.534171426153534e-09
1835,8.31939672707449e-09,0.0
1836,8.736974699274924e-09,2.016224964762614e-09
1837,2.6439986200443855e-08,2.0873671680021744e-09
1838,6.312161904276081e-09,1.2624323808552163e-09
1839,2.307186797168015e-08,4.194885327990505e-09
1840,2.5478755105723394e-08,2.5478754661634184e-09
1841,2.5040138851295524e-08,3.2102742686390684e-09
1842,1.0733224087289273e-08,6.037438549100216e-09
1843,2.1855571574747046e-08,4.7255288571079745e-09
1844,6.037417232818143e-09,4.390849017710252e-09
1845,2.2320911341466854e-08,1.2276501593078137e-08
1846,2.9272506196775794e-08,7.025401593807601e-09
1847,4.853901280910122e-09,6.47186837454683e-09
1848,1.448139919091318e-08,3.218088684420195e-09
1849,2.9327951622803994e-08,3.3517659758786067e-09
1850,2.308258650884909e-08,1.6293590476834652e-08
1851,1.7413483988093503e-08,6.449438760824933e-09
1852,4.557382027314816e-09,1.3021090872200602e-09
1853,4.180352064508952e-09,1.1943863675867306e-09
1854,9.871762074453727e-09,0.0
1855,9.021793090369101e-09,0.0
1856,1.863788057221427e-08,2.0708756931497874e-09
1857,1.5620829074691756e-08,1.4644527812635033e-09
1858,8.31924928945682e-09,1.1255455234504552e-08
1859,1.3748867822016564e-08,8.147477359443656e-09
1860,1.1442959468865865e-08,7.323494255473406e-09
1861,1.650587222457034e-08,1.226150558863992e-08
1862,5.421583626485926e-09,3.6143890103090826e-09
