year,tout_ADV eu_VERB,tout_ADV lu_VERB
1800,2.829748035892976e-08,0.0
1801,7.381665767525192e-08,0.0
1802,6.265952379180817e-08,0.0
1803,3.90067853572873e-08,0.0
1804,4.9437020477327565e-08,0.0
1805,8.24434520652062e-08,2.842877711017877e-09
1806,7.204172813857213e-08,1.4408345627714425e-08
1807,9.394952016350544e-08,2.8469551160981155e-09
1808,8.837688403318111e-08,4.5321479902327155e-09
1809,9.262025146838937e-08,2.4849335034105025e-08
1810,8.658469141664682e-08,4.680253518074551e-09
1811,7.521230349638586e-08,1.7549536934780008e-08
1812,7.468183138570339e-08,8.00162425207418e-09
1813,1.5241430517676235e-07,2.8757416448144113e-09
1814,9.440031245588898e-08,0.0
1815,9.170560044680087e-08,0.0
1816,8.111613780670268e-08,9.270415546325239e-09
1817,1.1987925141454525e-07,0.0
1818,9.65615352122029e-08,2.384235475716423e-09
1819,1.0247539350416446e-07,3.1053151161586356e-09
1820,1.079849791807419e-07,0.0
1821,9.17118416765561e-08,0.0
1822,9.524335098376469e-08,2.3058916553964082e-08
1823,8.696764552951208e-08,1.3835761869529506e-08
1824,1.1284290923896378e-07,0.0
1825,1.0038205200402217e-07,1.4969252504215547e-08
1826,9.336463513420767e-08,2.025836387531399e-08
1827,1.0231173064312316e-07,4.608636583469661e-09
1828,9.630916242286958e-08,1.2841221419535032e-08
1829,9.773420917014164e-08,6.858540846366168e-09
1830,1.0541203909752994e-07,1.0436835395921662e-08
1831,1.3252525299378703e-07,0.0
1832,1.244757150686837e-07,2.705993873419743e-09
1833,1.0656937909914177e-07,4.6334514003376626e-09
1834,1.092140120562135e-07,9.334530925997342e-10
1835,1.3916081087472776e-07,7.563087933704082e-09
1836,1.1694104973258845e-07,1.747394939854985e-08
1837,1.1897993701381893e-07,0.0
1838,1.2056229614643144e-07,1.1361890983607736e-08
1839,1.0557127616550588e-07,6.9914749545318955e-09
1840,1.1146955358753985e-07,1.0828470564661075e-08
1841,1.1364370866573381e-07,7.704658244733764e-09
1842,1.495943084961482e-07,1.8783142152756227e-08
1843,1.4885416543819474e-07,2.3627643841450663e-08
1844,1.5367972050484013e-07,1.3721403568922597e-08
1845,1.5289823895869858e-07,2.0646844234306627e-08
1846,1.586569808864624e-07,1.6978054517835517e-08
1847,1.5586416779456158e-07,9.168480197274675e-09
1848,1.198738033281188e-07,1.287235473768078e-08
1849,1.2904298873905873e-07,1.9272654583346593e-08
1850,1.5614690607179682e-07,1.9009188889640427e-08
1851,1.896134946832717e-07,1.483370937194195e-08
1852,1.5690415011704317e-07,5.859490670445666e-09
1853,1.8453268779694554e-07,1.1346670270029335e-08
1854,1.8600479201325015e-07,1.0391328686409906e-08
1855,2.250141406534567e-07,1.326734277995456e-08
1856,2.0708756842680032e-07,2.9509978460851016e-08
1857,2.0355893148860105e-07,1.6597130780837688e-08
1858,1.575763679539932e-07,2.4468380654951716e-09
1859,1.751707632280386e-07,2.0877910955618972e-08
1860,1.6157458482268794e-07,1.0069804545764782e-08
1861,1.9476930468442788e-07,1.6977470096435354e-08
1862,1.6671369174048323e-07,9.487771457372673e-09
1863,2.002842993675813e-07,2.1476870060155306e-08
1864,1.7117178341408135e-07,1.102787461348953e-08
1865,1.8921514310932253e-07,8.943004559114343e-09
1866,2.1797945670698482e-07,1.751620715140234e-08
1867,2.149795506056762e-07,1.067618526917613e-08
1868,1.60051925490734e-07,3.457911734727759e-09
1869,1.49435682494925e-07,6.348574999037737e-09
1870,1.3876398696766046e-07,1.7202147262196377e-08
1871,1.5825554111614792e-07,1.3807530230280918e-08
1872,1.2638938784448328e-07,9.675742873582749e-09
1873,1.4605850395810194e-07,1.0176207432266438e-08
1874,1.6728905194440813e-07,1.0156835372754358e-08
1875,1.447546420507706e-07,9.154443425529735e-09
1876,1.5961479427062386e-07,3.02300739996042e-09
1877,1.3853987823608804e-07,2.4739263970730008e-09
1878,1.50977216506476e-07,1.268208649207736e-08
1879,1.3623795247497128e-07,1.588424503040642e-08
1880,1.5723723478799911e-07,5.134277003548959e-09
1881,1.9174395227139485e-07,8.367009307619355e-09
1882,1.7902985760542833e-07,8.652000893505374e-09
1883,1.819969668304111e-07,1.0110942305630033e-08
1884,1.6636276622961077e-07,4.621187876807653e-09
1885,2.1270598349332204e-07,3.86738152613475e-09
1886,1.8456906758501646e-07,1.677900662855336e-08
1887,2.441817752441011e-07,1.3057849024278312e-08
