year,fût_VERB à_ADP,fût_VERB a_ADP,fût_VERB las_ADJ
1800,1.7230021285286057e-06,0.0,5.345079756580162e-08
1801,1.6382535932280007e-06,0.0,1.904946067554647e-08
1802,1.331514908997633e-06,0.0,2.0140561218795483e-08
1803,1.4217972648111754e-06,1.950339223455444e-09,2.3404069793286908e-08
1804,2.358145820835489e-06,0.0,6.179627121127851e-08
1805,1.8450276684234268e-06,2.842877711017877e-09,2.842877755426798e-08
1806,1.9336000605107984e-06,2.881669125542885e-09,2.5935023018064385e-08
1807,1.839133005887561e-06,5.693910232196231e-09,0.0
1808,1.590783995197853e-06,4.5321479902327155e-09,2.2660739951163578e-09
1809,1.845627934926597e-06,2.259030518203531e-09,2.710836710662079e-08
1810,2.349487203900935e-06,0.0,7.020380277111826e-09
1811,1.75996785856114e-06,5.0141535368197765e-09,4.011322829455821e-08
1812,1.6910099702727166e-06,2.6672082320544632e-09,2.6672082320544632e-09
1813,1.967007392522646e-06,0.0,2.300593315851529e-08
1814,2.114566996169742e-06,9.440030979135372e-09,6.922689976818219e-08
1815,1.7666814073891146e-06,0.0,2.1577788444915313e-08
1816,1.779919784894446e-06,0.0,0.0
1817,1.8604637261887547e-06,0.0,0.0
1818,2.0015656900795875e-06,4.768470951432846e-09,5.960588467246453e-09
1819,1.942892140505137e-06,2.070210003424222e-09,3.519356894798875e-08
1820,1.9010102505490067e-06,1.1866481131050932e-09,2.254631326081835e-08
1821,1.9930068901885534e-06,9.86148829262845e-10,9.861488514673056e-09
1822,2.0863305962848244e-06,1.0025615893027862e-09,6.015369535816717e-09
1823,2.7720936941477703e-06,5.929612356680991e-09,4.0519015698237126e-08
1824,2.1162256871321006e-06,2.5263338088166165e-09,1.3473780313688621e-08
1825,2.434705038467655e-06,1.7610886082763955e-09,2.201360693732113e-08
1826,2.3860829969635233e-06,4.403992170942672e-09,2.554315514657901e-08
1827,2.3568566120957257e-06,3.6869091668556564e-09,9.217273055917019e-10
1828,2.247213842565543e-06,3.6689205562545624e-09,2.7516904310687096e-08
1829,2.240170942968689e-06,1.714635211591542e-09,8.573175946935407e-09
1830,2.151031821995275e-06,3.1310507520032616e-09,7.305785310052215e-09
1831,1.9457825146673713e-06,6.236482219534878e-09,3.1182412207897414e-09
1832,2.0403194866958074e-06,1.0823975604701275e-08,6.764984572527055e-09
1833,1.7607114841666771e-06,5.791814250422078e-09,1.2741991461950875e-08
1834,1.8379691937298048e-06,1.213489042584115e-08,3.733812370398937e-09
1835,2.219766201960738e-06,3.025235173481633e-09,1.1344631900556124e-08
1836,1.977244664885802e-06,4.70452493628315e-09,1.344150035720304e-08
1837,2.0609272723959293e-06,8.349469338142512e-09,1.3915781860163179e-09
