year,serait_VERB à_ADP,serait_VERB a_ADP,serait_VERB là_ADV
1800,4.549605819192948e-06,3.772997558826319e-08,1.7921738049153646e-07
1801,4.512341092777206e-06,3.095537337571841e-08,2.6193009716735105e-07
1802,4.786740191775607e-06,5.818384352096473e-08,1.7902721083373763e-07
1803,3.941635441151448e-06,1.0726865795618323e-07,1.911332390136522e-07
1804,5.522114861378213e-06,4.69651695311768e-08,2.644880510160874e-07
1805,3.42851058121596e-06,4.8328920865259306e-08,1.9331568523739406e-07
1806,3.4464762848074315e-06,9.797675115663651e-08,9.797675204481493e-08
1807,4.034135599795263e-06,3.4163461837266595e-08,1.822051274302794e-07
1808,3.7299578252714127e-06,3.172503637571822e-08,2.334056148356467e-07
1809,4.10014035878703e-06,4.292158006791169e-08,2.213849938925705e-07
1810,4.481342784856679e-06,7.254392997424475e-08,2.5507381451461697e-07
1811,4.595471637003357e-06,4.763445726752025e-08,1.4791753244480788e-07
1812,5.5211212384165265e-06,5.3344164641089264e-08,2.3738152776786592e-07
1813,6.01030023972271e-06,5.176335093892703e-08,2.2718359105056152e-07
1814,4.50918832939351e-06,2.8320093825584536e-08,3.681612383843458e-07
1815,4.391079983179225e-06,5.66416948899473e-08,1.9959453823048534e-07
1816,3.895891950378427e-06,6.952811837379613e-08,2.016315363562171e-07
1817,5.0364856178930495e-06,8.407116713904372e-08,3.7676335296055186e-07
1818,6.078608294046717e-06,5.8413767822784735e-08,3.9816731600694766e-07
1819,5.196226993575692e-06,7.142224289768961e-08,4.0886646957005723e-07
1820,6.120731086411979e-06,8.187872069242985e-08,4.070203090122959e-07
1821,7.126897799025755e-06,1.0453177790026302e-07,5.621048444481858e-07
1822,6.198838491400238e-06,9.524335098376469e-08,3.9400669038514025e-07
1823,5.492797299666563e-06,9.388552379974158e-08,4.0420189861833933e-07
1824,5.762567525380291e-06,6.400045471366411e-08,3.6716050999530125e-07
1825,5.9824178606504574e-06,7.924899136924068e-08,4.261834476437798e-07
1826,5.953316758677829e-06,8.54374507808231e-08,4.183792441381229e-07
1827,7.699188245169353e-06,8.295545939063231e-08,5.77001287638268e-07
1828,6.4646378632460255e-06,9.080577934028611e-08,6.604057034564903e-07
1829,7.961050869198516e-06,6.429881826974793e-08,6.395589480234776e-07
1830,7.147144970076624e-06,1.262857118877747e-07,6.397780225597671e-07
1831,7.348135568463476e-06,9.978371995345015e-08,9.448270930079161e-07
1832,7.664727490919176e-06,8.794480221840928e-08,8.929779937716376e-07
1833,6.927009962964803e-06,5.791814139399776e-08,8.5487175738308e-07
1834,7.311738045245875e-06,1.0174638620519261e-07,1.0333325235478696e-06
1835,6.572323400177993e-06,7.487457054367042e-08,8.697551265868242e-07
1836,6.684458185191033e-06,9.140219769943059e-08,8.831065656522696e-07
1837,7.0671298999513965e-06,8.627784886527934e-08,9.09396362658299e-07
1838,6.741388915543212e-06,7.890202535776325e-08,8.622413361081271e-07
1839,6.811794264649507e-06,7.341049279574463e-08,9.557346629662788e-07
1840,7.063347766234074e-06,8.662776718182386e-08,1.0694707270886283e-06
1841,7.179457497841213e-06,7.512041477752973e-08,1.2879620499006705e-06
1842,7.249621830851538e-06,8.586579536284944e-08,1.2510914757513092e-06
1843,7.230649771372555e-06,8.328744405261546e-08,1.1831542678919504e-06
1844,7.092318810464349e-06,9.604982320610134e-08,1.4879489071972785e-06
1845,7.097492016328033e-06,1.0435025982191704e-07,1.4034272908247658e-06
1846,7.156542324082693e-06,1.0889372581424084e-07,1.2809648524125805e-06
1847,7.260896836669417e-06,1.1433633950730382e-07,1.3779686014459003e-06
1848,7.462747817044146e-06,8.849743893257767e-08,1.4497489928544383e-06
1849,7.053791705402546e-06,1.1814975309221154e-07,1.5300811355700716e-06
1850,6.337527793220943e-06,1.1269733324326126e-07,1.2837991789638181e-06
1851,6.584231869055657e-06,1.0641573955361139e-07,1.3337439668248408e-06
1852,6.3861939452181105e-06,1.3216407390714835e-07,1.1061416671509505e-06
1853,6.115855285315774e-06,9.85368719952362e-08,1.1854284593937336e-06
1854,6.181282060424564e-06,8.105236215527611e-08,1.325933567386528e-06
1855,6.206462785485201e-06,9.60555652795847e-08,1.2450074109437992e-06
1856,6.089927865104983e-06,8.801221662579906e-08,1.2989568176635657e-06
1857,6.059905444999458e-06,1.0007093376174225e-07,1.1710740182024892e-06
1858,6.008455329720164e-06,8.808616724920171e-08,1.320313799624273e-06
1859,6.086674602556741e-06,9.827894809077975e-08,1.4110412394074956e-06
1860,6.405768999684369e-06,9.428998754001938e-08,1.1983067906840006e-06
1861,6.1958330661582295e-06,9.196129235888861e-08,1.2247357972228201e-06
1862,6.3522888922307175e-06,1.0301008801505418e-07,1.1624778153418447e-06
1863,6.15886710875202e-06,8.091285802480641e-08,1.2956046475665062e-06
1864,6.189993655425496e-06,7.527723067113357e-08,1.4782145854042028e-06
1865,6.444140581152169e-06,1.1249358133902376e-07,1.422408331563929e-06
1866,6.01146484768833e-06,8.174229854107651e-08,1.4952028095649439e-06
1867,6.7934506660094485e-06,8.58947650783648e-08,1.3859629461876466e-06
1868,7.05661022948334e-06,9.336361928014014e-08,1.4197197515386506e-06
1869,6.4726164055173285e-06,8.69266413294767e-08,1.3043879789620405e-06
1870,6.41238693788182e-06,8.543732343824217e-08,1.371011080664175e-06
1871,6.889957603561925e-06,9.13421269732595e-08,1.517766236247553e-06
1872,6.528102858283091e-06,7.317280226182277e-08,1.270546022169583e-06
1873,6.412806669686688e-06,6.345164571541773e-08,1.344456563856511e-06
1874,6.434056558646262e-06,7.289022807555057e-08,1.3759524790657451e-06
1875,7.0260352913464885e-06,6.579756250957303e-08,1.3182398106437176e-06
1876,6.663312888122164e-06,8.585341126909896e-08,1.3482613212545402e-06
1877,5.963399416941684e-06,8.349501401383463e-08,1.277782985198428e-06
1878,5.937632067798404e-06,8.69628764554875e-08,1.3141057024768088e-06
1879,6.906592261657352e-06,1.0385853221883679e-07,1.529164137537009e-06
1880,6.664933152933372e-06,7.63723717600584e-08,1.367001232210896e-06
1881,6.395880973286694e-06,9.273435264134378e-08,1.3387214039539685e-06
1882,6.632091299252352e-06,8.785108596143232e-08,1.3776647165286704e-06
1883,6.646680503763491e-06,8.34152706907787e-08,1.1564389978957479e-06
1884,6.19701313553378e-06,8.318137822982408e-08,1.2173529739811784e-06
1885,6.167184437799733e-06,9.668453637701191e-08,1.300084704780602e-06
1886,6.025599304848583e-06,9.744730555816261e-08,1.353936681880441e-06
1887,6.053619017620804e-06,7.834709792042815e-08,1.2822807775592082e-06
1888,5.894235528103309e-06,8.433017617548444e-08,1.2110574516555062e-06
1889,6.0953516367590055e-06,6.766347659947769e-08,1.2054123317284393e-06
1890,6.367586593114538e-06,8.84842172865774e-08,1.1981418310824665e-06
1891,5.986029918858549e-06,9.433846004380797e-08,1.2608206816366874e-06
1892,6.0428460528783035e-06,9.590823912830615e-08,1.2204793620185228e-06
1893,5.570287612499669e-06,7.636436616387243e-08,1.2292199471630738e-06
1894,5.936680281592999e-06,9.51532448389969e-08,1.1689355687849456e-06
1895,6.282831691351021e-06,8.064943424201942e-08,1.2861779623563052e-06
