year,aient_VERB assez_ADV,aient_VERB lassé_VERB
1800,2.6096566330124915e-07,6.288328968651058e-09
1801,1.9049460320275102e-07,0.0
1802,1.9469209178168967e-07,0.0
1803,1.794312112224361e-07,0.0
1804,1.97748079244775e-07,0.0
1805,2.1321582721611776e-07,0.0
1806,1.873084869430386e-07,0.0
1807,7.971474502710407e-08,0.0
1808,2.741949458595627e-07,0.0
1809,2.41716264781644e-07,0.0
1810,1.427477371862551e-07,0.0
1811,1.42903374467096e-07,0.0
1812,1.7870294755084615e-07,0.0
1813,1.4378707646756084e-07,0.0
1814,2.643208745212178e-07,0.0
1815,1.8880564311984926e-07,0.0
1816,2.3176039576355834e-07,0.0
1817,1.6502858102285245e-07,0.0
1818,2.443841253807477e-07,9.536941902865692e-09
1819,1.738976465048836e-07,1.2421260464634543e-08
1820,1.874904000942479e-07,2.254631326081835e-08
1821,1.6370070454740926e-07,9.86148829262845e-10
1822,2.406147814326687e-07,0.0
1823,1.5416991061556473e-07,0.0
1824,1.7263280938095704e-07,0.0
1825,1.576174355477633e-07,0.0
1826,1.9113325322450692e-07,1.7615968683770689e-09
1827,2.037017310385636e-07,0.0
1828,1.770254129951354e-07,0.0
1829,1.2345373079369892e-07,0.0
1830,1.8368831433690502e-07,0.0
1831,1.4811645598911127e-07,0.0
1832,1.2582871988797706e-07,0.0
1833,1.7259606011066353e-07,0.0
1834,1.736222685622124e-07,9.334530925997342e-10
1835,1.4218605315363675e-07,3.781543966852041e-09
1836,1.7406742358616611e-07,2.688300027031687e-09
1837,1.544651837548372e-07,0.0
1838,1.5149188925533963e-07,1.2624323808552163e-09
1839,1.3563462175625318e-07,0.0
1840,1.0127804728199408e-07,0.0
1841,1.4767262257464608e-07,0.0
1842,1.4825265282070177e-07,0.0
1843,1.0159887153804448e-07,0.0
1844,1.7179196731831325e-07,0.0
1845,1.2499710067004344e-07,3.9061593959388574e-09
1846,1.2235908286584163e-07,1.7563503984519002e-09
1847,1.310553301436812e-07,0.0
1848,1.504456434986423e-07,0.0
1849,9.971503800443315e-08,0.0
1850,9.572484316322516e-08,0.0
1851,9.996630012665264e-08,0.0
1852,1.1133032984389502e-07,0.0
1853,1.1227231766497425e-07,0.0
1854,1.288524771325683e-07,0.0
1855,1.2524371584277105e-07,0.0
1856,1.113095677851561e-07,5.177189232874468e-10
1857,8.298565745690212e-08,0.0
1858,1.0912897607795458e-07,0.0
1859,9.420520541425503e-08,0.0
1860,8.010071894659632e-08,1.8308735638683515e-09
1861,8.583054267319312e-08,0.0
1862,1.0391368476803109e-07,0.0
1863,9.589672345100553e-08,0.0
1864,9.73329790099342e-08,0.0
1865,1.0543331541157386e-07,1.882737743486018e-09
1866,9.196008221579177e-08,1.9462451650298362e-09
1867,7.958610837022206e-08,1.94112459439566e-09
1868,9.879747864260935e-08,2.4699371437009177e-09
1869,7.325278517100742e-08,4.883519144627257e-10
1870,8.199689460752779e-08,0.0
1871,1.0196330180178848e-07,0.0
1872,6.47065334646868e-08,0.0
1873,6.584605216630735e-08,2.3944017879529156e-09
1874,8.543690910300938e-08,0.0
1875,8.124568751100014e-08,0.0
1876,8.948101992700686e-08,0.0
1877,9.277223966819292e-08,5.566334504436554e-09
1878,6.401433694236403e-08,0.0
