year,aient_VERB eu_VERB,aient_VERB lu_VERB
1800,1.7292904885835014e-06,4.4018303668735825e-08
1801,1.4263283674154081e-06,2.3811825400343878e-08
1802,1.6403367908424116e-06,1.5664880947952042e-08
1803,1.6948447409959044e-06,7.801356893821776e-09
1804,1.3273839840621804e-06,1.2359254952798437e-08
1805,1.7682699535725988e-06,1.1371510844071508e-08
1806,1.685776396698202e-06,8.645007376628655e-09
1807,1.4889575368215446e-06,1.7081731584767113e-08
1808,1.5658571328458493e-06,6.798221985349073e-09
1809,1.6061707128756098e-06,1.129515236897305e-08
1810,1.4110964912106283e-06,7.488405628919281e-08
1811,1.4290337730926694e-06,0.0
1812,1.6803411426735693e-06,0.0
1813,1.6794331259006867e-06,2.8757416004054903e-08
1814,1.5922186094030621e-06,4.72001566720337e-08
1815,2.0121287889196537e-06,2.4275012222574333e-08
1816,1.5018073327155435e-06,1.3905623319487859e-08
1817,1.7795063058656524e-06,3.113746771532533e-08
1818,1.633201350159652e-06,2.5034472272977837e-08
1819,1.928400706674438e-06,4.6579724966022695e-08
1820,1.561628891977307e-06,3.322614716694261e-08
1821,1.9308793071104446e-06,3.4515210245444905e-08
1822,1.6191369240914355e-06,2.5064039732569654e-08
1823,1.298585061704216e-06,4.15072847204101e-08
1824,1.5292740727090859e-06,1.3473780313688621e-08
1825,1.6369318700526492e-06,1.4088708866211164e-08
1826,1.4709333981954842e-06,3.787433300317389e-08
1827,1.6286921891150996e-06,2.949527377893446e-08
1828,1.709716912046133e-06,4.769596628761974e-08
1829,1.7334962194581749e-06,3.943661042171698e-08
1830,1.974649421754293e-06,3.444155893816969e-08
1831,1.7165917824968346e-06,3.897801548191637e-08
1832,1.6168313550224411e-06,4.6001897402447867e-08
1833,1.4583788470190484e-06,2.548398292390175e-08
1834,1.7511580381324166e-06,4.667265329771908e-08
1835,1.5723659316790872e-06,2.4958190181223472e-08
1836,1.5256102869898314e-06,2.352262562510532e-08
1837,1.723469608805317e-06,3.1310509740478665e-08
1838,1.6329562413375243e-06,8.2058102535143e-09
1839,1.6548822259210283e-06,3.705481788074394e-08
1840,1.546560383758333e-06,2.356784811752277e-08
