year,soit_VERB également_ADV,soit_VERB egalement_ADV,soit_VERB légalement_ADV
1800,5.753821028520179e-07,0.0,2.2009151834367913e-08
1801,6.357757342811965e-07,7.143547975374531e-09,1.6668277424969347e-08
1802,4.498058672197658e-07,2.2378401354217203e-09,2.4616241489638924e-08
1803,6.241085657165968e-07,1.3652374342143503e-08,2.7304748684287006e-08
1804,5.116731358612014e-07,7.4155526164076946e-09,5.19088700912107e-08
1805,5.600468853117491e-07,0.0,4.5486043376286034e-08
1806,6.42612235424167e-07,1.152667650217154e-08,2.881669125542885e-08
1807,5.323806249180052e-07,2.8469551160981155e-09,2.2775640218242188e-07
1808,5.234630862105405e-07,2.2660739951163578e-09,1.4956088989492855e-07
1809,7.545161793132138e-07,9.036122072814123e-09,8.810219043198231e-08
1810,5.405692604654178e-07,2.3401267590372754e-09,6.084329839950442e-08
1811,3.986252181675809e-07,2.5070767684098882e-09,4.763445815569867e-08
1812,5.547793193727557e-07,2.6672082320544632e-09,1.4136203674297576e-07
1813,4.658701584503433e-07,0.0,9.202373263406116e-08
1814,4.877349510934437e-07,3.1466771410748606e-09,4.1536137018738373e-07
1815,4.7471135644627793e-07,5.394447111228828e-09,1.348611817775236e-07
1816,5.840361723130627e-07,2.3176038865813098e-09,1.1588019788177917e-07
1817,4.904151182927308e-07,1.556873407970727e-09,8.251429051142622e-08
1818,4.553889709768555e-07,0.0,9.179306914575136e-08
1819,4.989205990568735e-07,2.070210003424222e-09,1.2731791798614722e-07
1820,4.248200298206939e-07,7.119888678630559e-09,1.0086508694939766e-07
1821,3.224706688342849e-07,1.97229765852569e-09,7.297501269931672e-08
1822,4.7421161752936314e-07,1.0025615893027862e-09,1.162971443591232e-07
1823,4.2792035515049065e-07,9.882686891060644e-10,9.586206317635515e-08
1824,3.8147641134855803e-07,8.421112696055388e-09,1.0189546628680546e-07
1825,3.8655895195915946e-07,0.0,7.836844417852262e-08
1826,5.593070113718568e-07,8.807984341885344e-10,1.2507338453815464e-07
1827,5.364452704270661e-07,3.6869092223668076e-09,1.44711179927981e-07
1828,5.237383788880834e-07,1.1006761724274838e-08,1.8344601926401083e-07
1829,6.206979605849483e-07,1.0287811491593857e-08,1.2602568233432976e-07
1830,4.623518350399536e-07,4.174734336004349e-09,2.0143093593105732e-07
1831,3.1650148457629257e-07,0.0,2.104812892866903e-07
1832,3.896631142197293e-07,1.3529969367098715e-09,2.4759845018706983e-07
1833,3.9616008962184424e-07,0.0,1.610124371609345e-07
1834,5.133991862749099e-07,9.334530925997342e-10,1.4095141409598e-07
1835,4.235329242874286e-07,0.0,1.0210168710500511e-07
1836,3.8509898558913847e-07,6.720750067579218e-10,9.879502727017098e-08
1837,3.771176864120207e-07,0.0,5.148839221646995e-08
1838,4.0208470863944967e-07,0.0,1.1677499855977658e-07
1839,4.6423394906014437e-07,1.3982950353153e-09,1.1605848726503609e-07
1840,4.3568670093918627e-07,3.1848443882154243e-09,8.72647376581881e-08
1841,4.1284127405560866e-07,0.0,1.3611563076665334e-07
1842,4.809825782103871e-07,2.0124795163667386e-09,1.301403358411335e-07
1843,5.546589250116085e-07,2.953455480181333e-09,1.1223131224369354e-07
1844,5.126316295900324e-07,2.7442805805577564e-09,9.879410356461449e-08
1845,4.2856152049353113e-07,2.2320911785556063e-09,1.2778721725226205e-07
1846,4.074732942171977e-07,3.5127007969038004e-09,1.0596647115335145e-07
1847,4.713677412837569e-07,5.393223645455691e-10,1.1541498423639496e-07
1848,4.601866692155454e-07,8.045221711050488e-10,2.598606556603045e-07
1849,5.815314239043801e-07,2.513824481908955e-09,2.4635480144752364e-07
1850,4.74550830631415e-07,0.0,2.1385336879120587e-07
1851,4.050247639497684e-07,0.0,1.5478653381251206e-07
1852,5.638132165586285e-07,0.0,2.194053791981787e-07
1853,4.007166296560172e-07,1.1943863675867306e-09,1.23618988823182e-07
1854,4.094183623237768e-07,5.195664454227256e-10,1.1118721943148557e-07
1855,2.9665778811249766e-07,1.0613874223963649e-09,9.234070574848374e-08
1856,5.337682296158164e-07,8.801221973442352e-09,8.594134470740755e-08
1857,4.837575602323341e-07,1.4644527812635033e-09,9.226052100075322e-08
1858,4.326009559463273e-07,4.893676019968041e-10,7.29157747514364e-08
1859,4.893578307019197e-07,1.5276520048956854e-09,1.2934120263707882e-07
1860,4.435291316440271e-07,0.0,1.2037993712965545e-07
1861,5.428074132396432e-07,2.357981809808507e-09,1.0233641489776346e-07
1862,4.377928632948169e-07,9.035972525772706e-10,7.409497726484915e-08
1863,4.834793116970104e-07,1.4983863039219614e-09,7.841554605647616e-08
1864,4.497454710872262e-07,0.0,6.760566151342573e-08
1865,5.346975058273529e-07,1.882737743486018e-09,9.601962602800995e-08
1866,5.196474717195088e-07,4.865612912574591e-10,6.130672147719451e-08
1867,4.333560639224743e-07,3.396968040192405e-09,7.036576477048584e-08
1868,6.490994337582379e-07,9.87974813071446e-10,6.86642493974432e-08
1869,4.824917141377227e-07,2.441759683335931e-09,1.4211040877398773e-07
1870,3.927823399862973e-07,1.1468097582678638e-09,9.403839840160799e-08
1871,4.4715156377606036e-07,1.0621177271019633e-09,7.434824311758348e-08
1872,3.6707348272102536e-07,2.4189357183956872e-09,5.2611852652262314e-08
1873,3.651462634479685e-07,1.1972008939764578e-09,8.200826329129995e-08
1874,3.8954451042627625e-07,0.0,9.081406204813902e-08
1875,3.8105369526419963e-07,1.1443054281912168e-09,5.778742462325681e-08
1876,3.984323768690956e-07,0.0,7.13429741949767e-08
1877,3.840770830265683e-07,1.8554447978047506e-09,5.813727099734933e-08
1878,4.511199165335711e-07,1.2078177347163432e-09,4.5293166550663955e-08
1879,6.750804573130154e-07,0.0,6.292604837199178e-08
1880,5.249798391560034e-07,0.0,7.637237331437063e-08
1881,3.5978138157588546e-07,6.972507571312292e-10,6.414706632540401e-08
1882,3.4009016758318467e-07,0.0,8.319231170617059e-08
1883,4.0317382854482275e-07,6.319338941018771e-10,7.393626333396242e-08
1884,4.066645260536461e-07,1.3203393933736152e-09,5.413391335196138e-08
1885,4.015631134279829e-07,0.0,6.574548194748786e-08
1886,3.6397537428456417e-07,6.453463874400711e-10,5.808117364836107e-08
1887,3.5909084772356437e-07,6.528924623161458e-10,6.528924956228366e-08
1888,4.134080882067792e-07,1.268122939990235e-09,5.135897751529228e-08
1889,3.5711278201233654e-07,0.0,4.9494580878217675e-08
1890,3.644238972810854e-07,0.0,8.389614691850511e-08
1891,4.130494630771864e-07,0.0,8.987650090830357e-08
1892,3.347385586494056e-07,0.0,8.399806716852254e-08
1893,3.7073667158438184e-07,6.158416554491453e-10,1.1085149509426628e-07
1894,3.6107820733377594e-07,5.041231432301174e-09,8.128985484745499e-08
1895,3.3222752904293884e-07,0.0,7.282523739604585e-08
1896,4.0630530406815524e-07,5.89702897624278e-10,7.076435082353782e-08
1897,3.8223240039769735e-07,1.1653427112179315e-09,6.992056000854063e-08
1898,3.728855801909958e-07,0.0,7.865113360594478e-08
1899,3.2502160252079193e-07,5.527578395003729e-10,6.633094074004475e-08
1900,3.509152008973615e-07,0.0,4.671947806400567e-08
