year,soit_VERB en_PRON,soit_VERB lent_ADJ
1800,2.703981465401739e-07,0.0
1801,2.3335589816042557e-07,1.4287095950749062e-08
1802,2.774921767922933e-07,2.6854081625060644e-08
1803,2.340407121437238e-07,1.3652374342143503e-08
1804,4.968420626028092e-07,2.4718509905596875e-08
1805,4.0653150867875354e-07,1.7057265822018053e-08
1806,2.247701900159882e-07,0.0
1807,2.9608332852149033e-07,2.2775640928784924e-08
1808,2.9458962558237545e-07,6.798221985349073e-09
1809,3.1174620773732897e-07,3.6144488291256494e-08
1810,3.4867889242562455e-07,7.020380277111826e-09
1811,2.707642989818737e-07,7.521229861140455e-09
1812,2.7205524855133945e-07,3.467370746079723e-08
1813,1.6391727797326894e-07,2.0130190847567064e-08
1814,2.863476140646526e-07,0.0
1815,2.8320846801044297e-07,5.394447111228828e-09
1816,2.062667476820934e-07,3.244645441213834e-08
1817,1.9927979622025305e-07,1.401186100480345e-08
1818,2.193496584368404e-07,3.099506074022429e-08
1819,2.4324967284883314e-07,1.8631890696951814e-08
1820,3.203949825447694e-07,5.933240565525466e-09
1821,2.435787685994839e-07,2.9584463767662328e-09
1822,3.2081970857689157e-07,3.5089655625597516e-08
1823,2.3619621458692563e-07,3.9530747564242574e-09
1824,2.324227050820582e-07,1.7684335773537896e-08
1825,3.134737767140905e-07,2.8177417732422327e-08
1826,2.0874923278846325e-07,9.688783109140786e-09
1827,2.894223711247257e-07,2.027800150017356e-08
1828,3.0452040755690746e-07,3.210305266065916e-08
1829,2.3404771276602787e-07,6.858540846366168e-09
1830,2.640519582985945e-07,3.1310507520032616e-09
1831,2.822008298153378e-07,7.795603274018958e-09
1832,2.54363413887404e-07,2.1647950987357945e-08
1833,2.2240567432163516e-07,3.359252431778259e-08
1834,2.64167226760037e-07,3.173740381612333e-08
1835,1.837830367890092e-07,2.3445572594482655e-08
1836,2.775669716292839e-07,8.064899859050456e-09
1837,2.8875246016468736e-07,6.609996461293122e-08
1838,2.8152242581569453e-07,2.1461350030449466e-08
1839,3.369891121707269e-07,1.8177836125232716e-08
1840,3.229432037343827e-07,2.6752692505738196e-08
1841,3.4093112288857697e-07,4.494383976094696e-09
1842,3.575505314046268e-07,3.3541325272778977e-09
1843,2.5399717173968384e-07,1.594865928211675e-08
1844,2.8375862370921823e-07,8.781698035420504e-09
1845,3.1695693342159714e-07,5.580227835366713e-09
1846,2.851142255622108e-07,2.0490753982471688e-08
1847,2.8044762068191176e-07,2.2651539310913904e-08
1848,2.357250029616509e-07,8.84974404868899e-09
1849,2.6562746491265443e-07,9.217356655710773e-09
1850,2.464405550739457e-07,1.4935791270431764e-08
1851,2.2895507045816998e-07,2.0638204034639784e-08
1852,2.5000494319193933e-07,6.510545436100301e-10
1853,2.400716634376465e-07,9.555090940693844e-09
1854,2.665375973265327e-07,2.8576154775805662e-08
1855,2.934736329507359e-07,1.963566731433275e-08
1856,2.542000021588109e-07,2.3815070804289462e-08
1857,2.2064421423273473e-07,5.369659827891837e-09
1858,2.471306395079864e-07,1.0766087576996597e-08
1859,2.1794501425809187e-07,8.656694916453489e-09
1860,2.3755584255269468e-07,7.323494255473406e-09
1861,2.5041767792721714e-07,1.131831339762357e-08
1862,3.325237970530637e-07,1.8071945717679228e-08
1863,2.3674502580561807e-07,9.989241434027463e-09
1864,2.459695408463247e-07,8.63051052846231e-09
1865,2.475800254253535e-07,1.8827376990770972e-08
