year,sont_VERB à_ADP,sont_VERB a_ADP,sont_VERB là_ADV
1800,3.650689541245811e-05,1.7921737427428752e-07,5.634342869598186e-06
1801,3.497481156955473e-05,2.952666449118624e-07,4.8052265810838435e-06
1802,3.557046875357628e-05,1.991677720525331e-07,3.719290361914318e-06
1803,3.8844907976454124e-05,2.6914681683365416e-07,4.645708031603135e-06
1804,3.48036628565751e-05,2.2493843143678305e-07,4.943701696902281e-06
1805,3.604768789955415e-05,2.587018670396901e-07,6.100815426179906e-06
1806,3.3101732697105035e-05,2.161251897447869e-07,4.135195013077464e-06
1807,3.061330789932981e-05,2.3345032218458073e-07,4.196411737211747e-06
1808,3.500631282804534e-05,2.402038470350476e-07,4.520817583397729e-06
1809,3.301121250842698e-05,2.8915590122302604e-07,4.2402002691233065e-06
1810,2.8884183848276734e-05,1.9657064953548797e-07,5.454835445561912e-06
1811,2.7224346922594123e-05,2.4820059252306237e-07,4.304650701669743e-06
1812,2.8104373996029608e-05,1.920389944842782e-07,4.54225573776057e-06
1813,2.8018350349157117e-05,1.7254449602432942e-07,5.219470949668903e-06
1814,2.690409019123763e-05,2.2341407479586906e-07,4.757775968755595e-06
1815,2.690750261535868e-05,1.6453063977905913e-07,5.0680832828220446e-06
1816,2.9848421036149375e-05,2.3639560708943463e-07,5.719846285501262e-06
1817,3.0710885766893625e-05,2.5065662401235755e-07,6.830003712821053e-06
1818,2.8492806450231e-05,2.145811848208723e-07,6.64128810967668e-06
1819,2.7401300030760467e-05,3.5504102813277427e-07,6.426967047445942e-06
1820,2.6777901439345442e-05,1.946102861083432e-07,6.4506193666602485e-06
1821,2.9078570150886662e-05,2.54426405277286e-07,7.84086932981154e-06
1822,2.880960892071016e-05,1.9750463309264887e-07,6.5988601818389725e-06
1823,2.4758106519584544e-05,2.8165656296152974e-07,5.061912361270515e-06
1824,2.5100811399170198e-05,1.7347492065056258e-07,5.932673957431689e-06
1825,2.7944954126724042e-05,2.1133062944045378e-07,6.532758106914116e-06
1826,2.748267252172809e-05,1.6206691766385006e-07,6.3849079197098035e-06
1827,2.876342296076473e-05,1.5300673500417972e-07,6.1045998336339835e-06
1828,2.8940445190528408e-05,1.8436325355253302e-07,7.616678885824513e-06
1829,2.8345491955406033e-05,1.7146351760644052e-07,7.468951025657589e-06
1830,2.824416515068151e-05,2.0351830176679186e-07,7.1502763603348285e-06
1831,3.052290412597358e-05,2.790825877063696e-07,8.252425686805509e-06
1832,2.7469895940157585e-05,2.0159654767759605e-07,9.194966878567357e-06
1833,2.9421258659567684e-05,1.7722952172505302e-07,8.818616151984315e-06
1834,2.9274955522851087e-05,2.632337752217495e-07,8.635374797449913e-06
1835,2.922150270023849e-05,2.5563236505377063e-07,9.094613233173732e-06
1836,2.804300129355397e-05,2.4261907416445183e-07,8.295422048831824e-06
1837,2.8267822926864028e-05,2.4352618810397075e-07,9.058478099177592e-06
1838,2.70267828454962e-05,2.505928269336266e-07,8.62746310303919e-06
1839,2.786102777463384e-05,2.111425452255844e-07,8.805063771433197e-06
