year,avaient_VERB eu_VERB,avaient_VERB lu_VERB
1800,2.920928864114103e-06,7.231578535993322e-08
1801,2.666924501681933e-06,4.0480102825313224e-08
1802,2.4728133212192915e-06,8.280008501060365e-08
1803,2.636858653204399e-06,5.655983770225248e-08
1804,3.6237333915778436e-06,3.9549615138412264e-08
1805,2.6609334327076795e-06,3.980028751016107e-08
1806,2.665543888724642e-06,9.797675204481493e-08
1807,5.819176294608042e-06,7.117387923472052e-08
1808,2.678499413377722e-06,7.251436784372345e-08
1809,3.9307133192778565e-06,6.777091243748146e-08
1810,3.4399863579892553e-06,8.89248141788812e-08
1811,4.821108632313553e-06,2.5070768572277302e-08
1812,4.491578692977782e-06,9.068507722531649e-08
1813,4.468902716325829e-06,4.026038169513413e-08
1814,3.731959168362664e-06,7.866692897096073e-08
1815,5.782847438240424e-06,1.3755840200246894e-07
1816,4.271344096196117e-06,2.2248997311180574e-07
1817,5.372769919631537e-06,1.1053801074467628e-07
1818,5.265584150038194e-06,1.4305412321391486e-07
1819,6.149558885226725e-06,1.3352854466575081e-07
1820,6.6808288465836085e-06,1.091716228529549e-07
1821,6.580571152881021e-06,1.9525747063653398e-07
1822,6.089559065003414e-06,1.4035862250239006e-07
1823,6.825971922808094e-06,1.4033415141057048e-07
1824,6.390782345988555e-06,1.2379035752019263e-07
1825,6.159407348604873e-06,9.421824387345623e-08
1826,6.24838412477402e-06,8.631824499616414e-08
1827,7.009736236796016e-06,1.1521591147811705e-07
1828,6.781999672966776e-06,1.1832268853595451e-07
1829,7.746722076262813e-06,1.5088789950823411e-07
1830,6.818384918005904e-06,1.49246758951449e-07
1831,6.434490842366358e-06,1.7306238930814288e-07
1832,6.727100753778359e-06,1.2853470821028168e-07
1833,6.7949563344882336e-06,1.1467792404573629e-07
1834,6.630317329836544e-06,2.1096039404255862e-07
1835,6.739467607985716e-06,1.1269001021219083e-07
1836,7.173056474130135e-06,1.2433388008048496e-07
1837,7.209766408777796e-06,1.1689256496083544e-07
1838,7.589743290736806e-06,1.1046283532323287e-07
1839,7.096347417245852e-06,1.3493547612597467e-07
1840,8.220083145715762e-06,1.6370100297535828e-07
1841,6.756343282177113e-06,1.662922102241282e-07
1842,7.515269317082129e-06,1.3349448124699848e-07
1843,6.93057882017456e-06,1.6066798025349271e-07
1844,7.72734529164154e-06,2.233844469401447e-07
1845,7.499268122046487e-06,1.9195984179987136e-07
1846,7.428191111102933e-06,1.7680594055491383e-07
1847,7.663770702492911e-06,1.6179670581095706e-07
1848,6.998538538027788e-06,1.665360827018958e-07
1849,7.176131020969478e-06,1.8769890175462933e-07
1850,7.076849669829244e-06,2.0842217907102167e-07
1851,7.084708613547264e-06,1.3995281733514275e-07
1852,6.328901235974627e-06,1.4127883218861825e-07
1853,6.757240953447763e-06,1.2541056548798224e-07
1854,6.327280061668716e-06,9.092412511790826e-08
1855,6.805085376981879e-06,2.149309494825502e-07
1856,6.017447049089242e-06,1.1959306789322e-07
1857,6.2219714891398326e-06,1.703646717032825e-07
1858,6.550185389642138e-06,1.6051257034632727e-07
1859,6.9197544689814094e-06,1.3901633622026566e-07
1860,7.124844614736503e-06,2.1650079418122914e-07
1861,6.41418228042312e-06,1.5892797478045395e-07
