year,petit_ADJ are_NOUN,petit_ADJ lard_NOUN
1800,0.0,1.2576657937302116e-08
1801,0.0,7.143547753329926e-09
1802,0.0,1.2755688771903806e-07
1803,0.0,3.900678446910888e-09
1804,0.0,6.179627121127851e-08
1805,5.685755422035754e-09,5.1171799242411e-08
1806,0.0,6.627838899930794e-08
1807,0.0,2.562259560079383e-08
1808,0.0,1.4276265858370607e-07
1809,0.0,1.0843346842648316e-07
1810,4.680253518074551e-09,3.042164919975221e-08
1811,5.0141535368197765e-09,8.524061279047146e-08
1812,2.6672082320544632e-09,1.0135391192989118e-07
1813,0.0,6.039057476314724e-08
1814,0.0,1.6362721666496327e-07
1815,0.0,1.0788894400093341e-07
1816,0.0,1.622322720606917e-08
1817,0.0,1.0275364559220179e-07
1818,1.1921177378582115e-09,1.1921176934492905e-08
1819,2.070210003424222e-09,1.035105001712111e-09
1820,0.0,1.1510486785937246e-07
1821,0.0,0.0
1822,0.0,1.303330066093622e-08
1823,1.9765373782121287e-09,1.1859224713361982e-08
1824,3.3684450784221553e-09,2.6947560627377243e-08
1825,0.0,6.516027606373598e-08
1826,8.807984341885344e-10,2.290075862276808e-08
1827,0.0,3.2260455640198415e-08
1828,2.7516904310687096e-09,9.172301418391982e-09
1829,8.57317605795771e-10,1.2002446148073886e-08
1830,2.0873671680021744e-09,3.235419043789989e-08
1831,0.0,4.677361831184612e-09
1832,0.0,2.705993873419743e-09
1833,0.0,1.853380560135065e-08
1834,9.334530925997342e-10,2.7070139907436896e-08
1835,0.0,3.025235173481633e-09
1836,0.0,8.064900319793011e-08
1837,2.0873671680021744e-09,2.2265250976261086e-08
1838,1.2624323808552163e-09,3.1560809521380406e-09
1839,3.4957374772659477e-09,9.158832625644209e-08
1840,0.0,1.2102408852854296e-08
1841,1.2841097074556274e-09,1.733548060656176e-08
1842,0.0,6.037438549100216e-09
1843,5.906911071384968e-10,4.134837894298471e-08
1844,5.488561272137815e-10,1.6465683927435748e-08
1845,5.580227946389016e-10,2.399498022498392e-08
1846,1.1709002656346001e-09,1.6392604607062822e-08
1847,2.6966118227278457e-09,1.1865092020002521e-08
1848,8.045221711050488e-10,0.0
