year,voulut_VERB imiter_VERB,voulut_VERB limiter_VERB
1800,8.489244152087849e-08,0.0
1801,2.6193008650921e-08,0.0
1802,1.6336232988578558e-07,0.0
1803,1.170203560718619e-07,0.0
1804,5.438072037122765e-08,0.0
1805,7.960057502032214e-08,0.0
1806,3.1698359492793315e-08,2.881669125542885e-09
1807,1.2811298688575334e-07,0.0
1808,1.4049658147996524e-07,0.0
1809,1.2876473931555665e-07,0.0
1810,9.360506680877734e-08,2.3401267590372754e-09
1811,1.1031137603367824e-07,0.0
1812,8.001624962616916e-08,0.0
1813,5.176335093892703e-08,0.0
1814,1.7306724942045548e-07,1.5733386149463513e-08
1815,7.552225866902518e-08,0.0
1816,1.4137383175238938e-07,2.3176038865813098e-09
1817,8.251429051142622e-08,7.784366928831332e-09
1818,8.821671571013212e-08,0.0
1819,1.9874016743415268e-07,0.0
1820,1.0798498095709874e-07,0.0
1821,1.4003313708599308e-07,0.0
1822,8.321261191213125e-08,1.0025615893027862e-09
1823,7.609668983832307e-08,0.0
1824,5.894779064874456e-08,0.0
1825,9.069606221601134e-08,0.0
1826,7.751026487312629e-08,8.807984341885344e-10
1827,9.8624823863247e-08,0.0
1828,5.4116576109208836e-08,0.0
1829,7.458663020543099e-08,1.714635211591542e-09
1830,3.5485243188304594e-08,0.0
1831,7.171954763407484e-08,1.5591206103948707e-09
1832,6.629684889958298e-08,1.3529969367098715e-09
1833,7.066013552048389e-08,8.108539617524002e-09
1834,1.0454674281845655e-07,9.334530925997342e-10
1835,5.52105419160398e-08,3.025235173481633e-09
1836,3.965242711956307e-08,2.688300027031687e-09
1837,4.6617870452791976e-08,3.478945576063097e-09
1838,7.069621688060579e-08,6.943378316748294e-09
1839,5.942753844578874e-08,1.3982950353153e-09
1840,5.86011346115356e-08,5.095750932326837e-09
1841,6.163726595787011e-08,6.420548537278137e-09
1842,7.44617452141938e-08,3.3541325272778977e-09
1843,6.852016554148577e-08,5.906910960362666e-09
1844,7.958414016684401e-08,2.7442805805577564e-09
1845,6.584669165476953e-08,6.138250796539069e-09
1846,7.376671362635534e-08,4.0981511517657054e-09
1847,8.952751073820764e-08,5.393223645455691e-10
1848,6.194820656446609e-08,7.24069959545659e-09
1849,4.608678239037545e-08,8.379414495607307e-09
1850,6.177986477950981e-08,1.0862393651223101e-08
1851,7.932809609201286e-08,0.0
1852,6.054807499822346e-08,8.463708844885787e-09
1853,3.941475057445132e-08,1.7915795513800958e-09
1854,4.8839247313026135e-08,6.754363734984281e-09
1855,8.331890910540096e-08,6.8990182455763716e-09
1856,6.885661463229553e-08,2.0708756931497874e-09
1857,3.7099468386259105e-08,4.881509085841174e-10
1858,5.676664116549546e-08,0.0
1859,5.397703617404659e-08,1.018434669930457e-08
1860,6.31651388971477e-08,0.0
1861,5.0932406736592384e-08,9.431927461278633e-10
1862,4.608346060308577e-08,0.0
1863,4.545104914654985e-08,0.0
