year,furent_VERB en_ADP,furent_VERB lents_ADJ
1800,2.1160226424399298e-06,1.0061326349841693e-07
1801,1.9787628389167367e-06,4.0480102825313224e-08
1802,2.2512672330776695e-06,6.713520406265161e-08
1803,2.3384566247841576e-06,6.826187615160961e-08
1804,1.6981615544864326e-06,9.39303390623536e-08
1805,2.422131728962995e-06,1.3361525930122298e-07
1806,1.8990199350810144e-06,2.0171682990621775e-08
1807,1.9957155927841086e-06,1.1387820109121094e-07
1808,2.560663688200293e-06,2.4926814390369145e-08
1809,2.3945724478835473e-06,4.51806094758922e-08
1810,1.984427399293054e-06,7.488405628919281e-08
1811,2.466963451297488e-06,3.008491944456182e-08
1812,2.0990928533137776e-06,2.9339290108509886e-08
1813,1.782959770935122e-06,5.176335093892703e-08
1814,2.583421974122757e-06,0.0
1815,2.200934432039503e-06,1.5104451733805035e-07
1816,1.944469659065362e-06,6.025770460382773e-08
1817,2.476985628163675e-06,6.07180652423267e-08
1818,2.564245278335875e-06,8.344824387052086e-09
1819,2.4697606022527907e-06,4.968504185853817e-08
1820,2.7518369734025327e-06,9.374520004712394e-08
1821,2.6399204671179177e-06,5.226588939422072e-08
1822,2.410158003840479e-06,4.210758675071702e-08
1823,3.1930960631143535e-06,4.348382276475604e-08
1824,4.164240181125933e-06,4.6316120716483056e-08
1825,3.6137537335889647e-06,5.899646993157148e-08
1826,4.632999662135262e-06,2.6423952803611428e-08
1827,2.9744139737886144e-06,7.005127855563842e-08
1828,3.0571279694413533e-06,5.228211819030548e-08
1829,2.637108991621062e-06,4.6295149047637096e-08
1830,2.7125336146127665e-06,5.844628248041772e-08
1831,2.0861034499830566e-06,5.456922025359745e-08
1832,2.317683765795664e-06,5.411987658021644e-08
1833,2.3155673716246383e-06,5.21263281427764e-08
1834,2.6799439183378126e-06,3.9205030333278046e-08
1835,3.200698756700149e-06,5.142899794918776e-08
1836,3.7286720271367813e-06,5.1749776019960336e-08
1837,3.351615987412515e-06,2.852735292435682e-08
1838,3.945101070712553e-06,4.039783618736692e-08
1839,3.094426801908412e-06,4.61437359433603e-08
1840,3.0402522952499567e-06,5.223144583510475e-08
1841,2.796791022774414e-06,7.255219713897532e-08
1842,2.544444896557252e-06,3.7566284305512454e-08
1843,2.619124416014529e-06,3.898561473647533e-08
1844,2.4451539957226487e-06,5.3787900355928286e-08
1845,2.4843175197020173e-06,3.5155437672074186e-08
1846,2.299062771271565e-06,2.3418005312692003e-08
1847,2.3492882519349223e-06,3.074137566727586e-08
1848,2.168187165807467e-06,2.815827571112095e-08
1849,1.955755351445987e-06,2.76520690789539e-08
1850,2.082864057229017e-06,3.6660580349234806e-08
1851,2.1515327262022765e-06,5.7400004749297295e-08
1852,2.296920456501539e-06,3.450589147746541e-08
1853,2.276500481457333e-06,4.240071760364117e-08
1854,2.4372861844312865e-06,4.2084881357595805e-08
1855,2.069705487883766e-06,3.767925349507095e-08
1856,2.0563795715133892e-06,3.675804194358534e-08
1857,2.3655793484067544e-06,4.539803555303479e-08
1858,2.520732550692628e-06,1.8106600663259087e-08
1859,2.3021716515359003e-06,5.14309519417111e-08
1860,2.1759931314591086e-06,3.9363783344015246e-08
1861,2.0038130514876684e-06,4.2443673464731546e-08
1862,2.0782736100954935e-06,3.5692092836825395e-08
1863,2.144690142813488e-06,2.0477944673302773e-08
1864,1.944741597981192e-06,3.308362295229017e-08
1865,2.079483920169878e-06,4.706844336510585e-08
1866,2.0761569885507924e-06,3.16264845423575e-08
1867,2.1949265374132665e-06,5.435148864307848e-08
1868,2.1276036932249554e-06,2.6181332657415624e-08
1869,2.161933934985427e-06,2.3929244363785074e-08
1870,2.207035322498996e-06,4.185855573268782e-08
1871,2.0647569272114197e-06,2.1242353653860846e-08
1872,2.171599589928519e-06,4.051717183983783e-08
1873,1.8532670083004632e-06,2.095101514498765e-08
1874,2.1317405298759695e-06,2.8080663128093875e-08
1875,1.920716613312834e-06,2.8607635371713513e-08
1876,1.7412522765880567e-06,3.3253080289341597e-08
1877,2.0502664028754225e-06,1.5462040536817767e-08
1878,1.9494177649903577e-06,2.8383716710322915e-08
1879,1.925048309203703e-06,3.237942536316041e-08
1880,1.70201280980109e-06,2.5671385017744797e-08
1881,1.6162272231667885e-06,1.743126887276958e-08
1882,1.7004508663376328e-06,3.7270154962243396e-08
1883,1.5817305438758922e-06,2.0221884611260066e-08
1884,1.5962903034960618e-06,5.2813575734944607e-08
1885,1.626878429306089e-06,3.3517306263775026e-08
1886,1.7753478687154711e-06,2.6459201052375647e-08
1887,1.4252642586143338e-06,1.8933882017790893e-08
1888,1.5712042795712478e-06,3.9945874164004636e-08
1889,1.500500275142258e-06,2.4434033463194282e-08
1890,1.2905586572742322e-06,1.6385966361553983e-08
1891,1.4456730923484429e-06,1.784781566982474e-08
1892,1.473100383009296e-06,2.1312942521944933e-08
1893,1.4644714383393875e-06,2.2170299374124625e-08
1894,1.65856511102902e-06,4.348062176973144e-08
1895,1.4637270169259864e-06,1.745398137131815e-08
1896,1.452438255000743e-06,3.066455178668548e-08
1897,1.3453881138048018e-06,3.3212266714599536e-08
1898,1.4372221812664066e-06,2.8291774256672397e-08
1899,1.5880732462392189e-06,3.4823742112166656e-08
1900,1.3745908518103533e-06,4.5162163786471865e-08
1901,1.4055677866053884e-06,1.956058603980182e-08
1902,1.2580147767948802e-06,2.7497589982772297e-08
1903,1.4964010688345297e-06,3.348136701220028e-08
1904,1.3689170828001807e-06,1.7198800605910947e-08
1905,1.5219078477457515e-06,2.9932401446330914e-08
1906,1.432140948054439e-06,3.2922780945909835e-08
1907,1.3330250112630893e-06,2.468564730406797e-08
1908,1.3354066368265194e-06,3.388858615949175e-08
1909,1.4616113048759871e-06,4.015717891547865e-08
1910,1.4113901443124632e-06,1.977335806202518e-08
1911,1.5312036794057349e-06,2.3409645777405785e-08
1912,1.3518448440663633e-06,4.375913675858101e-08
1913,1.4265042409533635e-06,4.295421618394357e-08
1914,1.4130129102341016e-06,3.214437072074361e-08
1915,1.4054448911338113e-06,1.5314990164938536e-08
1916,1.537145976726606e-06,1.9777431248257926e-08
1917,1.3784795100946212e-06,1.6449636319748606e-08
1918,1.5001207884779433e-06,4.709414369585829e-08
1919,1.4529985037370352e-06,4.6960025201769895e-08
1920,1.4561401258106343e-06,3.180337415642498e-08
