year,soit_VERB égal_ADJ,soit_VERB egal_ADJ,soit_VERB légal_ADJ
1800,5.879587661183905e-07,6.288328968651058e-09,2.2009151834367913e-08
1801,3.881327472754492e-07,0.0,0.0
1802,4.430923468135006e-07,0.0,4.475680270843441e-09
1803,4.6418074362009065e-07,3.900678446910888e-09,9.751696339321825e-09
1804,1.137051413024892e-06,2.4718509461507665e-09,0.0
1805,4.889749902758922e-07,2.842877711017877e-09,0.0
1806,4.812387714991928e-07,0.0,2.881669125542885e-09
1807,1.6825504189910134e-06,5.693910232196231e-09,1.1387820464392462e-08
1808,8.656402883389092e-07,2.2660739951163578e-09,2.2660739951163578e-09
1809,1.0820756415341748e-06,0.0,4.518061036407062e-09
1810,6.528953804263438e-07,2.3401267590372754e-09,4.680253518074551e-09
1811,1.0379297918916564e-06,1.2535384286138651e-08,2.0056614147279106e-08
1812,7.281478247023188e-07,0.0,4.800974906515876e-08
1813,7.563200483673427e-07,0.0,8.627225156487839e-09
1814,5.506685170075798e-07,3.1466771410748606e-09,6.293354282149721e-09
1815,3.020890346761007e-07,0.0,1.8880564667256294e-08
1816,7.416332437060191e-07,0.0,1.1588019432906549e-08
1817,4.0011647683968476e-07,0.0,6.227493631882908e-09
1818,3.9578307564624993e-07,1.1921177378582115e-09,2.5034472272977837e-08
1819,3.8609417174484406e-07,2.070210003424222e-09,8.280840013696888e-09
1820,3.085285129600379e-07,1.1866481131050932e-09,7.119888678630559e-09
1821,3.954456815336016e-07,9.86148829262845e-10,1.1833785507064931e-08
1822,4.2508611386438133e-07,0.0,2.606660132187244e-08
1823,3.547884546151181e-07,0.0,1.581229902569703e-08
1824,5.701093073184893e-07,8.421112696055388e-10,3.789500624407083e-08
1825,3.169959370552533e-07,0.0,7.924898959288385e-09
1826,3.355841897700884e-07,1.7615968683770689e-09,2.3781558056157337e-08
1827,4.461160187929636e-07,0.0,2.5808365222701468e-08
1828,3.806505048942199e-07,0.0,6.420610709767516e-09
1829,2.717696929721569e-07,0.0,1.5431716349212365e-08
1830,4.498276382491895e-07,1.0436835840010872e-09,2.1917355041978226e-08
1831,3.8978015481916373e-07,1.5591206103948707e-09,9.354723218280014e-09
1832,4.951969003741397e-07,1.3529969367098715e-09,1.7588959622116818e-08
1833,3.394003158518899e-07,5.791814139399776e-09,2.6642345218874652e-08
1834,4.097859118701308e-07,0.0,1.4001796166951408e-08
1835,3.456331114648492e-07,0.0,2.4201881387853064e-08
1836,3.682970941554231e-07,0.0,1.4785650037651976e-08
1837,3.9938294094099547e-07,6.957890930081589e-10,7.653680356156656e-09
1838,4.0019105540523014e-07,0.0,9.468243078458727e-09
1839,3.167138231674471e-07,0.0,1.5381244722334486e-08
1840,4.051121891279763e-07,6.369688665408546e-10,1.7835128929277744e-08
1841,3.833067410141666e-07,1.2841097074556274e-09,1.0914932957462042e-08
1842,4.011542387161171e-07,0.0,1.6770663080478698e-08
1843,4.2706966496552923e-07,1.1813822142769936e-09,2.4218335781256428e-08
1844,5.301949954628071e-07,5.488561272137815e-10,1.811225303072206e-08
1845,4.04566520728622e-07,0.0,1.7298706467272496e-08
1846,3.940079409403552e-07,5.854501328173001e-10,1.5221703009160592e-08
1847,4.907833499601111e-07,1.6179670936367074e-09,2.1033571329098777e-08
1848,3.958249124025315e-07,2.413566457803995e-09,2.333114323960217e-08
1849,3.1171424552667304e-07,4.1897072478036534e-09,1.5920887719289567e-08
1850,4.053030693285109e-07,6.788996032014438e-10,1.6972489191857676e-08
1851,4.2243823372700717e-07,0.0,9.029214709244116e-09
1852,4.2253441279171966e-07,6.510545436100301e-10,1.8229528109259263e-08
1853,3.6966258676329744e-07,5.971931837933653e-10,6.569124799682413e-09
1854,3.907139785042091e-07,1.558699391779328e-09,1.1950028522278444e-08
1855,3.8050740158723784e-07,2.653468555990912e-09,7.960405667972736e-09
1856,3.903600713783817e-07,1.5531567143511893e-09,1.863788057221427e-08
1857,3.7538805486292404e-07,1.9526036343364694e-09,7.322263684272912e-09
1858,3.4842972240767267e-07,1.468102750479261e-09,8.31924928945682e-09
1859,2.7395893198445265e-07,0.0,8.656694916453489e-09
1860,2.8882030278509774e-07,3.661747127736703e-09,1.4189270203246451e-08
1861,2.9286135827533144e-07,1.4147891747029462e-09,2.169343282787395e-08
1862,3.935166148494318e-07,9.035972525772706e-10,2.0330938710344526e-08
1863,3.3613798677833984e-07,0.0,1.39849385405455e-08
1864,3.7398876884253696e-07,4.794727948009836e-10,1.2466292886870178e-08
1865,3.657218030639342e-07,0.0,1.2237795665726026e-08
1866,3.493510121188592e-07,0.0,9.244664589402873e-09
1867,3.542552349244943e-07,4.85281148598915e-10,1.94112459439566e-08
1868,5.512899292625661e-07,1.4819622196071691e-09,1.6301584082611953e-08
1869,4.712595966793742e-07,3.906815315701806e-09,9.278686263769487e-09
1870,4.2259938481947756e-07,1.7202146374017957e-09,1.6055336615750093e-08
1871,3.9723204281472135e-07,0.0,2.1242353653860846e-08
1872,3.428841353070311e-07,1.2094678591978436e-09,1.8746751706544273e-08
1873,4.998314011572802e-07,2.3944017879529156e-09,1.9155214303623325e-08
1874,3.5309940926708805e-07,1.1949218281515073e-09,1.7326366119618797e-08
1875,4.4284621480983333e-07,1.716458086775674e-09,1.3159512590732447e-08
1876,3.7968973742863454e-07,0.0,1.5719638923883394e-08
1877,4.465437086764723e-07,2.4739263970730008e-09,1.7317484335421796e-08
1878,3.2127951499205665e-07,6.039088673581716e-10,1.872117572077059e-08
1879,4.4231515516912623e-07,6.720257683667796e-09,3.360128886242819e-08
