year,eurent_VERB également_ADV,eurent_VERB légalement_ADV
1800,6.60274537267469e-08,0.0
1801,5.9529565277216534e-08,0.0
1802,1.1636768704192946e-07,0.0
1803,6.436119548425268e-08,0.0
1804,7.168367943677367e-08,0.0
1805,6.254330742194725e-08,0.0
1806,1.3255677799861587e-07,0.0
1807,9.964342950752325e-08,0.0
1808,5.211970233176544e-08,0.0
1809,6.325285539787728e-08,0.0
1810,8.89248141788812e-08,0.0
1811,1.0028307428910921e-07,0.0
1812,4.5342538612658245e-08,0.0
1813,8.627225156487839e-08,0.0
1814,5.034683425719777e-08,0.0
1815,3.236668177919455e-08,0.0
1816,8.1116134253989e-08,0.0
1817,3.269434145636296e-08,0.0
1818,8.940882878505363e-08,0.0
1819,1.0351050150347874e-07,0.0
1820,4.9839222526770754e-08,0.0
1821,7.198886464721e-08,0.0
1822,2.105379337535851e-08,0.0
1823,6.621399961659336e-08,0.0
1824,7.494790565942822e-08,0.0
1825,6.075755720758025e-08,0.0
1826,7.574866600634778e-08,0.0
1827,8.019027575301152e-08,0.0
1828,6.145441489024961e-08,0.0
1829,4.543783305166471e-08,0.0
1830,8.140732177253085e-08,0.0
1831,6.392394169552063e-08,0.0
1832,5.276687886635045e-08,0.0
1833,9.614411311531512e-08,0.0
1834,6.067445212920575e-08,0.0
1835,4.9916380362446944e-08,0.0
1836,8.602560086501398e-08,0.0
1837,8.349469027280065e-08,0.0
1838,5.049729523420865e-08,0.0
1839,6.85164565084051e-08,0.0
1840,5.796416857606346e-08,0.0
1841,6.548959419205858e-08,0.0
1842,5.769107858100142e-08,0.0
1843,8.978504695278389e-08,0.0
1844,8.123070927013032e-08,0.0
1845,3.682950477923441e-08,0.0
1846,1.1065007754496037e-07,0.0
1847,4.853901458545806e-08,0.0
1848,7.240699773092274e-08,0.0
1849,3.77073661184113e-08,0.0
1850,7.807345525634446e-08,0.0
1851,6.642921590582773e-08,0.0
1852,5.1433307390880145e-08,0.0
1853,8.420423824873069e-08,0.0
1854,6.806320129726373e-08,2.5978321716024766e-09
1855,7.641989441253827e-08,0.0
1856,5.1254172461767666e-08,0.0
1857,6.68766730882453e-08,0.0
1858,8.563932851757272e-08,0.0
1859,7.638259802433822e-08,0.0
1860,6.545373310018476e-08,0.0
1861,7.639861365760225e-08,0.0
1862,7.183598427218385e-08,0.0
1863,5.1444594362237694e-08,0.0
1864,5.993410212568051e-08,0.0
1865,7.107335164846518e-08,0.0
1866,5.011581194480641e-08,9.731225825149181e-10
1867,4.998396008204509e-08,0.0
1868,7.064019769131846e-08,0.0
1869,4.932354258357918e-08,0.0
1870,6.880858904878551e-08,0.0
1871,5.523012092112367e-08,0.0
1872,3.205089882385437e-08,0.0
1873,6.045864608950069e-08,1.1972008939764578e-09
1874,5.616132625618775e-08,1.1949218281515073e-09
1875,5.263805036292979e-08,0.0
1876,5.8041742079240066e-08,6.04601479992084e-10
1877,4.5149157301693776e-08,0.0
1878,7.609251895246416e-08,6.039088673581716e-10
1879,3.0546626561545054e-08,0.0
1880,5.390990764908565e-08,1.2835692508872398e-09
1881,5.647731171620762e-08,0.0
1882,2.3293848627758962e-08,0.0
1883,5.0554710639971745e-08,0.0
1884,7.459917839014452e-08,2.6406787867472303e-09
1885,4.7053141827291256e-08,6.445635691854079e-10
1886,4.7755634113855194e-08,0.0
