year,est_VERB également_ADV,est_VERB egalement_ADV,est_VERB légalement_ADV
1800,1.255150436918484e-05,4.7162465932615305e-08,1.131899196593622e-07
1801,1.0551019840931986e-05,1.0239084957675004e-07,3.333655484993869e-08
1802,1.2500575394369662e-05,4.699464284385613e-08,9.622712582313397e-08
1803,1.399173379468266e-05,4.8758479920252285e-08,1.0921899473714802e-07
1804,1.2510037777246907e-05,7.415552971679062e-08,5.19088700912107e-08
1805,1.3594641131930985e-05,3.695740957709859e-08,2.842877755426798e-08
1806,1.1835015357064549e-05,8.645007198992971e-08,1.181484350354367e-07
1807,1.2572153536893893e-05,3.4163463169534225e-08,6.66187503384208e-07
1808,1.34400852402905e-05,1.0877155176558517e-07,1.2690014417060524e-07
1809,1.5309449736378156e-05,9.262025457701384e-08,2.213849938925705e-07
1810,1.2082074135832954e-05,2.8081521108447305e-08,3.603795164508483e-07
1811,1.1234211342525668e-05,3.5099073869560016e-08,2.281439890339243e-07
1812,1.2274492291908246e-05,5.867858021701977e-08,2.4004873466765275e-07
1813,1.4232045032258611e-05,5.176335093892703e-08,1.7254450312975678e-07
1814,1.2083240108040627e-05,1.1642705288750221e-07,9.44003133440674e-08
1815,1.3623675840790384e-05,5.1247248222807684e-08,2.265667831125029e-07
1816,1.4190688489179593e-05,6.952811304472561e-08,2.248075787747439e-07
1817,1.158002396550728e-05,6.07180652423267e-08,1.6814232139950036e-07
1818,1.1627916137513239e-05,5.2453181353939726e-08,2.1100484559610777e-07
1819,1.0911041499639396e-05,3.8298885840504227e-08,1.770029598446854e-07
1820,1.0371304597356357e-05,3.678609061807947e-08,2.088500679064964e-07
1821,1.0717465556808747e-05,7.790576006527772e-08,2.268142367256587e-07
1822,1.0777536772366147e-05,4.712039469723095e-08,3.549068026131863e-07
1823,1.0323455171601381e-05,4.644862983127496e-08,3.261286565248156e-07
1824,1.0264494449074846e-05,4.0421340941065864e-08,2.7368616883904906e-07
1825,1.0697733159759082e-05,4.754939197937347e-08,3.125932153125177e-07
