year,doivent_VERB imiter_VERB,doivent_VERB limiter_VERB
1800,4.4018303668735825e-08,3.144164484325529e-09
1801,8.334139067756041e-08,7.143547975374531e-09
1802,1.2308120744819462e-07,2.2378401354217203e-09
1803,1.2287136996746995e-07,1.950339267864365e-08
1804,1.038177401824214e-07,2.4718509461507665e-09
1805,4.5486043376286034e-08,0.0
1806,8.645007198992971e-08,5.76333825108577e-09
1807,1.366538526781369e-07,5.693910232196231e-09
1808,7.931259204951857e-08,1.8128591960930862e-08
1809,4.292158095609011e-08,0.0
1810,5.8503168531842675e-08,1.1700633351097167e-08
1811,5.515568801683912e-08,0.0
1812,4.000812481308458e-08,0.0
1813,4.888760685162197e-08,0.0
1814,3.4613449884091096e-08,0.0
1815,5.664169577812572e-08,2.697223555614414e-09
1816,6.952811304472561e-08,2.0858434979231788e-08
1817,4.670620157298799e-08,1.556873407970727e-09
1818,5.364529798157491e-08,1.1921177378582115e-09
1819,3.8298885840504227e-08,8.280840013696888e-09
1820,7.001224133773576e-08,0.0
1821,6.804427243878308e-08,0.0
1822,6.115625694746996e-08,0.0
1823,6.324919610278812e-08,0.0
1824,5.3053010873327366e-08,8.421112696055388e-10
1825,2.553578504205234e-08,1.7610886082763955e-09
1826,5.460950447400137e-08,3.5231937367541377e-09
1827,5.1616730445402936e-08,1.8434546111834038e-09
1828,6.695779575238703e-08,1.0089530988466322e-08
1829,4.8009784592295546e-08,8.57317605795771e-10
1830,6.157733167810875e-08,1.0436835840010872e-09
1831,5.9246584527272717e-08,7.795603274018958e-09
1832,3.3824925083081325e-08,1.3529969367098715e-09
1833,3.8225973497674204e-08,1.2741991461950875e-08
1834,4.387229424196448e-08,5.600718555598405e-09
1835,8.31939672707449e-08,1.5126175867408165e-09
1836,7.52724034214225e-08,8.736974699274924e-09
1837,5.287997240088771e-08,2.0873671680021744e-09
1838,3.029837714052519e-08,6.312161904276081e-10
1839,3.425822825420255e-08,3.076248944466897e-08
1840,4.713569623504554e-08,7.0066574764382494e-09
1841,4.494383887276854e-08,8.988767952189392e-09
1842,4.293289634915709e-08,8.049918065466954e-09
1843,3.839492279666956e-08,1.063243981747064e-08
1844,8.177956090094085e-08,3.2931368743049916e-09
1845,4.631589334280761e-08,1.2276501593078137e-08
1846,7.727941664370519e-08,5.854501328173001e-10
1847,6.957258591455684e-08,5.9325460100012606e-09
1848,5.873011943435813e-08,4.02261068899179e-09
1849,5.446619866233959e-08,0.0
1850,2.7834882843080777e-08,4.073397619208663e-09
1851,5.288539739467524e-08,0.0
1852,4.427170807730363e-08,2.408901877970493e-08
1853,5.5538965426649156e-08,2.030456869306363e-08
1854,6.702406807335137e-08,1.0910895298366086e-08
1855,5.625353338700734e-08,8.491099379170919e-09
1856,5.7984518520015627e-08,9.836659486950339e-09
1857,4.490988203542656e-08,2.4407544874094356e-09
1858,4.257498176230001e-08,2.0553439838977283e-08
1859,4.124660435422811e-08,4.073738679721828e-09
1860,2.654766717569146e-08,1.5104706818647173e-08
1861,4.7631232291678316e-08,1.650587222457034e-08
1862,5.1053245186949425e-08,9.939570055905733e-09
1863,3.995696573610985e-08,9.489779628779615e-09
1864,4.267307929239905e-08,1.582260189536555e-08
1865,5.271665770578693e-08,1.694463946932956e-08
1866,5.060237384668653e-08,4.865612801552288e-09
1867,1.844068364675877e-08,1.358787216076962e-08
1868,3.803702952609456e-08,1.432563490055827e-08
1869,2.8812763730456936e-08,4.883519366671862e-09
1870,4.185855573268782e-08,1.2614907340946502e-08
1871,2.0180236148803488e-08,9.559059321873065e-09
1872,4.535504416480762e-08,7.256807155187062e-09
1873,3.1725821969530443e-08,1.0774807712721213e-08
1874,3.4652732239237594e-08,7.169530746864439e-09
1875,2.803548326824057e-08,2.8607636259891933e-09
1876,3.083467703390852e-08,9.069021977836655e-09
1877,1.7317484335421796e-08,1.2988113695655557e-08
1878,3.140326043649111e-08,1.1474268646338714e-08
1879,3.176849006081284e-08,9.163987790827832e-09
1880,2.8238524407697696e-08,1.5402831010646878e-08
1881,3.765154232837631e-08,1.045876096839038e-08
1882,2.3959387362992857e-08,7.320923423037584e-09
1883,3.4756364897248204e-08,5.687405213450347e-09
1884,2.2445769687351458e-08,1.7824582698722224e-08
1885,3.0939052209078e-08,9.023890079618013e-09
1886,2.2587123282846733e-08,1.0325542199041138e-08
1887,1.828098916689669e-08,1.7628096316002484e-08
1888,1.1413106904001324e-08,4.4384300679212174e-09
1889,2.6940087494153886e-08,1.1903759755682586e-08
1890,3.736000309118026e-08,4.5880703680722945e-08
1891,1.784781566982474e-08,8.92390783491237e-09
1892,4.137218212463267e-08,1.3163876211308434e-08
1893,8.005941687372342e-09,6.774258043407144e-09
1894,1.6384001710889606e-08,1.0082462864602348e-08
1895,2.1065151400989635e-08,9.027921521465032e-09
1896,2.5357223876198987e-08,1.2383760683576384e-08
1897,1.806281169081103e-08,8.740070001067579e-09
1898,2.4896761985360172e-08,1.0185038590293516e-08
1899,2.7637891975018647e-08,7.738609753005221e-09
1900,1.86877908703309e-08,1.4015843596837385e-08
1901,2.235495522029396e-08,1.620734302321125e-08
1902,1.9641134940684424e-08,5.4013122863239005e-09
1903,3.348136701220028e-08,1.296052865029651e-08
1904,1.6123875568041512e-08,1.7198800605910947e-08
1905,9.805441791854719e-09,3.302885787093146e-08
1906,1.3374879870298173e-08,2.1091157265118454e-08
1907,1.337139288182243e-08,1.2342823652033985e-08
1908,2.4065807124884486e-08,2.6030361865991836e-08
1909,1.925344328412848e-08,1.4302557360679202e-08
1910,1.7101282168141552e-08,1.7101282168141552e-08
1911,1.4897047151407605e-08,1.4897047151407605e-08
1912,1.8753915753677575e-08,1.3023552902780011e-08
1913,3.234823608977422e-08,2.0681659052002033e-08
1914,1.6072185360371805e-08,1.1384464038144415e-08
1915,2.1205371680821372e-08,1.1780762143587253e-08
1916,2.8567400889301098e-08,1.538244731591476e-08
1917,2.4126133979507358e-08,7.676496771580332e-09
1918,8.040463406189247e-09,3.101321510712296e-08
1919,1.4732557396257562e-08,1.749491218561161e-08
1920,1.1358347151713133e-08,2.2716694303426266e-08
1921,9.087297137000405e-09,2.3475516641724425e-08
1922,1.9182632371439468e-08,2.5822775029382683e-08
1923,1.0615948120573648e-08,9.554353752605493e-09
1924,1.2891624656674594e-08,2.9650736976805092e-08
1925,9.898360353588487e-09,1.8696901804560184e-08
