year,fallait_VERB imiter_VERB,fallait_VERB limiter_VERB
1800,3.144164484325529e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,1.1189200677108602e-08,2.2378401354217203e-09
1803,1.5602713787643552e-08,1.950339223455444e-09
1804,2.2246657849223084e-08,4.943701892301533e-09
1805,8.528632911009026e-09,8.528632911009026e-09
1806,0.0,5.76333825108577e-09
1807,4.555128185756985e-08,0.0
1808,2.039466551195801e-08,9.064295980465431e-09
1809,2.4849335034105025e-08,0.0
1810,1.1700633351097167e-08,1.1700633351097167e-08
1811,2.0056614147279106e-08,7.521229861140455e-09
1812,1.8670457180292033e-08,0.0
1813,5.463909147351842e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,3.580808893843823e-08,1.71256075987003e-08
1818,7.152706427149269e-09,0.0
1819,3.622867339458935e-08,3.1053151161586356e-09
1820,7.357218123615894e-08,5.933240565525466e-09
1821,3.254291058851777e-08,9.86148829262845e-10
1822,2.2056354964661296e-08,2.0051231786055723e-09
1823,1.9765373338032077e-08,4.941343334508019e-09
1824,4.378978601948802e-08,5.052667617633233e-09
1825,3.3460683113162304e-08,8.805443041381977e-10
1826,2.290075862276808e-08,8.80798456392995e-09
1827,4.885154680778214e-08,1.935627302884768e-08
1828,2.109629271274116e-08,1.8344602503717056e-09
1829,4.115124596637543e-08,7.715858174606183e-09
1830,2.817945699007396e-08,2.400472176589119e-08
1831,2.3386808933878456e-08,0.0
1832,3.111892965534935e-08,6.764984572527055e-09
1833,6.950177322551099e-09,1.1583628500844156e-09
1834,3.453776287187793e-08,3.733812370398937e-09
1835,3.2521278114927554e-08,3.025235173481633e-09
1836,3.1587525484155776e-08,1.2097349788575684e-08
1837,5.148839221646995e-08,6.957890930081589e-10
1838,1.2624323808552163e-08,1.4517972601879592e-08
1839,1.3283802502428443e-08,1.1885507689157748e-08
1840,3.248541347034006e-08,4.458782232319436e-09
1841,2.5040138851295524e-08,3.2102742686390684e-09
1842,3.7566284305512454e-08,4.024959032733477e-09
1843,2.2446261738195972e-08,7.088293507706567e-09
1844,4.171306500211358e-08,1.0428266250528395e-08
1845,1.9530798311961917e-08,7.254296274794569e-09
