year,tout_ADV à_ADP,tout_ADV a_ADP,tout_ADV là_ADV
1800,5.996550646614196e-05,8.174827748064217e-08,8.17482743720177e-08
1801,5.755794586548291e-05,8.096020920334013e-08,6.429193044610315e-08
1802,5.0000062287836045e-05,3.1329761895904085e-08,8.056224487518193e-08
1803,4.7473206336690055e-05,9.75169611727722e-09,7.216254860331617e-08
1804,5.224009714765998e-05,7.168367943677367e-08,1.211206934748077e-07
1805,6.225902257028793e-05,4.8328920421170096e-08,9.950071699904584e-08
1806,5.2717253765877103e-05,4.610670689686458e-08,1.0085842205853623e-07
1807,5.1236651870567584e-05,3.701041562109708e-08,9.394951661079176e-08
1808,5.832194665345014e-05,6.798222029757994e-08,1.1783584952240744e-07
1809,6.22611394192063e-05,1.1295152724244417e-07,4.5180612140427456e-08
1810,5.4461770105262985e-05,6.552355102940055e-08,6.084329839950442e-08
1811,5.065799268777482e-05,4.0113227850469e-08,4.26203050629681e-08
1812,6.114308212090691e-05,9.86867028096583e-08,2.6672082320544632e-08
1813,6.606441456824541e-05,5.751483267424362e-08,1.1790540566103402e-07
1814,6.545403198288113e-05,3.776012524880912e-08,1.2901375612273114e-07
1815,5.926879180151445e-05,2.9669458667669346e-08,7.552225866902518e-08
1816,5.627605673907965e-05,9.965696712299632e-08,1.2746820843290152e-07
1817,5.6000737231443054e-05,7.005930469095034e-08,4.981994905506326e-08
1818,6.268989727686858e-05,5.126106117359086e-08,1.2398023807591585e-07
1819,6.34426196484128e-05,6.10711972104383e-08,3.726377961754679e-08
1820,7.145164340727206e-05,7.119888589812717e-08,5.6959108540866055e-08
1821,6.968521756789414e-05,5.6210482601848355e-08,6.114122896860863e-08
1822,6.240645120669797e-05,4.3110148340019805e-08,4.0102463572111446e-08
1823,6.226586697266612e-05,9.48737950423606e-08,7.214361374963119e-08
1824,6.232381201698445e-05,8.25269044213428e-08,1.5915902995544684e-07
1825,6.582596643056604e-05,4.490776062127111e-08,1.364843740248034e-07
1826,5.659746670971799e-05,5.108630807271197e-08,7.662946499564782e-08
1827,5.6680700481592794e-05,4.97732742799073e-08,9.309445658800541e-08
1828,6.00272064730234e-05,5.961995791503583e-08,5.595103758082587e-08
1829,6.177144928187772e-05,6.258418583371395e-08,1.0716470333349548e-07
1830,6.640228070864396e-05,5.114049561605327e-08,6.157733256628717e-08
1831,6.531935923703713e-05,5.1450979254852314e-08,3.1182413096075834e-08
1832,6.401028622349259e-05,5.5472874960216245e-08,5.953186388296672e-08
1833,7.239536080305697e-05,8.108539906181988e-08,8.108539617524002e-08
1834,6.84099800309923e-05,6.160790455567167e-08,7.000897994657862e-08
1835,7.839216004867922e-05,5.596685070941021e-08,6.579886502322552e-08
1836,8.290717596537434e-05,5.914260164940899e-08,1.3643123164541748e-07
1837,9.171613464786788e-05,5.844628414575226e-08,1.029767844329399e-07
