year,soient_VERB en_ADP,soient_VERB lents_ADJ
1800,3.1787501897362347e-06,2.2009151834367913e-08
1801,3.3503238618948217e-06,4.7623651688866175e-09
1802,3.430608842336369e-06,2.0140561218795483e-08
1803,3.2609671478667224e-06,0.0
1804,2.8475723947707365e-06,2.4718509461507665e-09
1805,2.5557470584303132e-06,0.0
1806,3.4176596273027826e-06,0.0
1807,2.96937425048327e-06,4.27043254092041e-08
1808,2.773674576239671e-06,5.4385775882792586e-08
1809,2.9096311939813546e-06,4.518061036407062e-09
1810,2.9462195918483758e-06,0.0
1811,2.9633648495064335e-06,0.0
1812,2.7178852128884046e-06,8.00162425207418e-09
1813,2.5335284519201196e-06,4.601186631703058e-08
1814,2.4386747980997825e-06,0.0
1815,3.0235876371520476e-06,8.091670444798638e-09
1816,3.091683622002961e-06,6.952811659743929e-09
1817,2.473871809627326e-06,6.227493631882908e-09
1818,2.696570364335571e-06,8.344824387052086e-09
1819,2.8216962437710436e-06,3.1053151161586356e-09
1820,2.6355454494364494e-06,0.0
1821,2.7099368864469398e-06,1.972297702934611e-08
1822,2.828226286055724e-06,1.2030739071633434e-08
1823,2.2443582352593694e-06,4.941343334508019e-09
1824,2.6829665848993045e-06,1.6842225392110777e-08
1825,2.500745744704602e-06,7.044354433105582e-09
1826,2.6556073038364048e-06,1.2331177856594877e-08
1827,2.7651819420881907e-06,2.2121454890111636e-08
1828,2.584754600576389e-06,1.1923991571904935e-08
1829,2.5728101551436566e-06,6.858540846366168e-09
1830,2.853431025684472e-06,4.174734336004349e-09
1831,2.4852382907170067e-06,5.14509785887185e-08
1832,2.6748749091254354e-06,4.058990921151917e-09
1833,2.5877826992370956e-06,6.950177322551099e-09
1834,2.3933737907100294e-06,7.467624740797874e-09
1835,2.5230460849456904e-06,1.2100940693926532e-08
1836,2.549180422306563e-06,2.688300027031687e-09
1837,2.683658518520815e-06,4.87052354003481e-09
1838,2.5804117118610748e-06,1.199310784016916e-08
1839,2.413457323768853e-06,9.788065469251706e-09
1840,2.45105622020958e-06,1.0828470564661075e-08
1841,2.4642065632463073e-06,5.1364388298225094e-09
1842,2.5149286315695463e-06,2.0124795163667386e-09
1843,2.5393810973994846e-06,1.0041748765843295e-08
1844,2.5302266468685275e-06,3.841992946007622e-09
