year,serait_VERB égal_ADJ,serait_VERB egal_ADJ,serait_VERB légal_ADJ
1800,1.6664071722516383e-07,0.0,0.0
1801,1.0000967165524344e-07,0.0,0.0
1802,4.4756802708434407e-08,0.0,0.0
1803,6.631153581793114e-08,0.0,0.0
1804,2.2988213288499537e-07,0.0,0.0
1805,1.7625842474444653e-07,0.0,2.842877711017877e-09
1806,1.3255677799861587e-07,0.0,0.0
1807,1.6512339584551228e-07,0.0,0.0
1808,2.1980918063491117e-07,0.0,0.0
1809,1.2876473931555665e-07,0.0,0.0
1810,2.4103306373035593e-07,7.020380277111826e-09,2.3401267590372754e-09
1811,3.3845535085674783e-07,0.0,0.0
1812,1.8137015445063298e-07,5.3344164641089264e-09,2.6672082320544632e-09
1813,1.9555042740648787e-07,0.0,2.8757416448144113e-09
1814,1.541871768040437e-07,3.4613449884091096e-08,3.1466771410748606e-09
1815,2.4275013288388436e-07,0.0,0.0
1816,3.1055893146003655e-07,0.0,0.0
1817,1.5413046128287533e-07,0.0,3.113746815941454e-09
1818,1.966994318536308e-07,0.0,1.1921177378582115e-09
1819,1.645816922746235e-07,1.035105001712111e-09,0.0
1820,1.685040302845664e-07,0.0,4.746592452420373e-09
1821,2.06105099209708e-07,0.0,1.97229765852569e-09
1822,1.3935606091308728e-07,0.0,2.5064039732569654e-08
1823,2.6386774720776884e-07,9.882686891060644e-10,8.894418535021487e-09
1824,1.5915902906726842e-07,0.0,7.57900142644985e-09
1825,1.3912600138610287e-07,0.0,5.283265824829186e-09
1826,2.0258363520042622e-07,0.0,1.4973572604048968e-08
1827,1.7420646258869965e-07,0.0,7.373818444733615e-09
1828,1.5684635457091645e-07,0.0,1.2841221419535032e-08
1829,2.1261476490508358e-07,8.57317605795771e-10,6.858540846366168e-09
1830,2.1917355752520962e-07,1.0436835840010872e-09,4.174734336004349e-09
1831,2.0736304406909767e-07,0.0,1.7150327380477393e-08
1832,3.166012731981027e-07,0.0,4.058990654698391e-08
1833,2.872739912618272e-07,0.0,1.0425265983826648e-08
1834,2.6976795197697356e-07,9.334530925997342e-10,3.733812370398937e-09
1835,1.936150511028245e-07,0.0,3.781543966852041e-09
1836,1.754115714902582e-07,0.0,6.72075017860152e-09
1837,1.9621252533852385e-07,0.0,6.957891152126194e-09
1838,2.5690499683150847e-07,0.0,4.418513555037862e-09
1839,2.0904511188746255e-07,0.0,1.4682098203877558e-08
1840,2.3185667430425383e-07,6.369688665408546e-10,7.64362617644565e-09
1841,1.752809737354255e-07,6.420548537278137e-10,7.0626033910059505e-09
1842,2.0393125055306882e-07,1.341653010911159e-09,1.475818312002275e-08
1843,2.0496980823736521e-07,0.0,7.678984559333912e-09
1844,1.9978362786332582e-07,0.0,5.488561161115513e-09
1845,2.7845337058352015e-07,0.0,1.5066614622583074e-08
1846,1.4987523400122882e-07,0.0,9.367202125076801e-09
1847,2.8638018534365983e-07,0.0,7.011190739092399e-09
1848,2.558380458594911e-07,1.6090443422100975e-09,2.333114323960217e-08
1849,1.3993623326769011e-07,0.0,3.3517659758786067e-09
1850,1.3849552260580822e-07,0.0,1.2899092460827433e-08
1851,1.7606967617211922e-07,0.0,1.7413483988093503e-08
1852,1.4258094438446278e-07,0.0,1.3672145193766028e-08
1853,1.7557479736751702e-07,5.971931837933653e-10,4.180352064508952e-09
1854,1.891221899086304e-07,5.195664454227256e-10,6.754363734984281e-09
1855,1.5390116914204555e-07,0.0,2.9188154115900034e-08
1856,1.6670549030095572e-07,5.177189232874468e-10,3.6240324075009767e-09
1857,1.4498081668534724e-07,0.0,9.274867096564776e-09
1858,1.6687435788753646e-07,0.0,1.0766087576996597e-08
1859,1.675325052019616e-07,0.0,7.638259802433822e-09
1860,1.5242022755046492e-07,0.0,6.865775947773045e-09
1861,2.1174676589907904e-07,0.0,5.659156698811785e-09
