year,voulait_VERB imiter_VERB,voulait_VERB limiter_VERB
1800,3.144164395507687e-08,0.0
1801,7.857902772911984e-08,2.3811825400343878e-08
1802,5.147032311469957e-08,0.0
1803,5.460949736857401e-08,0.0
1804,7.662737999680758e-08,0.0
1805,2.2743021688143017e-08,0.0
1806,4.8988376022407465e-08,0.0
1807,5.4092147649953404e-08,0.0
1808,4.305540457494317e-08,0.0
1809,3.162642769893864e-08,2.259030518203531e-09
1810,3.7442028144596406e-08,0.0
1811,3.259199843341776e-08,3.008491944456182e-08
1812,4.267533171287141e-08,1.600324850414836e-08
1813,8.627225156487839e-08,0.0
1814,9.44003133440674e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,5.3304887615013286e-08,0.0
1817,8.718490818182545e-08,1.5568733857662664e-08
1818,5.0068944545955674e-08,3.337929754820834e-08
1819,4.34744116262209e-08,2.173720581311045e-08
1820,8.543866414356671e-08,1.1866481131050932e-09
1821,6.01550809165019e-08,9.861488514673056e-09
1822,6.917674966189225e-08,0.0
1823,9.586206317635515e-08,1.3835761869529506e-08
1824,4.5474010335055937e-08,1.6842225392110777e-09
1825,5.107157008410468e-08,1.7610886082763955e-09
1826,5.460950447400137e-08,1.4092774947016551e-08
1827,8.019027575301152e-08,1.6591091167583727e-08
1828,5.595103758082587e-08,3.668920500743411e-09
1829,8.573176302206775e-08,1.1145129263923081e-08
1830,6.157733167810875e-08,1.7742621594152297e-08
1831,7.327867024287116e-08,3.1182412207897414e-09
1832,9.065079353831607e-08,2.0294953273491956e-08
1833,6.602667923516492e-08,4.6334514003376626e-09
1834,9.147840529522e-08,3.733812370398937e-09
1835,3.6302822081779595e-08,1.9664028627630614e-08
1836,5.712637474175608e-08,8.064899859050456e-09
1837,7.862416850912268e-08,1.1828414692161004e-08
1838,6.817134590164642e-08,2.0830134062066463e-08
1839,5.173691519644308e-08,2.7965900706306e-09
1840,1.5478343584618415e-07,4.458782232319436e-09
1841,4.751206006403663e-08,1.926164561183441e-09
1842,4.494537719779146e-08,4.024959032733477e-09
1843,6.852016554148577e-08,5.906910960362666e-09
1844,7.190015338665035e-08,1.3172547497219966e-08
