year,serait_VERB également_ADV,serait_VERB egalement_ADV,serait_VERB légalement_ADV
1800,4.559038586648967e-07,0.0,3.144164484325529e-09
1801,3.952763165671058e-07,2.3811825844433088e-09,0.0
1802,4.1623826518844e-07,2.2378401354217203e-09,1.3427040812530322e-08
1803,4.797834662895184e-07,1.950339223455444e-09,1.1702034896643454e-08
1804,7.489708195862477e-07,0.0,7.4155526164076946e-09
1805,4.889749902758922e-07,0.0,2.842877711017877e-09
1806,5.532804721042339e-07,2.881669125542885e-09,2.305335300434308e-08
1807,6.43411851797282e-07,2.8469551160981155e-09,1.4234775136401367e-08
1808,5.846470685355598e-07,4.5321479902327155e-09,1.8128591960930862e-08
1809,5.331311854206433e-07,0.0,0.0
1810,7.745819630144979e-07,4.680253518074551e-09,1.4040760554223652e-08
1811,8.649415121908532e-07,2.5070767684098882e-09,5.0141535368197765e-09
1812,9.548605248710373e-07,0.0,2.400487453257938e-08
1813,9.37491790864442e-07,0.0,5.751483289628823e-09
1814,5.695485469914274e-07,3.1466771410748606e-09,6.293354282149721e-09
1815,5.664169293595478e-07,0.0,3.506390555685357e-08
1816,7.346804409280594e-07,2.3176038865813098e-09,4.6352077731626196e-09
1817,4.670620228353073e-07,1.556873407970727e-09,2.0239355080775567e-08
1818,6.604332156712189e-07,2.384235475716423e-09,1.4305412854298538e-08
1819,6.1692259123447e-07,2.070210003424222e-09,1.3456364911235141e-08
1820,7.202954179774679e-07,0.0,1.898636980968149e-08
1821,7.98780547484057e-07,5.9168927535324656e-09,1.2819934447350079e-08
1822,6.667034426754981e-07,0.0,4.3110148340019805e-08
1823,7.352718967013061e-07,2.9648061783404955e-09,2.569498569471307e-08
1824,7.949530527184834e-07,8.421112696055388e-10,1.3473780313688621e-08
1825,6.965105399103777e-07,1.7610886082763955e-09,2.1133063299316746e-08
1826,8.085729632512084e-07,6.1655889282974385e-09,3.8755132436563144e-08
1827,9.567529559717514e-07,1.8434546333878643e-08,2.3043183361437514e-08
1828,9.108094900511787e-07,5.503380862137419e-09,3.66892045633449e-08
1829,9.687688589110621e-07,2.571952872898464e-09,4.6295149047637096e-08
1830,8.923494760892936e-07,7.305785310052215e-09,4.5922078584226256e-08
1831,1.0679975730454316e-06,7.795603274018958e-09,9.354723218280014e-09
1832,8.10445158094808e-07,1.3529969367098715e-09,3.3824925083081325e-08
1833,8.907810524760862e-07,1.1583628500844156e-09,4.170106393530659e-08
1834,1.081872142094653e-06,9.334530925997342e-10,4.1071935186209885e-08
1835,9.09839457108319e-07,0.0,3.327758690829796e-08
1836,7.648213795619085e-07,1.3441500135158435e-09,2.688300071440608e-08
1837,7.549311931143166e-07,2.0873671680021744e-09,3.826840000442644e-08
1838,7.763958933537651e-07,1.2624323808552163e-09,3.3454458758797045e-08
1839,8.508625342074083e-07,3.4957374772659477e-09,3.146163862766116e-08
1840,8.350662028533407e-07,2.5478754661634184e-09,4.458782143501594e-08
1841,9.971112149287364e-07,1.2841097074556274e-09,2.5040138851295524e-08
1842,8.888451361599436e-07,1.341653010911159e-09,4.360372329870188e-08
1843,8.671345312905032e-07,4.134837805480629e-09,2.7171790151214736e-08
1844,1.1180198953297804e-06,3.841992946007622e-09,2.5796238034558883e-08
1845,8.526588430868287e-07,1.674068439427856e-09,5.412821124650691e-08
