year,grand_ADJ amas_NOUN,grand_ADJ lama_NOUN
1800,2.452448173428934e-07,2.7983063688452603e-07
1801,1.571580554582397e-07,2.2859353165927132e-07
1802,3.065840985527757e-07,1.320325679898815e-07
1803,3.237563248603692e-07,1.1311967673677259e-07
1804,2.0021992952479195e-07,2.7931916335433016e-07
1805,2.757591308633067e-07,7.817913427743406e-07
1806,2.247701900159882e-07,1.5561012745024527e-07
1807,2.5053205376934784e-07,1.70817300748638e-07
1808,2.447359861434961e-07,4.0109509313879244e-07
1809,1.7620437731125094e-07,7.228897769273601e-08
1810,2.2699229873524018e-07,1.0062545019451363e-07
1811,2.632430620153059e-07,1.7298829524392545e-07
1812,1.7336853375127248e-07,1.2802599647088186e-07
1813,2.645682286583906e-07,3.4508899204865884e-07
1814,1.8565394555025705e-07,7.866692630642547e-08
1815,9.170560133497929e-08,4.8550024001059455e-08
1816,2.7811245217890246e-07,2.1090195723161287e-07
1817,1.5101672090622742e-07,2.708959727648619e-07
1818,2.574974189428758e-07,2.6584226020531787e-07
1819,2.2772310614982416e-07,4.6476214077273426e-07
1820,3.6192767538523185e-07,4.983921959578197e-07
1821,2.2780038555492155e-07,2.6626017379793865e-07
1822,3.248299549341027e-07,2.6267113639733e-07
1823,3.2909346892040503e-07,2.1840738961831363e-07
1824,3.5789727803603455e-07,3.2252861004167244e-07
1825,2.914601680004125e-07,3.522177220993683e-07
1826,2.3517317560006745e-07,2.7216670672736143e-07
1827,1.861889215026835e-07,2.6177055251208614e-07
1828,1.5317742452225502e-07,1.3391559861020141e-07
1829,2.812001634322492e-07,1.7489278614224446e-07
1830,2.504840594941271e-07,3.611145205084654e-07
1831,1.6526678425776709e-07,3.398883006155984e-07
1832,1.4747666043923857e-07,3.720741670321104e-07
1833,1.3205336202304352e-07,3.162330504125066e-07
1834,1.3908451768074315e-07,1.6615464826230664e-07
1835,3.055487596270723e-07,1.5277437626082246e-07
1836,3.629205178046213e-07,1.0484369949992356e-07
