year,furent_VERB égaux_ADJ
1800,6.288328791015374e-08
1801,2.6193008650921e-08
1802,0.0
1803,3.705644502360883e-08
1804,0.0
1805,1.9900143755080535e-08
1806,2.305335300434308e-08
1807,2.562259560079383e-08
1808,0.0
1809,3.6144488291256494e-08
1810,1.1700633351097167e-08
1811,1.2535384286138651e-08
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,1.3486118000116676e-08
1816,3.244645441213834e-08
1817,1.401186100480345e-08
1818,3.5763530803478716e-08
1819,3.1053151161586356e-08
1820,1.3053129244156025e-08
1821,1.4792232327920374e-08
1822,3.0076847679083585e-08
1823,5.929612356680991e-09
1824,1.1789557774477544e-08
1825,1.1447076175841175e-08
1826,1.145037931138404e-08
1827,2.3043183361437514e-08
1828,1.4675682002973645e-08
1829,2.1432940755516938e-08
1830,1.7742621594152297e-08
1831,3.741889287312006e-08
1832,1.8941957335982806e-08
1833,9.266902800675325e-09
1834,6.534171426153534e-09
1835,2.193295500774184e-08
1836,2.8227150394855016e-08
1837,6.262101948095733e-09
1838,1.2624323808552163e-08
1839,2.516931019158619e-08
1840,2.7389662093924017e-08
1841,4.494383976094696e-09
1842,1.7441490030023488e-08
1843,1.2995204023980023e-08
1844,2.195424464446205e-08
1845,1.0044410636567136e-08
1846,8.196302303531411e-09
1847,2.2112217834546755e-08
1848,1.448139919091318e-08
1849,2.513824481908955e-09
1850,8.82569484161877e-09
1851,7.094382858952031e-09
1852,1.9531636308300904e-09
1853,1.1346670270029335e-08
1854,5.7152309551611324e-09
1855,5.837630823180007e-09
1856,1.9673318973900678e-08
1857,1.513267733344037e-08
1858,1.1744822003834088e-08
1859,2.3933214521321133e-08
1860,8.238931314963338e-09
1861,5.659156698811785e-09
1862,4.9697850279528666e-09
1863,2.5472566278494924e-08
1864,1.1507347075223606e-08
1865,1.0825742080555756e-08
1866,1.1677471434268227e-08
1867,4.85281148598915e-09
1868,6.421836395986702e-09
1869,1.5138908793232986e-08
1870,1.1468097582678638e-08
1871,1.0621176826930423e-08
1872,1.1489944995446422e-08
1873,1.1373408881354408e-08
1874,7.766991494406739e-09
1875,1.1443054281912168e-09
1876,1.5719638923883394e-08
1877,3.64904160221613e-08
1878,1.0266450800600069e-08
1879,2.3215436684154156e-08
1880,8.343199908722454e-09
1881,6.972507571312292e-10
1882,8.652000893505374e-09
1883,6.951272890631799e-09
1884,9.902545450302114e-09
1885,1.6758653131887513e-08
1886,5.808117542471791e-09
1887,1.9586774424595887e-09
1888,1.014498351992188e-08
1889,8.14467782106476e-09
1890,3.2771931834929546e-09
1891,6.3742202627281586e-09
1892,1.002961980134387e-08
1893,4.926733243593162e-09
1894,8.822155450616265e-09
1895,6.018614495673091e-09
1896,2.240870955461105e-08
1897,1.5149455023788505e-08
1898,4.52668391659472e-09
1899,3.8693048765026106e-09
1900,3.633737311048435e-09
1901,5.029864968975062e-09
1902,7.365425602756659e-09
1903,5.940242076007962e-09
1904,6.449550227216605e-09
1905,9.28936660926638e-09
1906,2.572092316910357e-09
1907,2.057137349353866e-09
1908,7.858222517143076e-09
1909,8.801573692096554e-09
1910,8.01622590529405e-09
1911,5.3203743632934675e-09
1912,5.2094213387476884e-09
1913,6.363587878865928e-09
1914,1.0045115850232378e-08
1915,2.591767689352764e-08
1916,3.4061130804730055e-08
1917,1.4256351654751143e-08
1918,1.4932290071101306e-08
1919,1.012863304339362e-08
1920,5.300562211374427e-09
1921,9.087297137000405e-09
1922,9.591316185719734e-09
1923,1.0615948120573648e-08
1924,3.867487219366694e-09
1925,1.2097995494286806e-08
1926,4.458455382660986e-09
1927,6.689535148041159e-09
1928,5.713020723163709e-09
1929,1.1140406375176326e-09
1930,2.100720708497761e-09
1931,6.843213995466613e-09
1932,6.575722188983946e-09
1933,5.735331320977366e-09
1934,4.7926320689839486e-09
1935,2.393656828303392e-09
1936,0.0
1937,1.2591118148108649e-09
1938,5.186085783037697e-09
1939,3.058810094103137e-09
1940,1.2678914806940611e-08
1941,5.9030051957620344e-09
1942,6.068423541449874e-09
1943,2.9032352077962287e-09
1944,0.0
1945,6.535512131478072e-09
