year,doit_VERB imiter_VERB,doit_VERB limiter_VERB
1800,2.641098149069876e-07,3.144164484325529e-09
1801,2.6193009716735105e-07,2.6193008650921e-08
1802,1.3650824826072494e-07,1.3427040812530322e-08
1803,8.971560561121805e-08,3.1205427575287104e-08
1804,2.0021992952479195e-07,9.887403784603066e-09
1805,3.3830244206001225e-07,8.528632911009026e-09
1806,2.1324350996110297e-07,1.152667650217154e-08
1807,1.9074599322266295e-07,8.540865792383556e-09
1808,2.243413206315381e-07,1.3596443970698147e-08
1809,1.2424668227595248e-07,6.7770917766551975e-09
1810,2.1763179347544792e-07,2.8081521108447305e-08
1811,1.1532553401139012e-07,5.0141535368197765e-09
1812,1.680341199516988e-07,2.6672082320544632e-09
1813,1.4378707646756084e-07,5.751483289628823e-09
1814,6.608021863030444e-08,3.4613449884091096e-08
1815,8.631115377966125e-08,8.631115377966125e-08
1816,2.5261883251914696e-07,6.952811659743929e-09
1817,9.652615062805125e-08,1.0898113522728181e-08
1818,1.3947777688372298e-07,1.7881765401739358e-08
1819,2.3496883727602835e-07,2.2772310259711048e-08
1820,1.8630375109296438e-07,4.746592452420373e-09
1821,1.9722976674074744e-07,1.2819934447350079e-08
1822,1.5038423839541792e-07,2.0051231786055723e-08
1823,1.7887663261717535e-07,3.5577674140085946e-08
1824,1.1789558129748912e-07,4.210556348027694e-09
1825,1.4793144487157406e-07,1.1447076175841175e-08
1826,1.382853582754251e-07,1.8496766784892316e-08
1827,1.6775436506577535e-07,3.3182182335167454e-08
1828,1.3299836609803606e-07,1.3758452155343548e-08
1829,1.6117570567075745e-07,1.800366966620004e-08
1830,1.1480519646056564e-07,7.305785310052215e-09
1831,1.4032085005055706e-07,9.354723218280014e-09
1832,1.5830063659905136e-07,2.0294953273491956e-08
1833,1.2741990929043823e-07,6.950177322551099e-09
1834,1.213489042584115e-07,2.0535967593104942e-08
1835,7.411826175030001e-08,2.193295500774184e-08
1836,1.209734961094e-07,1.8146025126952736e-08
1837,1.1689256496083544e-07,2.365682938432201e-08
1838,1.1740620919908906e-07,1.7042836475411605e-08
1839,8.110111338055503e-08,2.7965899818127582e-08
1840,9.17235141173478e-08,1.3376346252869098e-08
1841,8.089891423423978e-08,2.3756030032018316e-08
1842,1.012948018797033e-07,3.287049921141261e-08
1843,1.4176586660141766e-07,2.7171790151214736e-08
1844,1.2184605679976812e-07,2.6345094994439933e-08
1845,7.644912614068744e-08,5.1896119401817487e-08
1846,9.425747293789755e-08,3.454155717008689e-08
1847,1.3429126966002514e-07,4.853901458545806e-08
1848,1.0217431878345451e-07,1.769948809737798e-08
