year,furent_VERB égales_ADJ,furent_VERB légales_ADJ
1800,5.345079756580162e-08,0.0
1801,1.904946067554647e-08,0.0
1802,4.475680270843441e-09,0.0
1803,3.900678446910888e-09,5.851017448321727e-09
1804,2.4718509905596875e-08,0.0
1805,2.2743021688143017e-08,0.0
1806,1.4408345627714425e-08,0.0
1807,5.124519120158766e-08,0.0
1808,1.3596443970698147e-08,0.0
1809,7.680704072754452e-08,0.0
1810,4.44624070894406e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,1.622322720606917e-08,0.0
1817,3.113746815941454e-09,0.0
1818,8.344824387052086e-09,0.0
1819,2.070209959015301e-08,0.0
1820,2.1359666035891678e-08,0.0
1821,1.972297702934611e-08,0.0
1822,6.015369535816717e-09,0.0
1823,5.731958552246397e-08,0.0
1824,2.0210670470532932e-08,1.6842225392110777e-09
1825,2.6416328680056722e-08,0.0
1826,1.0569580766173203e-08,0.0
1827,9.217273055917019e-10,0.0
1828,4.586150570418113e-09,0.0
1829,8.573175946935407e-09,0.0
1830,1.5655253093882493e-08,0.0
1831,4.677361609140007e-09,0.0
1832,2.705993873419743e-09,0.0
1833,2.6642345218874652e-08,0.0
1834,1.8669061851994684e-09,0.0
1835,2.193295500774184e-08,0.0
1836,1.8146025126952736e-08,0.0
1837,1.461157062010443e-08,0.0
1838,1.2624323808552163e-08,6.312161904276081e-10
1839,3.8453112694014635e-08,0.0
1840,1.3376346252869098e-08,3.821813088222825e-09
1841,9.630822361827995e-09,0.0
1842,5.433694738599115e-08,0.0
1843,2.0674189471492355e-08,0.0
1844,1.6465683927435748e-08,0.0
1845,1.1718478631905782e-08,0.0
1846,4.6836010625384006e-09,0.0
1847,4.961765753819236e-08,1.0786447290911383e-09
1848,1.126331028444838e-08,0.0
1849,6.703531951757213e-09,0.0
1850,4.073397619208663e-09,6.788996032014438e-10
1851,1.0319102017319892e-08,0.0
1852,2.6042181744401205e-09,0.0
1853,1.911018188138769e-08,5.971931837933653e-10
1854,1.8184826089395756e-08,0.0
1855,1.2205955357558196e-08,0.0
1856,1.1389816201301528e-08,0.0
1857,8.78671624349181e-09,0.0
1858,1.0276719919488642e-08,0.0
1859,1.8331824946926645e-08,0.0
1860,7.781213007262977e-09,3.204028820036342e-09
1861,1.226150558863992e-08,0.0
1862,5.873382225018986e-09,0.0
1863,2.097740825490746e-08,0.0
