year,seront_VERB en_PRON,seront_VERB lents_ADJ
1800,2.829747991484055e-08,3.144164484325529e-09
1801,6.191074675143682e-08,3.095537337571841e-08
1802,4.0281122437590966e-08,1.5664880947952042e-08
1803,2.9255089017965474e-08,3.1205427575287104e-08
1804,6.426812149129546e-08,4.943701892301533e-09
1805,8.52863308864471e-08,2.842877711017877e-09
1806,7.204172902675055e-08,2.881669125542885e-09
1807,1.9928686256776018e-08,0.0
1808,4.5321478125970316e-08,3.3991110370834576e-08
1809,3.840352036377226e-08,2.259030518203531e-09
1810,1.6380887757350138e-08,7.020380277111826e-09
1811,2.757784400841956e-08,0.0
1812,2.400487453257938e-08,3.200649700829672e-08
1813,3.738464116054274e-08,8.627225156487839e-09
1814,2.5173417128598885e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,2.0858434979231788e-08,6.952811659743929e-09
1817,2.1796227045456362e-08,1.8682481339737933e-08
1818,4.410835785506606e-08,1.668964877410417e-08
1819,6.624672010957511e-08,1.9666995143552413e-08
1820,1.542642635854463e-08,2.4919611263385377e-08
1821,5.325203744632745e-08,2.1695274909916407e-08
1822,4.0102463572111446e-08,5.012807946513931e-09
1823,7.313188632451784e-08,9.882686669016039e-09
1824,5.052667617633233e-08,1.0947446504872005e-08
1825,7.484626252107773e-08,8.805443041381977e-10
1826,9.600702810530493e-08,6.1655889282974385e-09
1827,5.530363722527909e-08,1.8434546333878643e-08
1828,7.979902250099258e-08,1.834460228167245e-08
1829,2.743416338546467e-08,1.8860987438529264e-08
1830,4.5922078584226256e-08,7.305785310052215e-09
1831,6.548306430431694e-08,2.182768810143898e-08
1832,2.570694235259907e-08,9.470978667991403e-09
1833,3.938433579264711e-08,3.4750886612755494e-09
1834,5.974099792638299e-08,1.8669061851994684e-09
1835,4.235329242874286e-08,1.0588323107185715e-08
1836,4.5701099793404865e-08,6.048674894287842e-09
1837,3.75726116885744e-08,1.461157062010443e-08
1838,8.77390533560174e-08,8.2058102535143e-09
1839,5.872839281551023e-08,0.0
1840,6.369688776430849e-08,8.280594876453051e-09
1841,1.8619591202195807e-08,7.0626033910059505e-09
1842,4.628702754416736e-08,9.391571076378114e-09
1843,3.9576303123567413e-08,2.2446261738195972e-08
1844,5.598332464273881e-08,1.756339607084101e-08
1845,5.5802278353667134e-08,5.022205318283568e-09
1846,3.688335681317767e-08,1.8148954339380907e-08
1847,3.074137566727586e-08,3.775256551818984e-09
1848,3.218088551193432e-08,1.206783295515379e-08
1849,1.5920887719289567e-08,6.703531951757213e-09
1850,6.042206734946376e-08,1.3577992064028876e-08
1851,4.70809027319774e-08,5.159551008659946e-09
1852,4.8829090104618444e-08,2.148479971708639e-08
1853,5.1955808544335014e-08,5.971931837933653e-09
1854,3.3771819119010615e-08,1.6626126253527218e-08
1855,4.776243400783642e-08,1.4859423913549108e-08
1856,6.833889898416601e-08,8.801221973442352e-09
1857,4.637433548282388e-08,2.636014961865385e-08
1858,6.949019848434546e-08,7.34051397444091e-09
1859,5.550468884507609e-08,4.582956236731661e-09
1860,4.439868561689764e-08,5.950338888283113e-09
1861,4.291527133659656e-08,1.8863854478468056e-08
1862,3.7951085829490694e-08,8.584174260306554e-09
1863,2.7470415275843152e-08,1.897955925755923e-08
1864,5.897515364949868e-08,1.1507347075223606e-08
1865,4.5185707620021276e-08,8.001635798393636e-09
1866,2.3354942868536455e-08,1.8002767276925624e-08
1867,5.143980175148499e-08,1.455843445796745e-08
1868,3.1615194018286275e-08,9.87974813071446e-10
1869,3.4672986259920435e-08,4.883519366671862e-09
1870,3.1537268796455464e-08,1.1468097582678638e-08
1871,2.3366590440332402e-08,6.37270636261178e-09
1872,3.3260366905096816e-08,2.4794090336399677e-08
1873,2.7535620006347017e-08,1.616221290134945e-08
1874,7.52800772829687e-08,2.3898436563030145e-09
1875,1.830888685105947e-08,2.2886108563824337e-09
1876,2.9625471853478302e-08,6.650616057868319e-09
1877,3.710889728836264e-08,7.421779191219002e-09
1878,3.8650167510922984e-08,9.662541877730746e-09
1879,3.5434087664043545e-08,2.443730107160036e-09
1880,4.685027832351807e-08,7.059631101924424e-09
1881,6.763332294212887e-08,2.091752326904839e-09
1882,2.3959387362992857e-08,2.6621540527571597e-09
1883,2.274962085380139e-08,5.0554711528150165e-09
1884,2.5746619058963915e-08,9.902545450302114e-09
1885,3.0294486919046903e-08,2.2559724754955823e-08
1886,2.0005737511041843e-08,5.162771099520569e-09
1887,5.6801642500659e-08,5.223139698529167e-09
1888,3.106901047544852e-08,0.0
1889,4.2602930960811136e-08,2.5060546970934183e-09
