year,fut_VERB égal_ADJ,fut_VERB egal_ADJ,fut_VERB légal_ADJ
1800,8.803660733747165e-08,3.144164484325529e-09,0.0
1801,1.5953922627431893e-07,0.0,0.0
1802,2.1259481286506343e-07,0.0,0.0
1803,1.2872239096850535e-07,0.0,0.0
1804,7.168367943677367e-08,0.0,0.0
1805,1.250866148438945e-07,0.0,1.1371510844071508e-08
1806,7.492339904047185e-08,8.645007376628655e-09,0.0
1807,1.2811298688575334e-07,0.0,0.0
1808,1.6089124699192325e-07,0.0,0.0
1809,1.5135503872443223e-07,0.0,0.0
1810,1.1232608443378922e-07,0.0,0.0
1811,1.4541045345595194e-07,0.0,0.0
1812,7.734903562095496e-08,0.0,0.0
1813,6.039057609541487e-08,2.8757416448144113e-09,0.0
1814,7.866692897096073e-08,0.0,0.0
1815,4.8550024445148665e-08,0.0,0.0
1816,9.733936678912869e-08,0.0,0.0
1817,1.5101672090622742e-07,0.0,0.0
1818,1.7047283051851991e-07,0.0,1.1921177378582115e-09
1819,1.397391713453544e-07,1.035105001712111e-09,0.0
1820,1.1985146386450651e-07,0.0,0.0
1821,1.1439326641493608e-07,9.86148829262845e-10,0.0
1822,1.0627152846609533e-07,0.0,1.0025615893027862e-09
1823,1.0277994277885227e-07,0.0,1.087095569118901e-08
1824,1.625274705929769e-07,0.0,8.421112696055388e-10
1825,1.3560382683408534e-07,0.0,1.7610886082763955e-09
1826,1.2771577928560873e-07,0.0,0.0
1827,9.8624823863247e-08,0.0,5.530363722527909e-09
1828,7.06267186956211e-08,0.0,0.0
1829,9.773420828196322e-08,0.0,0.0
1830,1.3254781094929058e-07,0.0,1.6698937344017395e-08
1831,5.9246584527272717e-08,0.0,0.0
1832,8.523880978827947e-08,0.0,0.0
1833,3.70676112027013e-08,0.0,1.0425265983826648e-08
1834,5.2273371409228275e-08,0.0,6.534171426153534e-09
1835,1.013453783116347e-07,7.563087933704082e-10,0.0
1836,7.325617445985699e-08,0.0,4.704525213838906e-09
1837,7.792837664055696e-08,0.0,1.1828414692161004e-08
1838,8.837026399532988e-08,0.0,1.0730675015224733e-08
1839,6.921560213868361e-08,0.0,9.788065469251706e-09
1840,7.898413656448611e-08,0.0,1.9109065441114126e-09
1841,5.3290552415319326e-08,0.0,1.926164561183441e-09
1842,8.787826999423487e-08,0.0,0.0
1843,5.847842032835615e-08,0.0,0.0
1844,4.665277231197251e-08,0.0,0.0
1845,6.305657507255091e-08,0.0,2.2320911785556063e-09
1846,5.503231292891542e-08,1.7563503984519002e-09,0.0
1847,7.33478415781974e-08,5.393223645455691e-10,1.0786447290911383e-09
1848,2.735375304041554e-08,0.0,0.0
1849,4.1897074254393374e-08,8.379414939696517e-10,8.379414939696517e-10
1850,7.264225843073291e-08,0.0,2.0366988096043315e-09
1851,9.02921399870138e-08,0.0,3.2247193804124663e-09
1852,5.599068941819496e-08,0.0,7.812654523320361e-09
1853,7.345476404907458e-08,0.0,4.180352064508952e-09
1854,3.16935526711859e-08,0.0,2.5978321716024766e-09
1855,8.384960636931282e-08,0.0,1.0613874223963649e-09
1856,4.7630141608578924e-08,0.0,2.5885946719483854e-09
