year,était_VERB également_ADV,était_VERB egalement_ADV,était_VERB légalement_ADV,etait_VERB également_ADV,etait_VERB egalement_ADV
1800,8.960868740359729e-07,3.144164484325529e-09,4.4018303668735825e-08,3.144164484325529e-09,0.0
1801,1.1167746833962156e-06,4.7623651688866175e-09,1.6668277424969347e-08,0.0,0.0
1802,7.854819159547333e-07,0.0,4.923248297927785e-08,4.475680270843441e-09,0.0
1803,9.381131462760095e-07,0.0,3.90067853572873e-08,0.0,0.0
1804,1.1568262152650277e-06,4.943701892301533e-09,1.2359254952798437e-08,2.4718509461507665e-09,0.0
1805,7.334624569921289e-07,0.0,1.1371510844071508e-08,0.0,0.0
1806,1.1440226899139816e-06,5.76333825108577e-09,1.152667650217154e-08,2.881669125542885e-09,0.0
1807,1.3466097925629583e-06,0.0,9.679647661187119e-08,2.8469551160981155e-09,0.0
1808,1.0378619208495365e-06,6.798221985349073e-09,8.157866204783204e-08,4.5321479902327155e-09,0.0
1809,1.6310200408042874e-06,1.129515236897305e-08,5.421673421324158e-08,1.3554183553310395e-08,0.0
1810,1.3057907608526875e-06,0.0,6.552355102940055e-08,4.680253518074551e-09,2.3401267590372754e-09
1811,1.8251519122713944e-06,1.2535384286138651e-08,3.259199843341776e-08,7.521229861140455e-09,0.0
1812,1.352274580312951e-06,2.6672082320544632e-09,8.535066342574282e-08,1.0668832928217853e-08,0.0
1813,1.9698829873959767e-06,1.1502966579257645e-08,9.489947672136623e-08,0.0,0.0
1814,1.5513118114540703e-06,3.1466771410748606e-09,7.552024783308298e-08,6.293354282149721e-09,0.0
1815,1.958184384420747e-06,8.091670444798638e-09,8.631115377966125e-08,0.0,0.0
1816,1.7266148688577232e-06,2.3176038865813098e-09,3.9399267848239106e-08,0.0,0.0
1817,1.4977122191339731e-06,4.670620334934483e-09,5.1376822796100896e-08,0.0,0.0
1818,1.8453982875143993e-06,0.0,5.0068944545955674e-08,2.384235475716423e-09,0.0
1819,1.3590928347184672e-06,6.210630232317271e-09,4.7614829412623294e-08,4.140420006848444e-09,0.0
1820,1.7348795608995715e-06,2.3732962262101864e-09,6.289234733003468e-08,2.3732962262101864e-09,2.3732962262101864e-09
1821,1.6202425285882782e-06,8.875339574387908e-09,5.9168929311681495e-08,6.903041693817613e-09,3.94459531705138e-09
1822,1.7354341252939776e-06,3.0076847679083585e-09,5.413832582235045e-08,3.0076847679083585e-09,4.010246357211145e-09
1823,1.9913613868993707e-06,1.9765373782121287e-09,1.1463917104492793e-07,3.9530747564242574e-09,0.0
1824,1.837486820477352e-06,2.5263338088166165e-09,6.905312233129735e-08,2.5263338088166165e-09,8.421112696055388e-10
1825,2.015565996771329e-06,1.7610886082763955e-09,1.0038205289220059e-07,8.805443485471187e-09,0.0
1826,1.9553724541765405e-06,1.4092774947016551e-08,1.418085417981274e-07,7.927186018719112e-09,8.807984341885344e-10
1827,2.296944558111136e-06,1.1982455028203276e-08,1.3733736636822869e-07,7.373818444733615e-09,9.217273055917019e-10
1828,2.3196748770715203e-06,1.0089530988466322e-08,1.6510142586412258e-07,2.2930752408001354e-08,5.503380862137419e-09
1829,2.5839551653916715e-06,6.858540846366168e-09,1.2345373079369892e-07,1.0287811491593857e-08,1.714635211591542e-09
1830,1.923508762047277e-06,5.218417697960831e-09,1.575962187416735e-07,9.39315203396518e-09,0.0
1831,2.2357789930538274e-06,1.091384405071949e-08,8.263339168479433e-08,3.1182412207897414e-09,1.5591206103948707e-09
1832,2.1553241822402924e-06,6.764984572527055e-09,1.7318360789886356e-07,2.705993873419743e-09,0.0
1833,2.037560307144304e-06,2.3167257001688313e-09,1.4942881421120546e-07,1.1583628500844156e-09,1.1583628500844156e-09
1834,1.9957226413680473e-06,0.0,1.5682012133311218e-07,2.8003592777992026e-09,9.334530925997342e-10
