year,ait_VERB assez_ADV,ait_VERB lassé_VERB
1800,6.854278353785048e-07,2.2009151834367913e-08
1801,7.024488581919286e-07,0.0
1802,6.444979590014555e-07,0.0
1803,6.065554885026359e-07,0.0
1804,7.390834184661799e-07,2.4718509461507665e-09
1805,4.491746778967354e-07,0.0
1806,6.195588753143966e-07,0.0
1807,4.98217161748471e-07,0.0
1808,4.3961836126982234e-07,0.0
1809,6.076792260500952e-07,2.259030518203531e-09
1810,5.358890007300943e-07,0.0
1811,3.785685862567334e-07,0.0
1812,5.307744572746742e-07,0.0
1813,5.924027846049285e-07,2.8757416448144113e-09
1814,3.776012533762696e-07,1.2586708564299443e-08
1815,4.045835453325708e-07,0.0
1816,4.936496225127485e-07,0.0
1817,4.32810793427052e-07,1.401186100480345e-08
1818,4.23201782950855e-07,0.0
1819,5.175525075173937e-07,0.0
1820,4.153268378104258e-07,0.0
1821,3.609304712881567e-07,0.0
1822,4.992756430510781e-07,0.0
1823,3.3403480870219937e-07,9.882686891060644e-10
1824,3.494761813271907e-07,0.0
1825,4.781355755767436e-07,0.0
1826,3.9724008615849016e-07,9.688783109140786e-09
1827,3.594736597278825e-07,0.0
1828,3.3020285172824515e-07,5.503380862137419e-09
1829,3.8064902696532954e-07,0.0
1830,4.2269184064025467e-07,0.0
1831,4.022531072678248e-07,6.236482441579483e-09
1832,4.0725208805270086e-07,1.3529969367098715e-09
1833,4.042686327920819e-07,1.1583628500844156e-09
1834,3.761815889902209e-07,9.334530925997342e-10
1835,3.4714574326244474e-07,0.0
1836,3.4141410765187175e-07,1.3441500135158435e-09
1837,4.0355766373068036e-07,0.0
1838,3.6168688666293747e-07,6.312161904276081e-10
1839,3.6215840282238787e-07,6.9914751765765e-10
1840,3.7899647509220813e-07,0.0
1841,3.287320851086406e-07,0.0
1842,3.3608407079555036e-07,9.391571076378114e-09
1843,3.733167659447645e-07,4.7255288571079745e-09
1844,3.7596643664983276e-07,5.488561272137815e-10
1845,3.627148146279069e-07,1.674068439427856e-09
1846,3.518555331538664e-07,1.7563503984519002e-09
1847,3.0525646366186265e-07,0.0
1848,3.990429888744984e-07,0.0
1849,2.9998304285072663e-07,0.0
1850,3.645690753728559e-07,1.3577992064028876e-09
1851,3.8180678529897705e-07,3.2247193804124663e-09
1852,3.320378141324909e-07,1.9531636308300904e-09
1853,3.218871142962598e-07,5.971931837933653e-10
1854,3.673334845188947e-07,1.0391328908454511e-09
1855,3.348677353187668e-07,8.491099379170919e-09
1856,2.4384561925216985e-07,3.6240324075009767e-09
1857,2.67018549493514e-07,9.763017949637742e-09
1858,3.35216810753991e-07,2.4468380654951716e-09
1859,3.0298431852315844e-07,5.092173349652285e-10
1860,3.1491026675212197e-07,4.577183909670879e-10
1861,2.7682708036991244e-07,4.715963619617014e-09
1862,3.5466192116473394e-07,3.6143890103090826e-09
1863,3.426309831411345e-07,0.0
1864,3.102188941284112e-07,9.589455896019672e-10
1865,2.8947093255737855e-07,2.3534221238463715e-09
1866,2.559312406447134e-07,0.0
1867,2.877717122373724e-07,4.85281148598915e-10
1868,2.9787440780637553e-07,2.4699371437009177e-09
1869,2.456410186368885e-07,9.767038289254515e-10
1870,2.3509599600401998e-07,0.0
1871,2.3260378156919614e-07,0.0
1872,2.6124504870495e-07,2.4189357183956872e-09
1873,2.585954064215912e-07,5.9860045809045914e-09
1874,2.551158218011551e-07,8.961913877669758e-09
1875,2.5174719553433533e-07,5.721527140956084e-10
1876,3.228572040825384e-07,7.859819461941697e-09
1877,3.0120054361759685e-07,2.4739263970730008e-09
1878,2.7779807965089276e-07,6.039088673581716e-10
1879,2.0649518717164028e-07,8.55305515301552e-09
1880,1.7969969690057042e-07,6.417846254436199e-10
1881,1.9871646372848772e-07,6.972507571312292e-10
1882,2.2228987006656098e-07,0.0
1883,2.5087774702114984e-07,0.0
1884,2.389814426351222e-07,1.9805090900604227e-09
1885,2.1721791654272238e-07,6.445635691854079e-10
