year,devraient_VERB imiter_VERB,devraient_VERB limiter_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,1.5664880947952042e-08,0.0
1803,3.1205427575287104e-08,0.0
1804,1.730295728918918e-08,0.0
1805,0.0,0.0
1806,8.645007376628655e-09,0.0
1807,0.0,0.0
1808,6.798221985349073e-09,0.0
1809,2.0331274441787173e-08,0.0
1810,1.4040760554223652e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,2.1337665856435706e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,1.8880061958270744e-08,0.0
1815,2.6972236000233352e-08,0.0
1816,2.0858434979231788e-08,0.0
1817,4.0478710161551135e-08,0.0
1818,1.5497530370112145e-08,0.0
1819,1.3456364911235141e-08,0.0
1820,1.779972080839798e-08,0.0
1821,8.875339574387908e-09,0.0
1822,1.0025615893027862e-08,0.0
1823,2.9648061783404955e-09,0.0
1824,4.5474010335055937e-08,0.0
1825,5.283265824829186e-09,8.805443041381977e-10
1826,1.7615968683770689e-09,0.0
1827,2.027800150017356e-08,0.0
1828,9.172301140836225e-09,0.0
1829,3.429270423183084e-09,0.0
1830,9.39315203396518e-09,0.0
1831,9.354723218280014e-09,0.0
1832,0.0,0.0
1833,1.0425265983826648e-08,0.0
1834,1.4935249481595747e-08,0.0
1835,9.832014313815307e-09,7.563087933704082e-10
1836,2.419469957715137e-08,0.0
1837,1.2524203896191466e-08,0.0
1838,1.009945904684173e-08,0.0
1839,4.194885327990505e-09,0.0
1840,6.3696887764308485e-09,0.0
1841,9.630822361827995e-09,0.0
1842,1.7441490030023488e-08,6.708265054555795e-10
1843,1.063243981747064e-08,0.0
1844,9.879410178825765e-09,8.232841963717874e-09
1845,1.6182660544927785e-08,0.0
1846,9.367202125076801e-09,0.0
1847,8.089835468183537e-09,0.0
1848,1.287235473768078e-08,0.0
1849,1.5920887719289567e-08,0.0
1850,1.3577992064028876e-08,0.0
1851,9.674158363282004e-09,0.0
1852,1.3021090872200602e-09,0.0
1853,8.360704129017904e-09,0.0
1854,1.454786069388092e-08,0.0
1855,7.960405667972736e-09,3.714855978387277e-09
1856,1.346069211649592e-08,0.0
1857,1.513267733344037e-08,0.0
1858,1.1255455234504552e-08,0.0
1859,1.476730293603623e-08,0.0
1860,3.066713105681629e-08,0.0
1861,1.9807048445841247e-08,0.0
1862,2.2589931703009825e-08,0.0
1863,1.4484400345793347e-08,0.0
1864,2.3973639073915365e-08,0.0
1865,2.6358328852893465e-08,0.0
1866,1.4110277390955162e-08,0.0
1867,2.814630661873707e-08,0.0
1868,1.9265508299781686e-08,0.0
1869,1.8069020057964735e-08,2.441759683335931e-09
1870,1.9495765002375265e-08,0.0
1871,2.442870794538976e-08,0.0
1872,1.3304146229131675e-08,6.047339295989218e-10
1873,1.97538145840781e-08,5.986004469882289e-10
1874,4.182226565063729e-09,5.974609140757536e-10
1875,1.602027666081085e-08,4.577221712764867e-09
1876,5.441413541973361e-09,0.0
1877,9.27722432209066e-09,6.184815992682502e-10
1878,1.3285995414946683e-08,0.0
1879,1.1607718342077078e-08,6.10932526790009e-10
1880,1.4119262203848848e-08,0.0
1881,7.669758161910067e-09,0.0
1882,7.986462158271479e-09,0.0
1883,8.847074184359371e-09,1.8958017378167824e-09
1884,1.4523733327109767e-08,5.941527270181268e-09
1885,1.5469526104539e-08,6.445635691854079e-10
1886,1.355227396970804e-08,0.0
1887,1.8933882017790893e-08,6.528924623161458e-10
1888,1.3315291091942072e-08,0.0
1889,3.759081934617825e-09,6.265136742733546e-10
1890,1.1142456735058204e-08,0.0
1891,2.358461337337303e-08,7.649063604731055e-09
1892,9.402768341715273e-09,0.0
1893,2.155445777418663e-08,2.463366621796581e-09
1894,5.041231432301174e-09,0.0
1895,7.824199066419624e-09,1.2037228991346183e-09
1896,1.0024948871034667e-08,4.717623180994224e-09
1897,1.1070755867592652e-08,2.9133566670225264e-09
1898,1.2448380992680086e-08,3.3950129374460403e-09
