year,seront_VERB égaux_ADJ,seront_VERB egaux_ADJ,seront_VERB légaux_ADJ
1800,5.785262828794657e-07,0.0,0.0
1801,4.90523632379336e-07,0.0,0.0
1802,4.4756802708434407e-07,0.0,0.0
1803,3.4325969977544446e-07,0.0,3.900678446910888e-09
1804,1.2779469216184225e-06,4.943701892301533e-09,0.0
1805,1.904728037516179e-07,0.0,0.0
1806,2.881669161070022e-07,0.0,0.0
1807,4.811354301637039e-07,0.0,0.0
1808,5.393255833041621e-07,0.0,0.0
1809,6.121972546679899e-07,0.0,0.0
1810,7.511806643378804e-07,7.020380277111826e-09,0.0
1811,8.699556133251463e-07,0.0,0.0
1812,5.04102331433387e-07,2.6672082320544632e-09,0.0
1813,4.744973693959764e-07,0.0,0.0
1814,3.776012533762696e-07,0.0,0.0
1815,3.803085348863533e-07,0.0,0.0
1816,5.817185524392698e-07,2.3176038865813098e-09,0.0
1817,3.5808088227895496e-07,0.0,0.0
1818,1.227881227805483e-07,0.0,0.0
1819,2.7016241688215814e-07,1.035105001712111e-09,0.0
1820,1.0323838495196469e-07,0.0,0.0
1821,2.1103585368109634e-07,4.930744257336528e-09,0.0
1822,2.3560197348615475e-07,1.0025615893027862e-09,0.0
1823,3.0833982123112946e-07,0.0,0.0
1824,2.3410693472669664e-07,0.0,8.421112696055388e-10
1825,3.0995158795121824e-07,0.0,9.68598712347557e-09
1826,3.4791537473211065e-07,8.807984341885344e-10,0.0
1827,1.8987581995588698e-07,0.0,0.0
1828,2.852585794244078e-07,0.0,0.0
1829,1.1573787617180642e-07,0.0,0.0
1830,3.684203022658039e-07,0.0,0.0
1831,1.9177183219198923e-07,1.5591206103948707e-09,0.0
1832,2.2730348803179368e-07,4.058990921151917e-09,0.0
1833,2.664234557414602e-07,1.3900354645102198e-08,1.2741991461950875e-08
1834,1.9509170101628115e-07,1.8669061851994684e-09,9.334530925997342e-10
1835,1.8227041209684103e-07,0.0,0.0
1836,1.6331422614257463e-07,5.376600054063374e-09,1.3441500135158435e-09
1837,3.44415610697979e-07,6.957890930081589e-10,0.0
1838,2.3544363614291797e-07,0.0,6.312161904276081e-10
1839,1.9576130227960675e-07,0.0,0.0
1840,1.738925021754767e-07,4.458782232319436e-09,6.369688665408546e-10
1841,1.5473521841613547e-07,0.0,2.5682194149112547e-09
1842,1.2410289684794407e-07,0.0,0.0
1843,2.604947724194062e-07,1.1813822142769936e-09,0.0
1844,2.5466923148087517e-07,5.488561272137815e-10,0.0
1845,2.26557247628989e-07,5.580227946389016e-10,0.0
1846,1.6802418656425289e-07,0.0,0.0
1847,2.1033572750184248e-07,5.393223645455691e-10,1.0786447290911383e-09
1848,2.6871040859077766e-07,0.0,0.0
1849,1.7512977024125576e-07,8.379414939696517e-10,0.0
1850,1.8669739176857547e-07,0.0,6.788996032014438e-10
1851,2.7281126335765293e-07,0.0,0.0
1852,2.2526486986862437e-07,0.0,0.0
1853,1.6781127953890973e-07,0.0,0.0
1854,1.278133510140833e-07,1.558699391779328e-09,0.0
1855,1.1569122904120377e-07,1.0613874223963649e-09,0.0
1856,1.5842199729831918e-07,5.177189232874468e-10,0.0
1857,1.503504734046146e-07,6.345961978126979e-09,0.0
1858,1.7176802202811814e-07,4.893676019968041e-10,0.0
1859,1.0337112144043203e-07,1.018434669930457e-09,0.0
1860,1.1763362550709644e-07,9.154367819341758e-10,3.204028820036342e-09
1861,2.0372962694636954e-07,0.0,4.715963730639317e-10
1862,8.493814362964258e-08,0.0,4.517986262886353e-10
1863,1.0938219929812476e-07,0.0,0.0
1864,1.299371206187061e-07,0.0,0.0
1865,1.4685353733057127e-07,4.706844358715045e-10,0.0
1866,1.6786364653853525e-07,0.0,0.0
1867,1.4170208828545583e-07,0.0,0.0
1868,2.400778669198189e-07,4.93987406535723e-10,0.0
1869,1.8117856370736263e-07,9.767038289254515e-10,1.4650557433881772e-09
1870,1.3417674438187532e-07,5.734048791339319e-10,0.0
1871,1.3064048687283503e-07,0.0,1.0621177271019633e-09
1872,1.451361413273844e-07,0.0,0.0
1873,1.4067110498672264e-07,1.7958012854535355e-09,0.0
1874,1.2427186391050782e-07,1.1949218281515073e-09,1.1949218281515073e-09
1875,1.6649643441724038e-07,0.0,5.721527140956084e-10
1876,1.426859483899534e-07,0.0,0.0
1877,1.298811298511282e-07,0.0,0.0
1878,1.0447623566278708e-07,0.0,0.0
1879,1.3318329195044498e-07,0.0,3.665595160740054e-09
1880,1.6750578879509703e-07,0.0,0.0
1881,9.552335455964567e-08,0.0,0.0
