year,tout_DET livre_NOUN
1800,1.4148740090647038e-07
1801,1.714451536294348e-07
1802,2.752543366568716e-07
1803,1.3847408242284587e-07
1804,3.7819318521314926e-07
1805,5.685755488649136e-08
1806,2.2477019712141555e-07
1807,8.256169969911298e-08
1808,1.2690014283833762e-07
1809,9.939734613162443e-08
1810,1.544483629878357e-07
1811,1.4290337801980968e-07
1812,1.4936366454776362e-07
1813,1.00650957790549e-07
1814,9.440031245588898e-08
1815,4.315557666778602e-08
1816,7.879853036740769e-08
1817,1.0119677007480732e-07
1818,1.5378318707348626e-07
1819,1.3456365444142193e-07
1820,1.210381110894332e-07
1821,1.4397772396534947e-07
1822,8.922798144794797e-08
1823,6.917880845946911e-08
1824,1.0610602174665473e-07
1825,1.047847710822225e-07
1826,1.4357014599397644e-07
1827,7.465991469501887e-08
1828,8.98885534894589e-08
1829,1.6289034476812958e-07
1830,1.2732939680404343e-07
1831,9.042899362654566e-08
1832,1.2853471054175003e-07
1833,1.471120825158323e-07
1834,1.0361329394470431e-07
1835,8.395027606411531e-08
1836,1.1895727336508344e-07
1837,1.2872098120730868e-07
1838,1.7800295992742576e-07
1839,1.2374910873802492e-07
1840,1.9682337359938629e-07
1841,9.823439572897996e-08
1842,1.1873629457426205e-07
1843,1.6480281495034887e-07
1844,1.240414864711603e-07
1845,1.528982442877691e-07
1846,1.533879299131513e-07
1847,1.3698787881821772e-07
1848,1.697541782141876e-07
1849,2.1283713635966706e-07
1850,1.1405513333784256e-07
1851,1.6123597390560462e-07
1852,2.5260916203251327e-07
1853,1.797551512083828e-07
1854,1.7353518977358817e-07
1855,1.3851105862272561e-07
1856,1.5945742182221778e-07
1857,1.6304240202380527e-07
1858,2.084705919003227e-07
1859,2.439151065569689e-07
1860,1.524202217773052e-07
1861,1.8769534904095053e-07
1862,1.7439426794330082e-07
1863,1.668203388760503e-07
1864,1.8028177706241877e-07
1865,1.1578837227910199e-07
1866,1.7564861976016033e-07
1867,1.6499559585270163e-07
1868,1.7190761347762873e-07
1869,1.533425013633405e-07
1870,1.444980317621969e-07
1871,1.0621177359837475e-07
1872,1.7839650467976753e-07
1873,1.2750189187782368e-07
1874,1.2666171311792596e-07
1875,1.9395976380565116e-07
1876,1.227340984399916e-07
1877,1.8925537403902126e-07
1878,1.8962738579375582e-07
1879,2.1993570697986797e-07
1880,1.7264006935135967e-07
1881,1.6036767913618633e-07
1882,2.289452467607589e-07
1883,2.034827180086296e-07
1884,2.1653565340784553e-07
1885,1.7274304298098286e-07
1886,1.7811560937275317e-07
1887,1.2861981524281418e-07
1888,2.2001932520332446e-07
1889,2.1176162307012802e-07
1890,1.9335439915835195e-07
1891,1.778407323627107e-07
1892,1.8492111308887615e-07
1893,1.5457625224257754e-07
1894,1.777034128735977e-07
1895,1.600951442526366e-07
1896,1.881152229543659e-07
1897,1.1886495698831823e-07
1898,1.522097474726536e-07
1899,1.8627938658255516e-07
1900,1.6403728619884816e-07
1901,1.905760029785597e-07
1902,1.1539167465990374e-07
1903,1.4040572571261123e-07
1904,1.365154780330613e-07
1905,1.3985657076887037e-07
1906,1.8056088002538218e-07
1907,1.1468540783710068e-07
1908,1.6846064210263023e-07
1909,1.281729137825316e-07
1910,1.533771223360958e-07
1911,1.5322676816253988e-07
1912,1.4586378921377374e-07
1913,1.3310504304309134e-07
1914,1.2455943326772356e-07
1915,1.1309531688930008e-07
1916,1.5931819774550604e-07
1917,1.9958892139015916e-07
1918,1.47025623675745e-07
1919,1.3167223500420988e-07
1920,1.370573947667708e-07
1921,1.3555218103533662e-07
1922,1.5050988544373922e-07
1923,1.9745663371040223e-07
1924,1.314945698993597e-07
1925,1.418764932203942e-07
1926,1.7610898339626146e-07
1927,1.6835330107767277e-07
1928,1.1654561926643936e-07
1929,1.50395486286925e-07
1930,1.5335261061011352e-07
1931,1.4712910090253217e-07
1932,1.2165085849780155e-07
1933,1.0782422732447117e-07
1934,1.4018448979413733e-07
1935,1.292574651756695e-07
1936,1.3700927325999146e-07
1937,1.2087473066912935e-07
1938,1.257625825701325e-07
1939,7.188203454688846e-08
1940,1.3186071612381056e-07
1941,1.5347813686616973e-07
1942,2.0025798619371926e-07
1943,1.5096822991722547e-07
1944,1.2531426030193415e-07
1945,1.4160276862185128e-07
1946,1.0719250198576447e-07
1947,2.4676203480566983e-07
1948,1.6525269330713854e-07
1949,1.128955959828204e-07
1950,1.0316300524948474e-07
1951,1.3646594254623778e-07
1952,1.254831634156517e-07
1953,1.0019659235638301e-07
1954,1.5538332220899065e-07
1955,1.3984555868873372e-07
1956,1.0727003862953666e-07
1957,1.095544703844098e-07
1958,9.34763519921944e-08
1959,8.835852849387038e-08
1960,9.965999758776434e-08
1961,1.368787359012913e-07
1962,1.452308069360697e-07
1963,1.1509574526780142e-07
1964,1.4358165301153747e-07
1965,1.7784141448373703e-07
1966,1.2352136835591665e-07
1967,1.5185433754894007e-07
1968,1.576486922116871e-07
1969,1.253525163669167e-07
1970,2.3131586246449842e-07
1971,1.824131176109134e-07
1972,1.3492285899641132e-07
1973,1.0475086942296485e-07
1974,1.096986477211459e-07
1975,1.20512231749359e-07
1976,1.3541058763166802e-07
1977,1.2928920201105143e-07
1978,1.277227124063529e-07
1979,1.293286097103774e-07
1980,1.5634164562960962e-07
1981,1.1196222615694751e-07
1982,1.657403162491633e-07
1983,1.6419821591284744e-07
1984,1.6701145000297402e-07
1985,1.792636261654934e-07
1986,1.690444904056676e-07
1987,2.0898992902917968e-07
1988,1.9308903276282763e-07
1989,1.9153546981787173e-07
1990,1.8579899374593367e-07
1991,2.1511577080746136e-07
1992,1.5923738999612524e-07
1993,1.7891640463618685e-07
1994,1.719626072649305e-07
1995,1.6809597314093594e-07
1996,1.8843464699713763e-07
1997,1.7261620499642305e-07
1998,1.6211639219942953e-07
1999,1.9286249219874207e-07
2000,1.6567618477125734e-07
2001,1.8050592592855352e-07
2002,1.9233562387199754e-07
2003,1.7251060280276675e-07
2004,1.6782253953184778e-07
2005,1.5853198975790406e-07
2006,1.6965706917115853e-07
2007,1.6696924165504612e-07
2008,1.260202130981547e-07
2009,1.206352733262861e-07
2010,1.1195389459928151e-07
2011,1.1701354540871733e-07
2012,1.1812756983697881e-07
2013,1.0040849907078098e-07
2014,1.526638813698078e-07
2015,8.910633242376065e-08
2016,9.093182984365455e-08
2017,7.270116564317419e-08
2018,8.441396182057304e-08
2019,1.403043243808355e-07
