year,aurait_VERB eu_VERB,aurait_VERB lu_VERB
1800,3.53718496626243e-06,2.2009151834367913e-08
1801,2.471667585268733e-06,2.8574191901498125e-08
1802,2.9651382646989077e-06,2.4616241489638924e-08
1803,2.5939511942851823e-06,3.705644502360883e-08
1804,4.884377631242387e-06,6.179627121127851e-08
1805,2.948064093288849e-06,4.5486043376286034e-08
1806,2.6972422801918583e-06,1.729001475325731e-08
1807,5.3892858886683825e-06,5.4092147649953404e-08
1808,4.2171636778221e-06,3.6257183921861724e-08
1809,3.969116733060218e-06,1.8072244145628247e-08
1810,5.131897978571942e-06,4.680253340438867e-08
1811,4.926405836158665e-06,4.011322829455821e-08
1812,5.355754183256067e-06,5.601137331723294e-08
1813,5.9154003793082666e-06,6.614205716459765e-08
1814,4.4399612306733616e-06,5.349351184236184e-08
1815,5.09775236423593e-06,4.5852800667489646e-08
1816,4.4822459130955394e-06,6.025770460382773e-08
1817,5.403907380241435e-06,7.005930058312515e-08
1818,5.50519962416729e-06,4.530047448270125e-08
1819,5.575075647357153e-06,3.9333990287104825e-08
1820,5.8976411310140975e-06,6.170570543417853e-08
1821,7.275806183315581e-06,4.930744168518686e-08
1822,6.234930424398044e-06,6.215881853677274e-08
1823,5.98890846958966e-06,6.423746157224741e-08
1824,6.224886419659015e-06,7.663212642228245e-08
1825,6.570621735590976e-06,6.780191341704267e-08
1826,5.636229161609663e-06,8.455664612938563e-08
1827,8.250381142715923e-06,7.097300169789378e-08
1828,8.260574759333394e-06,6.512333783348367e-08
1829,8.75321256899042e-06,1.2002446680980938e-07
1830,7.963305506564211e-06,9.184415716845251e-08
1831,8.020116183615755e-06,7.327867024287116e-08
1832,8.709241228643805e-06,1.2853470821028168e-07
1833,7.476073733414523e-06,7.066013552048389e-08
1834,7.4246859185223e-06,9.054495109239724e-08
1835,7.616785751451971e-06,8.697551123759695e-08
1836,7.358549282798776e-06,7.258410050781094e-08
1837,7.2487309807911515e-06,7.166627824517491e-08
1838,7.16051636118209e-06,8.205810786421353e-08
1839,7.069779712765012e-06,8.249940464111205e-08
1840,7.965933036757633e-06,4.395085184683012e-08
1841,8.280581823782995e-06,8.089891423423978e-08
1842,8.053943020058796e-06,1.1135720257016146e-07
1843,7.586836545669939e-06,8.505951853976512e-08
