year,peuvent_VERB imiter_VERB,peuvent_VERB limiter_VERB
1800,4.087413785214267e-08,0.0
1801,3.809892135109294e-08,0.0
1802,1.0741632650024258e-07,0.0
1803,1.2092102963379148e-07,0.0
1804,4.943701981119375e-08,3.9549615138412264e-08
1805,4.5486043376286034e-08,3.980028751016107e-08
1806,1.152667650217154e-07,2.881669125542885e-09
1807,8.825561081948763e-08,5.693910232196231e-09
1808,4.985362878073829e-08,1.1330369531492579e-08
1809,2.9367397402779716e-08,0.0
1810,4.680253340438867e-08,7.020380277111826e-09
1811,5.0141537144554604e-08,0.0
1812,2.9339290108509886e-08,0.0
1813,2.0130190847567064e-08,2.8757416448144113e-09
1814,8.181360300341112e-08,3.1466771410748606e-09
1815,5.1247248222807684e-08,0.0
1816,9.502176112619054e-08,0.0
1817,1.120948880384276e-07,0.0
1818,6.437435473571895e-08,3.5763532135746345e-09
1819,7.866798057420965e-08,0.0
1820,7.95054262425765e-08,1.1866481131050932e-09
1821,5.719663320746804e-08,3.94459531705138e-09
1822,4.912551787583652e-08,3.0076847679083585e-09
1823,1.1859224713361982e-08,3.9530747564242574e-09
1824,3.452656116564867e-08,4.210556348027694e-09
1825,7.484626252107773e-08,1.8491430608946757e-08
1826,2.6423952803611428e-08,6.1655889282974385e-09
1827,7.005127855563842e-08,4.608636583469661e-09
1828,4.1275356466030644e-08,1.834460228167245e-08
1829,4.8009784592295546e-08,1.2859763920403111e-08
1830,3.965997663613052e-08,9.39315203396518e-09
1831,4.8332740476553226e-08,0.0
1832,2.570694235259907e-08,2.570694235259907e-08
1833,4.054269808762001e-08,8.108539617524002e-09
1834,1.6802156110884425e-08,8.401078055442213e-09
1835,3.7059130875150004e-08,9.075705520444899e-09
1836,4.032450107160912e-08,1.2097349788575684e-08
1837,2.6439986200443855e-08,6.957891152126194e-09
1838,4.5447563934430946e-08,4.418513555037862e-09
1839,3.705481788074394e-08,6.9914749545318955e-09
1840,1.9109066329292546e-08,2.8663599493938818e-08
1841,2.5682194149112547e-08,1.4125206782011901e-08
1842,3.8237111255057243e-08,6.708265054555795e-09
1843,2.658109998776581e-08,1.063243981747064e-08
1844,1.920996517412732e-08,8.232841963717874e-09
1845,2.511102614732863e-08,1.785672942844485e-08
1846,2.0490753982471688e-08,1.4636253098387897e-08
1847,1.833696039454935e-08,9.168480197274675e-09
1848,1.448139919091318e-08,1.528592186161859e-08
1849,1.5920887719289567e-08,1.005529792763582e-08
1850,2.7834882843080777e-08,6.788996032014438e-09
1851,1.2253933867611977e-08,1.4188765717904062e-08
1852,4.492276417522589e-08,2.0833745395520964e-08
1853,3.941475057445132e-08,1.791579506971175e-08
1854,3.273268589509826e-08,2.0263090760863633e-08
1855,1.5920811335945473e-08,4.2455496895854594e-09
1856,3.002769588533738e-08,6.212626857404757e-09
1857,1.5620829074691756e-08,8.78671624349181e-09
1858,2.5936483183386372e-08,4.404308473482388e-09
1859,1.5276519604867644e-08,1.6804172275897145e-08
1860,2.197048232233101e-08,2.6089947979812678e-08
1861,4.480165571862926e-08,1.226150558863992e-08
1862,2.5300723294208183e-08,1.400575744270327e-08
1863,2.3474717281146695e-08,1.1987090431375691e-08
1864,2.0137857603685916e-08,5.753673537611803e-09
1865,2.6358328852893465e-08,2.3063536858103362e-08
1866,1.6543083347642096e-08,8.271541673821048e-09
1867,3.785192959071537e-08,9.7056229719783e-09
1868,2.222943251695142e-08,1.432563490055827e-08
1869,1.8557372527538973e-08,3.4184632902167778e-09
1870,1.9495765002375265e-08,1.3761717099214366e-08
1871,5.2043770182308435e-08,9.559059321873065e-09
1872,3.265563108811875e-08,1.269941218851045e-08
1873,2.6937019725892242e-08,1.496501056408306e-08
1874,2.0313670745508716e-08,7.766991494406739e-09
1875,1.4875970677508121e-08,1.3159512590732447e-08
1876,1.6928840551599933e-08,2.539326260375674e-08
1877,1.2988113695655557e-08,1.36065949618569e-08
1878,2.113680963589104e-08,1.509772218355465e-08
1879,1.4662380642960215e-08,1.8327975581655664e-08
1880,3.401458670282409e-08,7.701415505323439e-09
1881,5.5780060570498335e-09,1.673401861523871e-08
1882,1.4641846846075168e-08,1.3310770263785798e-08
1883,2.274962085380139e-08,2.5277355319985872e-08
1884,2.442627788923346e-08,1.4523733327109767e-08
1885,1.6758653131887513e-08,2.900535989169839e-08
1886,2.452316216761119e-08,1.4197620856748472e-08
1887,2.2198344495905076e-08,1.6322312390570914e-08
1888,6.974675947901687e-09,1.4583413587843097e-08
1889,1.1903759755682586e-08,1.6915869593958632e-08
1890,2.0974036729626278e-08,2.818386235503567e-08
1891,1.4023283867459213e-08,2.42220359325529e-08
1892,1.8805536683430546e-08,2.7581453565517222e-08
1893,2.586534897375259e-08,2.8328715373504565e-08
1894,2.898708117982096e-08,2.142523314319078e-08
1895,1.3240951446391591e-08,2.4074457982692365e-08
1896,1.0024948871034667e-08,2.1229304536518612e-08
1897,2.155884004650943e-08,2.6220211779559577e-08
1898,1.810673566637888e-08,5.488604415404552e-08
1899,7.738609753005221e-09,1.492446166651007e-08
1900,2.28406342728249e-08,2.28406342728249e-08
1901,1.0618603774048552e-08,2.51493244007861e-08
1902,1.7677022512430085e-08,2.4060391012881155e-08
