year,auront_VERB également_ADV,auront_VERB egalement_ADV,auront_VERB légalement_ADV
1800,5.0306631749208464e-08,0.0,6.288328968651058e-09
1801,7.381665767525192e-08,0.0,4.7623651688866175e-09
1802,7.161088433349505e-08,0.0,1.3427040812530322e-08
1803,8.971560561121805e-08,0.0,3.705644502360883e-08
1804,1.0628959046243835e-07,0.0,2.7190360185613827e-08
1805,1.5635826855486812e-07,0.0,3.695740957709859e-08
1806,2.0171683523528827e-07,0.0,5.4751712497136396e-08
1807,1.7651122163897526e-07,0.0,5.97860605466849e-08
1808,1.0650547954682565e-07,0.0,5.6651849433819734e-08
1809,1.0617443280125372e-07,2.259030518203531e-09,9.036122072814123e-09
1810,1.3104709584155216e-07,4.680253518074551e-09,5.8503168531842675e-08
1811,9.025476543911282e-08,0.0,2.757784400841956e-08
1812,9.601949368942542e-08,0.0,2.9339290108509886e-08
1813,1.1215392170527139e-07,5.751483289628823e-09,5.751483289628823e-09
1814,1.0384034254684593e-07,0.0,3.1466771410748606e-09
1815,6.203614333344376e-08,0.0,5.394447111228828e-09
1816,1.5064425440414198e-07,0.0,6.952811659743929e-09
1817,1.1676550304429156e-07,3.113746815941454e-09,6.227493631882908e-09
1818,2.098127254157589e-07,0.0,1.3113295338484932e-08
1819,1.2110728420111627e-07,0.0,2.4842520929269085e-08
1820,7.831877724129299e-08,0.0,8.306536791735653e-09
1821,1.1735171057125626e-07,1.97229765852569e-09,5.9168927535324656e-09
1822,9.624591257306747e-08,0.0,1.0025615893027862e-08
1823,5.435477845594505e-08,2.9648061783404955e-09,2.3718449426723964e-08
1824,7.326367779114662e-08,8.421112696055388e-10,1.9368560089105813e-08
1825,1.0126259564202655e-07,0.0,2.7296874094417944e-08
1826,1.5061652991477104e-07,0.0,7.927186018719112e-09
1827,1.659109178930862e-07,1.8434546111834038e-09,5.2538457140371975e-08
1828,8.89713192009367e-08,1.8344602503717056e-09,1.4675682002973645e-08
1829,1.2173910235446783e-07,8.57317605795771e-10,1.5431716349212365e-08
1830,6.888311365749189e-08,0.0,7.305785310052215e-09
1831,1.02901957177437e-07,0.0,2.9623292263636358e-08
1832,9.335678896604804e-08,1.3529969367098715e-09,1.8941957335982806e-08
1833,1.1583628745093222e-07,0.0,1.1583628278799551e-08
1834,1.5682011600404167e-07,0.0,3.547121707470069e-08
1835,8.470658485748572e-08,0.0,2.647080776796429e-08
1836,1.2836633223045624e-07,0.0,4.5029025841358816e-08
1837,1.1132625443721622e-07,0.0,6.262101948095733e-09
1838,1.1172526304115138e-07,0.0,2.9035945203759184e-08
1839,1.6220222187612876e-07,1.3982950353153e-09,1.5381244722334486e-08
1840,6.942960906197726e-08,0.0,1.3376346252869098e-08
1841,8.410918539425438e-08,0.0,1.9903700021473014e-08
1842,8.04991784342235e-08,0.0,1.2745703159566801e-08
1843,1.1636614827281733e-07,0.0,4.7255288571079745e-09
1844,7.080243780155371e-08,0.0,7.683985892015244e-09
1845,1.2443908947723514e-07,0.0,1.1718478631905782e-08
1846,9.952652124667338e-08,5.854501328173001e-10,8.196302303531411e-09
1847,9.438141024276092e-08,0.0,1.5101026207275936e-08
1848,1.0297883479282177e-07,8.045221711050488e-10,4.02261068899179e-09
1849,9.80391574589845e-08,0.0,2.0948537127196687e-08
1850,7.739455210042934e-08,6.788996032014438e-10,2.647708541303473e-08
1851,1.2382922065512503e-07,0.0,9.029214709244116e-09
1852,8.919447469502018e-08,0.0,7.812654523320361e-09
1853,5.852493156766059e-08,0.0,1.3735443005202796e-08
1854,7.481756503224801e-08,1.0391328908454511e-09,6.754363734984281e-09
1855,1.1250707032672835e-07,0.0,1.751289246954002e-08
1856,1.0250834436842382e-07,0.0,4.659470143053568e-09
1857,9.567757652817477e-08,4.881509085841174e-10,1.6597130780837688e-08
1858,8.90649016760392e-08,0.0,1.468102750479261e-09
1859,1.1610155503660735e-07,0.0,1.884104072757964e-08
1860,9.337455350588719e-08,0.0,3.204028820036342e-09
1861,8.15861760372627e-08,9.431927461278633e-10,5.659156698811785e-09
1862,8.810073559573084e-08,0.0,1.355395884417021e-08
1863,9.240048548520008e-08,0.0,7.491931519609807e-09
1864,8.486668123808272e-08,0.0,1.4384183621984903e-08
1865,5.836487126931189e-08,0.0,1.1296426905005319e-08
1866,6.617233605510364e-08,0.0,2.238181906477621e-08
