year,fût_VERB égale_ADJ,fût_VERB légale_ADJ
1800,8.174827570428533e-08,9.432493897065797e-09
1801,5.000483582762172e-08,0.0
1802,1.0070280609397742e-07,2.2378401354217203e-09
1803,1.0921899473714802e-07,1.1702034896643454e-08
1804,1.2359254242255702e-07,0.0
1805,1.7341554325867037e-07,0.0
1806,2.1324350996110297e-07,2.881669125542885e-09
1807,1.5658253005312872e-07,0.0
1808,1.359644414833383e-07,1.1330369531492579e-08
1809,4.51806094758922e-08,0.0
1810,1.661489932303084e-07,0.0
1811,1.0529722516139373e-07,1.0028307073639553e-08
1812,2.0804223765935603e-07,1.3336041604361526e-08
1813,8.339650747757332e-08,0.0
1814,6.922689976818219e-08,0.0
1815,8.90083740046066e-08,2.697223555614414e-09
1816,2.4798362119327066e-07,6.952811659743929e-09
1817,1.1676550570882682e-07,1.556873407970727e-09
1818,7.152706160695743e-08,0.0
1819,1.438795891317568e-07,5.175524897538253e-09
1820,9.493184904840746e-08,1.1866481131050932e-09
1821,1.2918549430196435e-07,3.94459531705138e-09
1822,7.118187284049782e-08,1.0025615893027862e-09
1823,1.1562743651438723e-07,4.941343334508019e-09
1824,1.0021123841852386e-07,8.421112696055388e-10
1825,1.681839592038159e-07,7.044354433105582e-09
1826,1.4004695003677625e-07,6.1655889282974385e-09
1827,1.087638210606201e-07,5.530363722527909e-09
1828,1.2199160437376122e-07,7.337841001486822e-09
1829,6.172686539684946e-08,0.0
1830,9.497520636614354e-08,2.922314124020886e-08
1831,9.978371906527173e-08,3.1182412207897414e-09
1832,8.38858085216998e-08,6.764984572527055e-09
1833,1.0077756940063409e-07,1.50587169400751e-08
1834,6.534171603789218e-08,6.534171426153534e-09
1835,9.000074641107858e-08,7.563087933704082e-09
1836,8.468145296092189e-08,1.3441500135158435e-09
1837,1.0436836106464398e-07,1.3915781860163179e-09
1838,1.0983161757849302e-07,6.312161904276081e-10
1839,8.040196775027653e-08,3.216078425793967e-08
1840,6.688173215252391e-08,1.1465439264668476e-08
1841,9.630822717099363e-08,5.1364388298225094e-09
1842,9.794067068469303e-08,4.695785538189057e-09
1843,8.742228629898818e-08,4.7255288571079745e-09
1844,1.1141779054923973e-07,4.390849017710252e-09
1845,9.597992089993568e-08,1.674068439427856e-09
1846,6.498496674112175e-08,5.854501328173001e-09
1847,1.3483058580732177e-07,1.240441438454809e-08
1848,9.895622810063287e-08,6.43617736884039e-09
1849,7.206296714912241e-08,1.6758829879393033e-09
1850,6.924776130290411e-08,5.431196825611551e-09
1851,1.1995956583632505e-07,6.449438760824933e-10
