year,est_VERB en_PRON,est_VERB lent_ADJ
1800,2.7354229814591235e-07,3.9302057075474295e-07
1801,2.0001934331048687e-07,4.500435011323134e-07
1802,1.7902721083373763e-07,4.1623826518844e-07
1803,1.6382848855300836e-07,6.494629474218527e-07
1804,1.656140113936999e-07,3.435872883983393e-07
1805,2.2174445746259153e-07,4.406460334394069e-07
1806,1.5849180101668026e-07,3.7173532518863794e-07
1807,1.366538526781369e-07,3.814919864453259e-07
1808,1.1330369886763947e-07,2.923235342677799e-07
1809,2.1008983708270534e-07,7.703293931626831e-07
1810,9.126494404654295e-08,4.329234570832341e-07
1811,1.780024518893697e-07,4.7383750256813073e-07
1812,1.7870294755084615e-07,5.947874228695582e-07
1813,1.8117172828624462e-07,5.176335093892703e-07
1814,1.5104049566616595e-07,2.989343386161636e-07
1815,1.9150287755564932e-07,2.778140242298832e-07
1816,1.4369143741532753e-07,4.4266235477152804e-07
1817,1.743698163636509e-07,5.371213092075777e-07
1818,1.3470931037318223e-07,4.1843333065116894e-07
1819,1.428444846851562e-07,4.606217203217966e-07
1820,1.4477106446975085e-07,4.34313221830962e-07
1821,1.0847637099686835e-07,4.901159513792663e-07
1822,1.4136118409169285e-07,3.819759513135068e-07
1823,1.7690010167825676e-07,3.4095270962097857e-07
1824,2.1558048501901794e-07,3.7810795561199484e-07
1825,1.3120110509134975e-07,3.45173361893103e-07
1826,1.6823250348352303e-07,3.355841897700884e-07
1827,1.0507691428074395e-07,2.433360180020827e-07
1828,1.3024667566696735e-07,3.9165726661849476e-07
1829,1.8089401976340014e-07,2.94059930183721e-07
1830,1.4298464634521224e-07,3.527650562773488e-07
1831,1.6526678336958867e-07,3.9289838582590164e-07
1832,2.0024354796532862e-07,3.1254228360921843e-07
1833,2.942241508208099e-07,3.8110138689262385e-07
1834,1.3161688627860713e-07,3.883164936269168e-07
1835,1.9890921976184472e-07,4.182387556284084e-07
1836,2.3253795689015533e-07,3.4006995974777965e-07
1837,1.4472412601662654e-07,4.056450393363775e-07
1838,1.7674052799065976e-07,3.0424621400015894e-07
1839,1.7408773089755414e-07,3.978149436534295e-07
1840,1.853579334465394e-07,3.127517231860111e-07
1841,1.6565014959724067e-07,4.115571528018336e-07
1842,1.7240240879345947e-07,3.46817301988267e-07
1843,1.7070972546662233e-07,3.561867458756751e-07
1844,1.5532629049630486e-07,2.6345094283897197e-07
1845,1.9419192653913342e-07,3.2700134511287615e-07
1846,1.539733887057082e-07,3.424883345815033e-07
1847,1.493922923145874e-07,2.977059523345815e-07
1848,1.4722755281582067e-07,3.4514002322794113e-07
1849,1.4412593429824483e-07,3.184177614912187e-07
1850,2.3286256123355997e-07,3.129727303985419e-07
1851,1.7864945789369813e-07,4.35982059343587e-07
1852,2.0963956615105417e-07,3.001361505994282e-07
1853,2.3051656228290085e-07,4.502836645770003e-07
1854,2.0990484017602284e-07,3.169355409227137e-07
1855,2.0113292009682482e-07,4.0332722051061864e-07
1856,2.371152731939219e-07,3.2616293310638866e-07
1857,1.7671062835233897e-07,3.451226859851886e-07
1858,1.947683045955273e-07,3.1319527238338196e-07
1859,1.7873529145617795e-07,3.7987612699907913e-07
1860,1.7988332956520026e-07,3.6983647078159265e-07
1861,1.938261107170547e-07,3.6925996482750634e-07
1862,1.902072170878455e-07,4.1655832205833576e-07
1863,2.392423255059839e-07,3.401336812203226e-07
1864,1.9274806106750475e-07,4.1426449115533615e-07
1865,2.1604415678666555e-07,3.5677879850481986e-07
1866,2.3063005016865645e-07,3.999533930709731e-07
1867,2.2274404898325884e-07,3.595933435462939e-07
1868,2.1636648739331577e-07,3.8382822253879567e-07
1869,2.4417596478087944e-07,3.7505427030737337e-07
1870,2.1330662036689318e-07,4.409483551626181e-07
1871,2.145477822068642e-07,2.963308531889197e-07
1872,2.4007937327041873e-07,3.9247231597983046e-07
1873,1.9753814228806732e-07,3.93280487287484e-07
1874,2.1209862666182744e-07,4.1224802771466784e-07
1875,2.4202060444622475e-07,3.3757009987311903e-07
1876,2.2672556099223584e-07,3.7968973742863454e-07
1877,2.3007515892459196e-07,4.119087577691971e-07
1878,2.681355510958383e-07,4.034111213968572e-07
1879,2.541479204865027e-07,3.9405148299920256e-07
1880,2.2334104698984447e-07,2.8816128860853496e-07
1881,2.2869825500038132e-07,3.2701061059015046e-07
1882,2.455837204706768e-07,3.5739418535740697e-07
1883,2.3128779957914958e-07,4.1644443626864813e-07
