year,devrait_VERB imiter_VERB,devrait_VERB limiter_VERB
1800,1.8864987794131594e-08,0.0
1801,2.3811825844433088e-09,0.0
1802,4.475680270843441e-09,0.0
1803,0.0,0.0
1804,7.4155526164076946e-09,0.0
1805,2.842877711017877e-09,0.0
1806,8.645007376628655e-09,0.0
1807,5.693910232196231e-09,0.0
1808,4.5321479902327155e-09,0.0
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,3.008491944456182e-08,0.0
1812,3.467370746079723e-08,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,3.236668177919455e-08
1816,2.3176038865813098e-09,0.0
1817,2.9580593974287694e-08,0.0
1818,4.172412104708201e-08,0.0
1819,4.6579724966022695e-08,2.070210003424222e-09
1820,3.20394981656591e-08,0.0
1821,4.7335142028259725e-08,0.0
1822,1.2030739071633434e-08,0.0
1823,1.581229902569703e-08,0.0
1824,8.421112696055388e-09,0.0
1825,2.1133063299316746e-08,0.0
1826,1.3211976401805714e-08,0.0
1827,4.3321183085254233e-08,0.0
1828,3.0268594741755805e-08,0.0
1829,7.801590129474789e-08,0.0
1830,1.5655253093882493e-08,0.0
1831,9.354723218280014e-09,0.0
1832,2.0294953273491956e-08,4.058990921151917e-09
1833,2.4325620628928846e-08,0.0
1834,1.3068342852307069e-08,0.0
1835,1.0588323107185715e-08,1.0588323107185715e-08
1836,1.4785650037651976e-08,0.0
1837,1.461157062010443e-08,0.0
1838,1.0730675015224733e-08,1.2624323808552163e-09
1839,1.8177836125232716e-08,0.0
1840,1.0191501864653674e-08,6.369688665408546e-10
1841,2.5040138851295524e-08,6.420548537278137e-10
1842,2.5491406319133603e-08,0.0
1843,1.6539351221922516e-08,0.0
1844,1.866110821424627e-08,0.0
1845,3.348136701220028e-08,1.1160455892778032e-09
1846,4.0981507964943376e-08,2.3418005312692003e-09
1847,2.1572894581822766e-08,7.011190739092399e-09
1848,1.045878850192139e-08,2.413566457803995e-09
1849,1.6758828991214614e-08,1.3407063903514427e-08
1850,2.0366988096043315e-09,6.788996032014438e-10
1851,1.096404567135778e-08,7.094382858952031e-09
1852,5.208436348880241e-09,1.9531636308300904e-09
1853,8.360704129017904e-09,0.0
1854,2.0782657372819813e-08,0.0
1855,1.2205955357558196e-08,3.1841622671890946e-09
1856,4.141751386299575e-09,2.0708756931497874e-09
1857,1.1715622250108026e-08,4.881509085841174e-10
1858,1.8106600663259087e-08,4.893676019968041e-10
1859,1.9350258284589472e-08,2.036869339860914e-09
1860,2.1055045706930287e-08,0.0
1861,1.4619487842537637e-08,9.431927461278633e-10
1862,1.581295272501393e-08,3.6143890103090826e-09
1863,1.2486552236623538e-08,0.0
1864,6.712618905169165e-09,1.4384183844029508e-09
1865,5.6482134525026595e-09,1.4120533631256649e-09
1866,1.9462451206209153e-08,9.731225825149181e-10
1867,6.308654931785895e-09,4.85281148598915e-09
1868,2.5193358510477992e-08,1.679557115608077e-08
1869,1.8557372527538973e-08,3.906815315701806e-09
1870,4.587239033071455e-09,0.0
1871,2.2304472935275044e-08,0.0
1872,1.0280476914203973e-08,1.4513614310374123e-08
1873,1.3767810003173508e-08,0.0
1874,1.1351757756017378e-08,3.5847653734322193e-09
1875,1.0298748520654044e-08,1.716458086775674e-09
1876,1.753344314181504e-08,3.627608879952504e-09
1877,8.658742167710898e-09,3.0924081073635534e-09
1878,2.2344627481629686e-08,1.2078177347163432e-09
1879,2.2604503158163425e-08,6.10932526790009e-10
1880,6.417846254436199e-09,0.0
1881,6.9725074602899895e-09,2.091752326904839e-09
1882,2.0631693686823382e-08,6.655385131892899e-10
1883,1.2638677659992936e-08,3.791603475633565e-09
1884,5.941527270181268e-09,0.0
1885,1.0957580620640783e-08,8.379326565943757e-09
1886,1.355227396970804e-08,2.5813855497602844e-09
1887,8.48760173255414e-09,1.566941953967671e-08
1888,1.3315291091942072e-08,3.804368819970705e-09
1889,1.2530273707511697e-08,0.0
1890,3.2771931834929546e-09,4.5880703680722945e-09
1891,1.1473596295275001e-08,7.649063604731055e-09
1892,3.1342561879199593e-09,1.9432388143059143e-08
1893,1.23168328869383e-08,6.774258043407144e-09
1894,1.2603078580752936e-08,8.192000855444803e-09
1895,5.416753268150387e-09,5.416753268150387e-09
1896,4.1279202278587945e-09,6.486732040400511e-09
1897,3.437761009195128e-08,6.409385022720926e-09
1898,1.0185038590293516e-08,9.05336783318944e-09
1899,1.0502398950507086e-08,1.8241008703512307e-08
1900,3.114631885736685e-09,1.764958135197503e-08
1901,6.147612641171918e-09,1.2295225282343836e-08
1902,3.928227076954727e-09,1.6694965410124496e-08
1903,3.7801539676252105e-09,1.0800440541913758e-08
1904,5.912087708281888e-09,5.374625189347171e-09
1905,1.3417973399043603e-08,6.192911072844254e-09
1906,3.0865106026567446e-09,7.201858220895474e-09
1907,4.114274698707732e-09,1.0285686968813934e-08
1908,7.858222517143076e-09,1.620758460774141e-08
1909,7.701377313651392e-09,7.701377313651392e-09
1910,4.275320542035388e-09,6.947395991829808e-09
1911,1.5429085564733214e-08,6.916486494645824e-09
1912,1.927485904218429e-08,8.335073964360618e-09
1913,6.893886794756554e-09,9.015082902408267e-09
1914,3.0135346662518714e-08,5.357394972094198e-09
1915,8.246533234057551e-09,2.3561523843085297e-09
1916,3.2962386153911893e-09,6.592477230782379e-09
1917,0.0,5.483212106582869e-09
1918,0.0,4.594550517822427e-09
1919,5.524709134618888e-09,7.366278698128781e-09
1920,5.300562211374427e-09,1.514446346106979e-08
1921,7.572747762196741e-09,3.7863738810983705e-09
1922,1.549366501762961e-08,3.6889677978990676e-09
1923,4.246379248229459e-09,7.431163684401554e-09
1924,1.289162443462999e-09,1.2891624656674594e-08
1925,1.2097995494286806e-08,1.4297631523163545e-08
1926,8.916910765321973e-09,5.57306911730393e-09
1927,1.1149224654616319e-08,2.0068604555945058e-08
1928,4.570416489713125e-09,9.14083297942625e-09
1929,7.798284684668033e-09,8.912325100141061e-09
1930,7.352522590764465e-09,7.352522590764465e-09
1931,1.1405356659111021e-08,7.983749661377715e-09
1932,9.863582839386709e-09,9.863582839386709e-09
1933,1.605892663292252e-08,1.9500125958415992e-08
1934,1.5576054224197833e-08,8.38710612072191e-09
1935,1.196828414151696e-08,1.0771455727365264e-08
1936,8.487299751891442e-09,1.33371855781661e-08
1937,3.777335333410292e-09,1.0072894518486919e-08
1938,6.482607339819424e-09,1.2965214679638848e-08
1939,0.0,9.176430282309411e-09
1940,7.607348528892999e-09,0.0
1941,2.9515025978810172e-09,2.9515025978810172e-09
1942,3.034211770724937e-09,1.517105907566929e-08
1943,2.9032352077962287e-09,1.7419411690866582e-08
1944,3.2131861615880553e-09,3.2131861615880553e-09
1945,1.089252066321933e-08,6.535512131478072e-09
1946,4.1763312808029696e-09,1.6705325123211878e-08
1947,1.1920870957027319e-09,1.0728784083369192e-08
1948,1.0871887834440486e-09,6.523132700664291e-09
1949,5.890204768377316e-09,1.3743811422273211e-08
1950,1.2762433776458693e-08,6.381216888229346e-09
1951,6.396841278899501e-09,8.529121409139861e-09
1952,7.381362632230548e-09,1.1599284199803606e-08
1953,3.232148326759443e-09,1.939288907237824e-08
1954,8.795282724349818e-09,2.052232517257835e-08
1955,5.631364707880948e-09,1.8771215692936494e-08
1956,7.849027205963921e-09,2.3547082506070183e-08
1957,3.534015080575159e-09,1.3252556385623393e-08
1958,2.4816730892496253e-09,1.4062814024384807e-08
1959,1.5501495642666896e-09,1.6276571201956358e-08
1960,1.2457499920515147e-08,1.1765417085030094e-08
1961,6.25334317660986e-09,1.945484662257968e-08
1962,1.2049716779927166e-08,1.2049716779927166e-08
1963,3.879631726988464e-09,2.0691370394843034e-08
1964,1.0951143103454797e-08,2.7377858202726202e-08
1965,4.377634699181954e-09,1.5321720781003023e-08
1966,1.1078149952936656e-08,1.606331601067268e-08
1967,4.930335695263466e-09,1.5777073869571723e-08
1968,1.122853987567396e-08,1.7516521566562915e-08
1969,7.2668124850849836e-09,1.862120768691966e-08
1970,9.197449912790034e-09,2.0234390163409444e-08
