year,était_VERB à_ADP,était_VERB a_ADP,était_VERB là_ADV,etait_VERB à_ADP,etait_VERB a_ADP,etait_VERB là_ADV
1800,1.3790305274596903e-05,1.1633408547595536e-07,1.0721601029217709e-06,8.174827570428533e-08,0.0,0.0
1801,1.3953729649074376e-05,1.0715321963061797e-07,6.072015708014078e-07,4.524246932646747e-08,2.3811825844433088e-09,0.0
1802,9.645091267884709e-06,7.161088433349505e-08,4.498058672197658e-07,2.9091921760482364e-08,0.0,4.475680270843441e-09
1803,1.107402567868121e-05,1.2092103318650516e-07,4.05670562031446e-07,2.730474935042082e-08,3.900678446910888e-09,3.900678446910888e-09
1804,1.6410618627560325e-05,2.0763548569391332e-07,9.467188988310227e-07,4.2021465418429216e-08,0.0,7.4155528384522995e-09
1805,1.1965672456426546e-05,9.665784173051861e-08,5.316181272974063e-07,4.264316633140197e-08,5.685755422035754e-09,0.0
1806,1.3143292562745046e-05,2.1324351884288717e-07,4.553037342702737e-07,4.8988376022407465e-08,8.645007376628655e-09,5.76333825108577e-09
1807,1.5279607396223582e-05,1.9643990789575128e-07,7.402083497254353e-07,5.4092147649953404e-08,5.693910232196231e-09,5.693910232196231e-09
1808,1.1264653949183412e-05,2.4246992325061e-07,5.257291491034266e-07,5.891792298484688e-08,4.5321479902327155e-09,4.5321479902327155e-09
1809,1.3676170965482015e-05,1.8749952968022399e-07,6.506007821371895e-07,7.002994295568499e-08,6.7770917766551975e-09,0.0
1810,1.213121686305385e-05,2.0125090038902727e-07,5.241884082352044e-07,4.9142660607515154e-08,9.360507036149102e-09,4.680253518074551e-09
1811,1.7958191165234894e-05,3.560048993378473e-07,5.841488928126637e-07,5.264861391296449e-08,1.2535384286138651e-08,7.521230305229665e-09
1812,1.6520687495358288e-05,2.3471432797350644e-07,6.321283763099927e-07,5.067695596494559e-08,5.3344164641089264e-09,2.6672082320544632e-09
1813,2.138976560672745e-05,2.904499041278541e-07,8.483438023176859e-07,5.7514832008109806e-08,2.8757416448144113e-09,2.8757416448144113e-09
1814,1.9927905668737367e-05,3.3354778317118416e-07,8.024026669772866e-07,9.44003133440674e-08,9.440030979135372e-09,0.0
1815,2.0221084923832677e-05,3.10180708673613e-07,8.631115520074673e-07,4.315557688983063e-08,8.091670444798638e-09,2.697223555614414e-09
1816,1.8777227523969486e-05,1.9004351692331056e-07,7.578564691357315e-07,8.1116134253989e-08,9.270415546325239e-09,9.270415546325239e-09
1817,2.2764603272662498e-05,5.495762991358788e-07,9.668183338362724e-07,6.538868224659211e-08,3.113746815941454e-09,6.227493631882908e-09
1818,2.2199616068974137e-05,6.032115784648795e-07,1.0466793582963874e-06,6.437435939865566e-08,8.344824387052086e-09,2.384235475716423e-09
1819,2.0202143787173554e-05,4.492355651919411e-07,8.301541924993217e-07,5.693077564927762e-08,6.210630232317271e-09,1.5526575580793178e-08
1820,2.500860864529386e-05,6.728294863478368e-07,1.123755737353349e-06,3.9159388620646496e-08,1.0679833017945839e-08,8.306536791735653e-09
1821,2.4615261281724088e-05,5.295618947798175e-07,1.331300950369041e-06,7.691960568489975e-08,4.930744257336528e-09,1.97229765852569e-09
1822,2.5179333533742465e-05,4.792244254758771e-07,1.2361584822428995e-06,7.318699601910339e-08,6.015369535816717e-09,1.2030739071633434e-08
1823,2.7584555937210098e-05,4.911695370424241e-07,1.8263204992763349e-06,6.81905421018314e-08,2.9648061783404955e-09,6.917880934764753e-09
