year,avait_VERB assez_ADV,avait_VERB lassé_VERB
1800,8.646452442917507e-07,2.829747991484055e-08
1801,7.619784128110041e-07,0.0
1802,2.5958945570891956e-07,6.713520406265161e-09
1803,4.680814242874476e-07,5.851017448321727e-09
1804,8.799789270597103e-07,1.730295728918918e-08
1805,6.311188371910248e-07,8.528632911009026e-09
1806,6.685472158096673e-07,3.458002950651462e-08
1807,8.256170076492708e-07,0.0
1808,5.982435595797142e-07,9.064295980465431e-09
1809,6.483417678282422e-07,2.710836710662079e-08
1810,6.365144713527116e-07,4.914266327205041e-08
1811,8.072786954471667e-07,2.5070767684098882e-09
1812,8.161657092387031e-07,5.3344166417446104e-08
1813,9.950066441888339e-07,2.8757416448144113e-09
1814,8.307227403747675e-07,3.1466771410748606e-09
1815,8.307448524647043e-07,7.282503844407984e-08
1816,9.571704140398651e-07,2.7811246638975717e-08
1817,9.746026989887469e-07,2.0239355080775567e-08
1818,1.0359502766732476e-06,3.5763530803478716e-08
1819,8.653477721054514e-07,3.3123360054787554e-08
1820,1.155795303020568e-06,2.8479554714522237e-08
1821,1.0985697826981777e-06,5.9168929311681495e-08
1822,1.1750021258194465e-06,2.90742860897808e-08
1823,1.1434268571974826e-06,1.2847492847356534e-08
1824,1.1966401416430017e-06,4.210556348027694e-09
1825,1.3498744237949722e-06,1.8491430608946757e-08
1826,1.0701701285142917e-06,4.227832306469281e-08
1827,1.1715153505065246e-06,6.175572764277604e-08
1828,1.304301235904859e-06,3.393751413227619e-08
1829,1.7660743196756812e-06,3.772197487705853e-08
1830,1.297298695135396e-06,5.9489963177838945e-08
1831,1.216114128510526e-06,1.5591206548037917e-08
1832,1.3272899650473846e-06,1.8941957335982806e-08
1833,1.118978502745449e-06,1.2741991461950875e-08
1834,1.5084601727721747e-06,4.947301235347368e-08
1835,1.545138843539462e-06,9.453859917130103e-08
1836,1.1526086609592312e-06,4.838939915430274e-08
1837,1.2677277254624642e-06,2.2265250976261086e-08
1838,1.290205887016782e-06,3.408567295082321e-08
1839,1.387807856190193e-06,6.082583325905944e-08
1840,1.3777636240774882e-06,4.9046601446889326e-08
1841,1.1158913366671186e-06,2.43980835534785e-08
1842,1.5636966281817877e-06,3.152884531232303e-08
1843,1.1866984550579218e-06,3.1306630177141415e-08
1844,1.3842151247445145e-06,5.2141331252641976e-08
1845,1.417377916368423e-06,2.0646844234306627e-08
1846,1.3605861113319406e-06,3.102885770545072e-08
1847,1.2722614428639645e-06,5.716817241818717e-08
1848,9.243959766536136e-07,2.976732105253177e-08
1849,1.3189198853069684e-06,4.022119171054328e-08
1850,1.1609183729888173e-06,3.93761752093269e-08
1851,1.3040764770266833e-06,5.482023013314574e-08
1852,1.348985051663476e-06,2.929745512858517e-08
1853,1.2762018286593957e-06,2.448492075757258e-08
1854,1.1549961982382229e-06,3.273268589509826e-08
1855,1.2301479728193954e-06,3.767925349507095e-08
1856,1.2694467841356527e-06,4.970101485923806e-08
1857,1.3155666920283693e-06,1.6597130780837688e-08
1858,1.288994212700345e-06,5.334106845111819e-08
1859,1.4645090686826734e-06,4.4811123700583266e-08
1860,1.5612774859619094e-06,5.2179895959625355e-08
1861,1.340748440270545e-06,4.33868656557479e-08
1862,1.4041901295058778e-06,5.737842556641226e-08
1863,1.2896110774818226e-06,3.2465035104678464e-08
