year,devait_VERB imiter_VERB,devait_VERB limiter_VERB
1800,9.432493897065797e-09,3.144164484325529e-09
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,1.755305234496518e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,8.540865792383556e-09,2.8469551160981155e-09
1808,6.798221985349073e-09,9.064295980465431e-09
1809,4.51806094758922e-08,4.518061036407062e-09
1810,1.4040760554223652e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,2.8757416448144113e-09,0.0
1814,1.2586708564299443e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,1.71256075987003e-08,0.0
1818,1.4305412854298538e-08,0.0
1819,1.2421260464634543e-08,0.0
1820,1.4239777357261119e-08,1.1866481131050932e-09
1821,1.0847637454958203e-08,4.930744257336528e-09
1822,1.303330066093622e-08,1.0025615893027862e-09
1823,3.9530747564242574e-09,1.9765373782121287e-09
1824,1.6000115010683658e-08,5.894778887238772e-09
1825,3.0819052199149155e-08,0.0
1826,1.2331177856594877e-08,0.0
1827,3.96342727526644e-08,1.013900075008678e-08
1828,3.0268594741755805e-08,8.255071293206129e-09
1829,5.486832677092934e-08,4.286587973467704e-09
1830,5.9489963177838945e-08,0.0
1831,2.9623292263636358e-08,3.1182412207897414e-09
1832,3.3824925083081325e-08,4.058990921151917e-09
1833,2.7800709290204395e-08,4.6334514003376626e-09
1834,2.14694217959277e-08,1.5868701908061666e-08
1835,1.2100940693926532e-08,4.5378527602224494e-09
1836,3.2259599436201825e-08,0.0
1837,1.7394727436226276e-08,1.461157062010443e-08
1838,1.830527018853445e-08,6.312161904276081e-09
1839,3.985140750728533e-08,3.4957374772659477e-09
1840,5.6053259811505995e-08,1.7198159341091923e-08
1841,1.5409316489467528e-08,3.852329122366882e-09
1842,1.542900918138912e-08,6.708265054555795e-10
1843,3.7804230856863796e-08,5.906911071384968e-10
1844,3.951764071530306e-08,3.841992946007622e-09
1845,3.1807299905040054e-08,3.9061593959388574e-09
1846,3.33706573485415e-08,1.4636253098387897e-08
1847,2.8584086209093584e-08,9.168480197274675e-09
1848,4.424871846708811e-08,4.82713291560799e-09
1849,2.3462362719328667e-08,0.0
1850,2.3761487000228954e-08,8.146795238417326e-09
1851,3.224719336003545e-08,5.8044946626978344e-09
1852,3.190167419120371e-08,8.463708844885787e-09
1853,3.881755716861335e-08,7.763511611358354e-09
1854,3.117398605922972e-08,3.117398783558656e-09
