year,ont_VERB eu_VERB,ont_VERB lu_VERB
1800,2.362210761930328e-05,1.0690159797377419e-06
1801,2.500003574823495e-05,5.238601943347021e-07
1802,2.6243151296512224e-05,9.55557766246784e-07
1803,2.211489663750399e-05,7.918377491478168e-07
1804,2.432795736240223e-05,7.66273785757221e-07
1805,2.517652501410339e-05,1.2707663472610875e-06
1806,2.4070583094726317e-05,9.278974744120205e-07
1807,2.3202685042633675e-05,7.715248102613259e-07
1808,2.398865944996942e-05,7.885937520768493e-07
1809,2.3173135559773073e-05,9.239435030394816e-07
1810,2.3927796064526774e-05,8.471258752251742e-07
1811,2.2247799279284663e-05,8.950264032137056e-07
1812,2.2961996364756487e-05,1.2349173630354926e-06
1813,2.6123236239072867e-05,1.0410184358988772e-06
1814,2.9440310754580423e-05,8.968029874267813e-07
1815,2.6891319066635333e-05,1.0842838946700795e-06
1816,2.431166467431467e-05,1.0637801324264728e-06
1817,2.4855484298313968e-05,8.952022199082421e-07
1818,2.360750841035042e-05,7.593790201099182e-07
1819,2.4495759134879336e-05,8.001361493370496e-07
1820,2.6039806471089832e-05,9.861046237347182e-07
1821,2.464583121764008e-05,1.1449187695689034e-06
1822,2.455774665577337e-05,8.88269596543978e-07
1823,2.2165879272506572e-05,7.718378469689924e-07
1824,2.2020367396180518e-05,7.88216141245357e-07
1825,2.2145688490127213e-05,8.611723387730308e-07
1826,2.1635052689816803e-05,8.217849654101883e-07
1827,2.305147791048512e-05,7.558164156762359e-07
1828,2.3053662516758777e-05,8.585274144934374e-07
1829,2.5049963369383477e-05,8.804651656646456e-07
1830,2.4454549929942004e-05,8.025926945265383e-07
1831,2.6826228349818848e-05,1.0539655477259657e-06
1832,2.500744267308619e-05,9.619808452043799e-07
1833,2.2680744223180227e-05,7.95795301655744e-07
1834,2.353701893298421e-05,8.214387321459071e-07
1835,2.190799750678707e-05,8.100067248051346e-07
1836,2.2298105250229128e-05,7.876719223531836e-07
1837,2.35128009080654e-05,8.036363965402415e-07
1838,2.2556510884896852e-05,7.448351198036107e-07
1839,2.3313772544497624e-05,7.229185143842187e-07
1840,2.3734097339911386e-05,7.777389896546083e-07
1841,2.4334520276170224e-05,9.290533853345551e-07
1842,2.3593638616148382e-05,7.499840535274416e-07
1843,2.5166984414681792e-05,7.625822036061436e-07
1844,2.2509688278660178e-05,6.668602168247162e-07
1845,2.272268829983659e-05,6.311237825684657e-07
1846,2.4550265152356587e-05,7.979685392456304e-07
1847,2.4737099010962993e-05,6.229173550309497e-07
1848,2.691046211111825e-05,8.970422413767665e-07
1849,2.5341863874928094e-05,8.0191000506602e-07
1850,2.4255725293187425e-05,7.535785471191048e-07
1851,2.3928063455969095e-05,7.765124223624298e-07
1852,2.4230948838521726e-05,8.750172924010258e-07
1853,2.3973125280463137e-05,7.960584866850695e-07
1854,2.37540589296259e-05,7.481756938432227e-07
1855,2.324916022189427e-05,8.071851311797218e-07
1856,2.3106831577024423e-05,8.236908115577535e-07
1857,2.378808130742982e-05,8.059371339186328e-07
1858,2.3395687094307505e-05,9.273516070607002e-07
1859,2.339140701224096e-05,8.071094725892181e-07
1860,2.387092899880372e-05,8.184005082512158e-07
1861,2.4751263481448404e-05,8.163333404809237e-07
1862,2.408448199275881e-05,8.069123396126088e-07
1863,2.392023816355504e-05,6.882587513246108e-07
1864,2.405275336059276e-05,7.580464966849831e-07
1865,2.3730968678137287e-05,9.634910611566738e-07
1866,2.38439351960551e-05,7.775249173391785e-07
1867,2.3942800908116624e-05,7.36656772915012e-07
1868,2.420735836494714e-05,7.399931405416282e-07
1869,2.36699288507225e-05,9.293336802329577e-07
1870,2.2608781364397146e-05,6.88659270053904e-07
1871,2.624705302878283e-05,6.733826580784807e-07
1872,2.4807999579934403e-05,7.208428201010975e-07
1873,2.361658334848471e-05,6.90784929702204e-07
1874,2.3846458134357817e-05,7.229277230180742e-07
1875,2.4467539333272725e-05,8.004416258700076e-07
1876,2.4525053959223442e-05,8.107705866677861e-07
1877,2.3651355149922892e-05,8.262913979706354e-07
1878,2.4172055418603122e-05,7.277101872205094e-07
1879,2.42271398747107e-05,8.259807486865611e-07
1880,2.3671584131079726e-05,7.61798332860053e-07
1881,2.3812508516130038e-05,8.255448733507365e-07
1882,2.345158100069966e-05,7.746868391222961e-07
1883,2.35768220591126e-05,8.16458566532674e-07
1884,2.3578621039632708e-05,7.407103908008139e-07
1885,2.3991944544832222e-05,8.089272682809678e-07
1886,2.3326045266003348e-05,7.673168624933169e-07
1887,2.3665392291150056e-05,7.893469842201739e-07
1888,2.3699316443526186e-05,7.120510190361529e-07
1889,2.449668500048574e-05,8.27624546673178e-07
1890,2.515114647394512e-05,7.648969244655746e-07
1891,2.484415927028749e-05,7.92952960182447e-07
1892,2.444594429107383e-05,8.092649750324199e-07
1893,2.4098499125102535e-05,7.149921543714299e-07
1894,2.4139306333381683e-05,7.593354780510708e-07
1895,2.4207469323300757e-05,8.179297310562106e-07
1896,2.4017419491428882e-05,7.536402790719876e-07
1897,2.463767486915458e-05,8.087478136076243e-07
1898,2.407403735560365e-05,8.080130555754295e-07
1899,2.37591902987333e-05,8.120012466861226e-07
1900,2.379007673880551e-05,7.490689881706203e-07
1901,2.400083940301556e-05,7.662160896870773e-07
1902,2.0876563212368637e-05,6.324445394056966e-07
1903,2.2968757548369467e-05,7.576509233331308e-07
1904,2.2548165361513384e-05,7.717961807429674e-07
1905,2.2629412342212163e-05,7.694691817050625e-07
1906,2.2709516997565515e-05,7.207002568065946e-07
1907,2.2287540559773333e-05,8.521691370333428e-07
1908,2.3174879970611073e-05,9.007487733470043e-07
1909,2.1558355001616292e-05,8.840080454319832e-07
1910,2.2308087864075787e-05,8.518576350979856e-07
1911,2.2075297238188796e-05,7.868833336033276e-07
1912,2.2017098672222346e-05,8.194419365281647e-07
1913,2.1911422663833946e-05,7.954484431138553e-07
1914,2.2950411221245304e-05,7.64768117278436e-07
1915,2.8244376153452322e-05,8.411464023083681e-07
1916,2.6834679374587722e-05,1.0394138598712743e-06
1917,2.660564314282965e-05,8.15901955775189e-07
1918,2.4569359084125608e-05,7.615467438881751e-07
1919,2.4243343432317488e-05,8.462012601739843e-07
1920,2.168005630664993e-05,8.064426992859808e-07
1921,2.1654272131854668e-05,8.466331564704888e-07
1922,2.186967685702257e-05,8.00505972620158e-07
1923,2.154188223357778e-05,7.845185905352992e-07
1924,2.121832403645385e-05,8.598713634455635e-07
1925,2.0924033378832974e-05,7.753715181024745e-07
1926,2.030380528594833e-05,7.735420126664394e-07
1927,2.0881383534288034e-05,8.462261575914454e-07
1928,2.1355270291678607e-05,7.906820655989577e-07
1929,2.0764602595590986e-05,7.787144227222598e-07
1930,2.117211442964617e-05,6.869356639072066e-07
1931,2.0488581867539324e-05,7.037104978735442e-07
1932,2.1025871319579892e-05,6.619559940190811e-07
1933,2.1306754206307232e-05,7.375635959760984e-07
1934,2.0319561372161843e-05,6.781574484193698e-07
1935,1.9402981706662104e-05,6.726175456606143e-07
1936,2.0130662960582413e-05,5.73498994071997e-07
1937,2.0308214516262524e-05,6.169647690512647e-07
1938,2.0168687115074135e-05,6.080685466258728e-07
1939,1.8874387023970485e-05,6.239972663024673e-07
1940,1.8125776477972977e-05,5.604080115517718e-07
1941,1.672026155574713e-05,7.231181484712579e-07
1942,1.826898915169295e-05,6.007739443703031e-07
1943,1.6876505469554104e-05,8.01292912910867e-07
1944,1.8006694517680444e-05,7.133273243198346e-07
1945,1.9175193301634863e-05,6.644437462455244e-07
1946,1.8989778254763223e-05,5.888626901651151e-07
1947,1.932849954755511e-05,6.222694537427742e-07
1948,1.8733349861577153e-05,6.099128881942306e-07
1949,2.0062037947354838e-05,6.979892646086228e-07
1950,1.837684067140799e-05,7.040609375508211e-07
1951,1.857216193457134e-05,6.450147793657379e-07
1952,1.8089611330651678e-05,5.778552463198139e-07
1953,1.9096609321422875e-05,5.968700520497805e-07
1954,1.8583454220788553e-05,6.41078372609627e-07
1955,1.8403299691271968e-05,6.316514031823317e-07
1956,1.8761791579890996e-05,5.642578457809577e-07
1957,1.851293745858129e-05,5.018301294512639e-07
1958,1.8106286006513983e-05,5.61685340016993e-07
1959,1.83382690011058e-05,5.386769998949603e-07
1960,1.7967175153899007e-05,6.041887559149473e-07
1961,1.8235443349112757e-05,6.315876817097887e-07
1962,1.8676428226171993e-05,6.25316886271321e-07
1963,1.839139440562576e-05,5.884108418285905e-07
1964,1.9354320102138445e-05,6.35774711099657e-07
1965,1.88801914191572e-05,6.976855502216495e-07
1966,1.89813017641427e-05,6.098521225794684e-07
1967,1.9192317267879844e-05,6.863027124381915e-07
1968,1.9295572201372124e-05,6.943728863006982e-07
