year,furent_VERB à_ADP,furent_VERB a_ADP,furent_VERB là_ADV
1800,1.603523855919775e-06,3.144164484325529e-09,8.489244152087849e-08
1801,1.6692090412107063e-06,1.1905913144261149e-08,1.6906396638205479e-07
1802,1.6380989791286993e-06,6.713520406265161e-09,1.3427040812530322e-07
1803,1.5017611758594285e-06,1.1702035340732664e-08,1.5407680109547073e-07
1804,1.1790729104177444e-06,7.4155528384522995e-09,1.557266102736321e-07
1805,1.4328103361549438e-06,2.842877711017877e-09,3.1840230008128856e-07
1806,1.2448811048670905e-06,1.4408345627714425e-08,1.0085842205853623e-07
1807,1.4434062904911116e-06,2.8469551160981155e-09,1.1672516109229036e-07
1808,1.6519679775228724e-06,1.8128591960930862e-08,9.970725756147658e-08
1809,1.8004473076871363e-06,9.036122294858728e-09,1.6942729530455836e-07
1810,1.471939754082996e-06,7.020380277111826e-09,1.6380887757350138e-07
1811,1.6521636325705913e-06,2.757784489659798e-08,1.4791753244480788e-07
1812,1.2695911664195592e-06,1.8670457180292033e-08,1.8670458246106136e-07
1813,1.420616399627761e-06,2.0130191291656274e-08,1.2078115219082974e-07
1814,1.7464058146288153e-06,7.237357380063258e-08,1.3530711839848664e-07
1815,1.7154342231151531e-06,1.618334155573109e-08,7.552225866902518e-08
1816,1.6964860378720914e-06,3.476405829871965e-08,9.038654980031424e-08
1817,1.4868140851831413e-06,3.113746738225842e-08,1.821541957269801e-07
1818,1.7154574152300484e-06,1.3113294672351117e-08,2.396156730810617e-07
1819,1.8642241457200726e-06,1.5526575580793178e-08,2.5670604486549564e-07
1820,1.9971287201769883e-06,1.3053129244156025e-08,1.6019750148643652e-07
1821,1.8253614371133153e-06,7.889190523080458e-09,2.57384840551822e-07
1822,2.1324485715012997e-06,6.015369535816717e-09,2.456275751683279e-07
1823,2.3194666027848143e-06,1.0870955913233615e-08,1.4824030358795426e-07
1824,2.9061259283480467e-06,4.6316119828304636e-08,2.206331600973499e-06
1825,2.366903117945185e-06,1.937197513512956e-08,1.1482297850307077e-06
1826,3.0273042739281664e-06,1.3211976734872621e-08,6.042277505002858e-07
1827,2.649966063472675e-06,1.1060727833633877e-08,4.396639212700393e-07
1828,2.236207137684687e-06,2.659967268670016e-08,3.127754837350949e-07
1829,1.7086340449168347e-06,1.4574399131994653e-08,1.7317815093065292e-07
1830,1.8588004877528874e-06,6.157733123401954e-08,1.753388403358258e-07
1831,1.5107879107745248e-06,1.4032085271509231e-08,1.3252525832285755e-07
1832,1.355702920591284e-06,1.488296597074168e-08,1.8536057666551642e-07
1833,1.8545389366408926e-06,1.5058717495186613e-08,1.934465956310305e-07
1834,1.9546507701306837e-06,1.2134890647885754e-08,4.760610750054184e-07
1835,2.3385068743664306e-06,2.7227116561334697e-08,1.4142974578135181e-06
1836,2.974604058181285e-06,3.2931675331138166e-08,5.894098080716503e-07
1837,2.2919293769518845e-06,1.4611571286238245e-08,4.091239986792061e-07
1838,2.9338928015931742e-06,2.9667161172142187e-08,5.586263114309986e-07
1839,2.177145461246255e-06,4.684288257283953e-08,3.726456156982749e-07
1840,1.8733254592007142e-06,5.541629177763241e-08,6.548040119014331e-07
1841,1.8613170595926931e-06,1.6693426196923156e-08,2.8764057447006053e-07
1842,1.8742892962109181e-06,1.2074877542289641e-08,3.4950059557559143e-07
1843,1.5511548099311767e-06,1.1813822142769936e-08,2.782155092972971e-07
1844,1.5614956510034972e-06,2.03076760407761e-08,2.832097720784077e-07
1845,1.5423750028276118e-06,1.3392546627244428e-08,3.950801499286172e-07
1846,1.5502719179494306e-06,2.1076204115288988e-08,2.7457610940473387e-07
1847,1.5311361494241282e-06,2.3190861675459473e-08,2.5294218630733667e-07
1848,1.4730801467521815e-06,1.367687652020777e-08,1.9308532728246064e-07
1849,1.406903720635455e-06,2.0948537349241292e-08,2.966312990793085e-07
1850,1.6198544017242966e-06,2.647708541303473e-08,1.9688089025748923e-07
1851,1.4685372207168257e-06,2.2573035218798054e-08,2.250854151952808e-07
1852,1.2929942840855801e-06,1.3672145193766028e-08,3.3268887023041316e-07
1853,1.4213197800927446e-06,3.3442819624696085e-08,3.3144220878966735e-07
1854,1.7275584696108126e-06,7.689583353398532e-08,2.919963435488171e-07
1855,1.4249126252252609e-06,1.8574279891936385e-08,2.287289930791303e-07
1856,1.3124174529366428e-06,2.1744194111938953e-08,3.416944878154027e-07
1857,1.7549025415064534e-06,2.147863942258965e-08,2.855682907920709e-07
1858,1.3937188896306907e-06,3.0340791878913365e-08,2.936205589776364e-07
1859,1.413078052792116e-06,2.647930097410267e-08,2.3067545384947152e-07
