year,veulent_VERB imiter_VERB,veulent_VERB limiter_VERB
1800,9.118077315406481e-08,3.144164484325529e-09
1801,7.857902772911984e-08,2.3811825844433088e-09
1802,4.923248297927785e-08,0.0
1803,7.216254971353919e-08,0.0
1804,3.9549615138412264e-08,0.0
1805,3.1271653710973624e-08,0.0
1806,7.204172902675055e-08,2.881669125542885e-09
1807,3.4163463169534225e-08,2.8469551160981155e-09
1808,6.345007363961486e-08,0.0
1809,4.0662548883574345e-08,6.7770917766551975e-09
1810,3.510190182964834e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,9.868670503010435e-08,0.0
1813,1.00650957790549e-07,0.0
1814,1.5733385794192145e-07,1.2586708564299443e-08
1815,6.74305908887618e-08,1.3486118000116676e-08
1816,3.476405652236281e-08,0.0
1817,6.694555310104988e-08,1.401186100480345e-08
1818,4.530047448270125e-08,3.337929754820834e-08
1819,4.45095160728215e-08,9.315945348475907e-09
1820,1.6019750148643652e-07,2.1359666035891678e-08
1821,5.818278125957477e-08,0.0
1822,6.616906489398389e-08,3.0076847679083585e-09
1823,3.9530746676064155e-08,0.0
1824,2.947389532437228e-08,5.894778887238772e-09
1825,3.434122675116669e-08,8.805443041381977e-10
1826,3.963592831723872e-08,3.5231937367541377e-09
1827,1.1060727445055818e-08,4.608636583469661e-09
1828,5.4116576109208836e-08,8.255071293206129e-09
1829,4.2865881511033876e-08,0.0
1830,5.9489963177838945e-08,5.218417697960831e-09
1831,2.182768810143898e-08,1.5591206103948707e-09
1832,6.764985016616265e-08,1.3529969367098715e-09
1833,3.4750886612755494e-08,4.6334514003376626e-09
1834,3.173740381612333e-08,9.334530925997342e-10
1835,3.7059130875150004e-08,3.025235173481633e-09
1836,4.704525125021064e-08,6.72075017860152e-09
1837,6.74915412446353e-08,3.478945576063097e-09
1838,5.1759727170974656e-08,5.680945491803868e-09
1839,3.775396706373613e-08,1.3283802502428443e-08
1840,3.821813265858509e-08,3.821813088222825e-09
1841,2.760835826620678e-08,1.2841097074556274e-09
1842,6.708265232191479e-08,2.683306021822318e-09
1843,1.6539351221922516e-08,1.2404512972352677e-08
1844,3.2931367854871496e-08,7.683985892015244e-09
1845,4.51998474204629e-08,6.696273757711424e-09
1846,3.33706573485415e-08,6.439951683034906e-09
1847,4.961765753819236e-08,7.550513103637968e-09
1848,5.229394162142853e-08,1.6090443422100975e-09
1849,5.027649052635752e-08,0.0
1850,2.987158254086353e-08,2.7155984128057753e-09
1851,3.4826967976187007e-08,1.2898877521649865e-09
1852,3.5156944022674e-08,3.906327261660181e-09
1853,4.41922942684414e-08,2.388772735173461e-09
1854,4.1045748133683446e-08,1.558699391779328e-09
1855,3.555647865027822e-08,4.776243400783642e-09
1856,2.1226476576430287e-08,2.0708756931497874e-09
1857,4.4421732070532016e-08,1.9526036343364694e-09
1858,5.04048642824273e-08,4.404308473482388e-09
1859,5.601390640208592e-08,3.5645213447565993e-09
1860,4.668727626722102e-08,4.57718396518203e-09
1861,2.0750240636857598e-08,2.8295783494058924e-09
1862,2.2589931703009825e-08,7.680577063240435e-09
1863,2.4973104473247076e-08,4.994620717013731e-09
1864,4.3632024215867204e-08,5.753673537611803e-09
1865,4.142022902442477e-08,7.0602665935837194e-09
1866,2.968023871119385e-08,7.784980660119345e-09
1867,2.426405742994575e-08,7.279217228983725e-09
1868,1.8277534152844055e-08,2.9639244392143382e-09
1869,2.539429999615095e-08,8.30198221279943e-09
1870,2.5229814681893004e-08,1.3188312664169644e-08
1871,3.611200227737754e-08,5.3105884134652115e-09
1872,1.814201766592305e-08,0.0
1873,2.454261860407314e-08,6.584604861359367e-09
1874,2.9275584623178474e-08,1.1949218281515073e-09
1875,2.0597497041308088e-08,4.005069165202713e-09
1876,3.9903696347209916e-08,7.255217759905008e-09
1877,1.9791411176584006e-08,3.710889595609501e-09
1878,2.113680963589104e-08,9.058632954861423e-09
1879,1.9549840857280287e-08,3.665595160740054e-09
1880,3.2089232604448625e-08,1.0268554007097919e-08
1881,3.486253774553916e-08,3.4862537301449947e-09
1882,2.728707926280549e-08,6.655385131892899e-09
1883,2.274962085380139e-08,1.8958017378167824e-09
1884,2.0465261485469455e-08,3.9610181801208455e-09
1885,3.93183761104865e-08,4.511945039809007e-09
1886,3.6784744139595205e-08,4.5174246565693466e-09
1887,2.6115698048556624e-08,9.140494583448344e-09
1888,3.106901047544852e-08,1.014498351992188e-08
1889,1.4409814674820609e-08,1.1277245803853475e-08
1890,2.6872983838188702e-08,3.2771931834929546e-09
1891,2.7409146952095398e-08,7.649063604731055e-09
1892,1.002961980134387e-08,3.1342561879199593e-09
1893,2.0938616174248637e-08,6.774258043407144e-09
1894,2.9617234886814003e-08,5.041231432301174e-09
1895,1.6852119699706236e-08,1.2037228991346183e-08
1896,3.007484750128242e-08,5.307326134129653e-09
1897,5.2440420894583895e-09,1.0488084178916779e-08
1898,2.546259736391221e-08,9.619203211741478e-09
1899,2.984892333302014e-08,8.291367592505594e-09
1900,3.2703635355346705e-08,3.114631885736685e-09
1901,1.676621685930968e-08,5.029864968975062e-09
1902,1.178468167495339e-08,7.365425602756659e-09
1903,2.1060859722865644e-08,8.100330184390714e-09
1904,1.2361637935498493e-08,8.599400302955473e-09
1905,1.651442893546573e-08,1.186974607492175e-08
1906,1.9033482345776065e-08,5.144184633820714e-09
1907,1.8514235478050978e-08,7.199980611716228e-09
1908,2.701263923654551e-08,2.8486056180554442e-08
1909,2.475442606453271e-08,1.2102163715610459e-08
1910,2.6186338430989053e-08,1.2291546447329438e-08
1911,2.7133907565257687e-08,1.0108711201439746e-08
1912,1.3544495303108306e-08,1.40654377034366e-08
1913,2.1742257771961704e-08,1.2196876397752021e-08
1914,1.875088173619588e-08,1.0714789944188396e-08
1915,7.068456930880984e-09,1.0602685840410686e-08
1916,1.648119329900055e-08,3.2962386153911893e-09
1917,1.5352993543160665e-08,9.869782324756216e-09
1918,2.5270027848023346e-08,1.1486376294556067e-09
1919,1.4732557396257562e-08,3.6831393490643904e-09
