year,tant_ADV eu_VERB,tant_ADV lu_VERB
1800,5.973912209356058e-08,6.288328968651058e-09
1801,9.762848662830947e-08,2.1430643926123594e-08
1802,3.3567602031325805e-08,6.713520406265161e-09
1803,7.606323038089613e-08,5.070882025393075e-08
1804,9.145848167690929e-08,0.0
1805,1.0802935435094696e-07,2.842877711017877e-09
1806,9.797675204481493e-08,0.0
1807,1.537355700520493e-07,2.8469551160981155e-09
1808,7.024829073998262e-08,0.0
1809,6.777091243748146e-08,0.0
1810,9.828532654410083e-08,7.020380277111826e-09
1811,6.016983888912364e-08,0.0
1812,4.000812481308458e-08,1.8670457180292033e-08
1813,1.7254450312975678e-07,5.751483289628823e-09
1814,3.1466772298927026e-08,0.0
1815,5.1247248222807684e-08,5.394447111228828e-09
1816,8.343373991692715e-08,2.3176038865813098e-09
1817,8.874178547557676e-08,1.2454987263765815e-08
1818,6.914282835168706e-08,0.0
1819,8.384350280721264e-08,1.5526575580793178e-08
1820,1.2459804565878585e-07,2.4919611263385377e-08
1821,1.0255947557880063e-07,6.903041693817613e-09
1822,8.321261191213125e-08,8.02049271442229e-09
1823,8.499110748516614e-08,5.929612356680991e-09
1824,1.3894836570216285e-07,4.210556348027694e-09
1825,1.0478477463493618e-07,6.163809906922779e-09
1826,9.336463335785083e-08,3.5231937367541377e-09
1827,7.92685455053288e-08,5.530363722527909e-09
1828,1.0181254594954225e-07,9.172301251858528e-10
1829,1.2602568233432976e-07,3.429270423183084e-09
1830,4.174734158368665e-08,1.0436835840010872e-09
1831,5.3010101197514814e-08,0.0
1832,1.1500473817704915e-07,2.3000948701223933e-08
1833,5.3284690437749305e-08,2.3167257001688313e-09
1834,8.214387037241977e-08,2.8003592777992026e-09
1835,6.277362984974388e-08,3.025235173481633e-09
1836,1.2702217588866915e-07,8.736974699274924e-09
1837,8.071153700939249e-08,8.349468672008697e-09
1838,9.531364497661343e-08,3.787297142565649e-09
1839,9.29866175169991e-08,6.9914751765765e-10
1840,5.286841542329057e-08,9.554533164646273e-09
1841,5.072233477676491e-08,1.0272877659645019e-08
1842,6.641182181965632e-08,2.0124795163667386e-09
1843,5.316219997553162e-08,8.860366662588604e-09
1844,6.586273570974299e-08,5.488561161115513e-09
1845,6.138250796539069e-08,1.674068439427856e-09
1846,1.0245377524142896e-07,1.1709002656346001e-09
1847,6.094342808182773e-08,1.0786447290911383e-09
1848,5.229394162142853e-08,1.769948809737798e-08
1849,6.619738002200393e-08,9.217356655710773e-09
1850,8.825694663983086e-08,3.394498016007219e-09
1851,5.482023013314574e-08,7.094382858952031e-09
1852,6.901178295493082e-08,4.557382027314816e-09
1853,6.449686651421871e-08,3.5831591027601917e-09
1854,7.741540031247496e-08,2.0782657816909023e-09
1855,7.323573214534917e-08,1.0613874223963649e-08
1856,9.111852961041222e-08,5.177189343896771e-09
1857,1.2301403273795586e-07,1.9526036343364694e-09
1858,8.514996352460003e-08,1.468102750479261e-09
1859,6.110607841947058e-08,6.619825576592575e-09
1860,7.598125506547149e-08,1.7393299245327398e-08
1861,8.630213699234446e-08,9.903524222920623e-09
1862,5.963742211179124e-08,3.162590411776023e-09
1863,5.6439215967429845e-08,8.990317823531768e-09
1864,6.472883029573495e-08,1.726102105692462e-08
1865,6.777855787731824e-08,1.1767110841276462e-08
1866,8.174230003987759e-08,3.8924903300596725e-09
1867,5.046923945428716e-08,3.88224918879132e-09
1868,6.026646559575966e-08,5.9278488784286765e-09
1869,5.567211758261692e-08,9.278686263769487e-09
1870,4.4152177025580386e-08,2.0069171213776826e-08
1871,5.2043770182308435e-08,7.434824311758348e-09
1872,3.930770375859538e-08,9.675742873582749e-09
1873,5.6268440573603584e-08,2.3944017879529156e-09
1874,4.600449088343339e-08,8.364453130127458e-09
