year,pourrait_VERB imiter_VERB,pourrait_VERB limiter_VERB
1800,1.5720821977538435e-08,0.0
1801,1.4287095950749062e-08,0.0
1802,8.951360541686881e-09,0.0
1803,1.755305234496518e-08,0.0
1804,1.730295728918918e-08,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,2.2660739951163578e-09,2.2660739951163578e-09
1809,4.518061036407062e-09,2.259030518203531e-09
1810,2.3401266702194334e-08,0.0
1811,1.504245972228091e-08,0.0
1812,2.400487453257938e-08,5.3344164641089264e-09
1813,8.627225156487839e-09,2.8757416448144113e-09
1814,0.0,9.440030979135372e-09
1815,4.315557688983063e-08,1.0788894222457657e-08
1816,6.952811659743929e-09,0.0
1817,1.71256075987003e-08,0.0
1818,4.6492591110336434e-08,0.0
1819,2.6912729822470283e-08,2.2772310259711048e-08
1820,2.4919611263385377e-08,4.746592452420373e-09
1821,2.5639868894700157e-08,1.1833785507064931e-08
1822,2.105379337535851e-08,0.0
1823,7.906149512848515e-09,1.9765373782121287e-09
1824,1.0105335235266466e-08,5.052667617633233e-09
1825,1.7610886970942374e-08,2.641632912414593e-09
1826,1.76159691278599e-08,8.807984341885344e-10
1827,2.7651818612639545e-08,0.0
1828,2.8434133270138773e-08,2.7516904310687096e-08
1829,8.573175946935407e-09,1.1145129263923081e-08
1830,4.5922078584226256e-08,8.349468672008697e-09
1831,3.1182413096075834e-08,1.091384405071949e-08
1832,3.92369123858316e-08,1.0823975493678972e-08
1833,3.01174338801502e-08,2.3167257001688313e-09
1834,2.6136685704614138e-08,6.534171426153534e-09
1835,2.4958190181223472e-08,3.781543966852041e-09
1836,1.8146025126952736e-08,8.736974699274924e-09
1837,2.7831564608504777e-08,6.957891152126194e-09
1838,1.9567702125300457e-08,8.2058102535143e-09
1839,6.9914749545318955e-09,4.194885327990505e-09
1840,3.05745047057826e-08,1.592422194107712e-08
1841,1.733548060656176e-08,1.4767261191650505e-08
1842,3.6895457355967665e-08,2.2137275124123335e-08
1843,2.3627643841450663e-08,4.7255288571079745e-09
1844,2.4698525891153622e-08,1.6465683927435748e-08
1845,2.622707206967334e-08,1.0044410636567136e-08
1846,1.8734404250153602e-08,2.3418005312692003e-09
1847,1.6718992412734224e-08,1.0786447290911383e-08
1848,1.850401076808339e-08,2.494018680465615e-08
1849,2.262441967104678e-08,8.379414939696517e-10
1850,7.467895635215882e-09,1.968808760466345e-08
1851,2.8377531435808123e-08,9.674158363282004e-09
1852,1.7578472011337e-08,7.812654523320361e-09
1853,2.6873692604567623e-08,6.569124799682413e-09
1854,3.3252252507054436e-08,1.1950028522278444e-08
1855,2.388121700391821e-08,2.1227748447927297e-09
1856,2.485050742961903e-08,8.801221973442352e-09
1857,9.274867096564776e-09,5.857811125054013e-09
1858,2.104280660830682e-08,7.34051397444091e-09
1859,1.3748867822016564e-08,8.147477359443656e-09
1860,1.785101666484934e-08,2.0139609091529564e-08
1861,3.819930682880113e-08,1.226150558863992e-08
1862,2.2138133104476765e-08,7.228778020618165e-09
1863,6.99246927027275e-09,1.2486552236623538e-08
1864,2.1096802527154068e-08,4.794728170054441e-09
1865,2.6358328852893465e-08,1.882737743486018e-09
1866,1.9949013108089275e-08,1.4596839292835284e-09
1867,3.542552207136396e-08,1.844068364675877e-08
1868,2.1241458370013788e-08,5.433861360870651e-09
1869,2.197583626184496e-08,5.371870948067681e-09
1870,3.039045992636602e-08,1.3761717099214366e-08
1871,1.1683295220166201e-08,7.434824311758348e-09
1872,1.9351485747165498e-08,9.071008832961525e-09
1873,1.1972009161809183e-08,7.781805422268917e-09
1874,2.0313670745508716e-08,7.169530746864439e-09
1875,1.8881038954532414e-08,6.293679799540541e-09
1876,1.874264654588842e-08,1.753344314181504e-08
1877,3.834585982076533e-08,5.566334504436554e-09
1878,1.7513357875031943e-08,1.6305540029293297e-08
1879,1.588424503040642e-08,6.109325489944695e-09
1880,2.4387816210946767e-08,8.984985200299889e-09
1881,1.8825771164188154e-08,2.3009274485730202e-08
1882,2.6621540527571597e-08,1.6638463051776853e-08
1883,2.464542170343975e-08,1.7062214752172622e-08
1884,2.8387297845711146e-08,1.1222884843675729e-08
1885,9.023890079618013e-09,1.0313017106966527e-08
1886,2.2587123282846733e-08,1.0325542199041138e-08
1887,1.1099172247952538e-08,2.4809914123125054e-08
1888,1.268122939990235e-08,1.2047167707862627e-08
1889,9.397704836544563e-09,1.1277245803853475e-08
1890,1.6385966361553983e-08,3.4082809463598096e-08
1891,2.039750413018737e-08,2.103492668936724e-08
1892,1.6924984080901595e-08,1.6298132621272998e-08
1893,1.4780200174868696e-08,1.1085149687062312e-08
1894,1.5753848003896564e-08,1.0082462864602348e-08
