year,soient_VERB à_ADP,soient_VERB a_ADP,soient_VERB las_ADJ
1800,1.8299036810276448e-06,1.7607320756951594e-07,0.0
1801,2.0168615719740046e-06,3.333655596016172e-08,2.3811825844433088e-09
1802,1.9290182535769418e-06,2.6854081625060644e-08,0.0
1803,1.6714407138351817e-06,1.7553053011098996e-08,1.3652374342143503e-08
1804,1.92309994417883e-06,2.471850879537385e-08,1.9774807569206132e-08
1805,1.8649277535587316e-06,1.421438877713399e-08,2.842877711017877e-09
1806,1.939363301062258e-06,2.0171683878800195e-08,2.881669125542885e-09
1807,2.0697364107036265e-06,2.2775641372874134e-08,0.0
1808,1.423094431629579e-06,3.852325791697808e-08,6.798221985349073e-09
1809,2.259030452478328e-06,2.2590304959990704e-08,1.8072244145628247e-08
1810,1.4602391047446872e-06,4.212228255084938e-08,4.680253518074551e-09
1811,1.7323900465271436e-06,4.262030373070047e-08,2.5070767684098882e-09
1812,1.7310181874563568e-06,8.00162469616339e-09,0.0
1813,1.345847067568684e-06,6.039057254270119e-08,0.0
1814,1.4915249266778119e-06,4.720015622794449e-08,0.0
1815,1.542811901344976e-06,3.236668177919455e-08,0.0
1816,1.8193190953752492e-06,3.9399266071882266e-08,4.6352077731626196e-09
1817,1.5631009091521264e-06,2.9580594862466114e-08,1.556873407970727e-09
1818,1.44961518344644e-06,1.549753014806754e-08,0.0
1819,1.68411588674644e-06,3.105315027340794e-08,9.315945348475907e-09
1820,1.5094163927642512e-06,2.4919610375206958e-08,1.542642635854463e-08
1821,1.7494280655228067e-06,3.94459531705138e-09,1.97229765852569e-09
1822,1.7845595721155405e-06,2.0051231786055723e-08,3.208197085768916e-08
1823,1.3420689128906815e-06,1.9765373782121287e-09,0.0
1824,1.466957883167197e-06,7.57900142644985e-09,8.421112696055388e-09
1825,1.6457372566947015e-06,2.0252518773133943e-08,1.7610886082763955e-09
1826,1.6338810837623896e-06,3.170874396385415e-08,0.0
1827,1.7899943713928224e-06,3.5025638112085034e-08,9.217273055917019e-10
1828,1.6904550648177974e-06,9.17230136288083e-09,0.0
1829,1.4128594330031774e-06,3.343538718114658e-08,0.0
1830,1.658413225413824e-06,3.1310507520032616e-09,0.0
1831,1.5404111763928086e-06,6.236482441579483e-09,1.5591206103948707e-09
1832,1.6574211940678651e-06,1.4882966303808587e-08,0.0
1833,1.5394642787214252e-06,1.0425265983826648e-08,5.791814139399776e-09
1834,1.666213734097255e-06,3.360431177767964e-08,3.733812370398937e-09
1835,1.6215260529861553e-06,1.2100940693926532e-08,8.31939672707449e-09
1836,1.6795154351711972e-06,1.478564976009622e-08,1.3441500135158435e-09
1837,1.5759623011035728e-06,2.9223141906342676e-08,6.262101948095733e-09
1838,1.5647849522792967e-06,9.468243078458727e-09,6.312161904276081e-09
1839,1.6346068605344044e-06,1.747868783041895e-08,2.0974426639952526e-09
1840,1.428721134288935e-06,1.9746035029299946e-08,3.1848443882154243e-09
1841,1.5345110568887321e-06,2.8892467529573196e-08,4.494383976094696e-09
1842,1.4107481547398493e-06,2.0795621225033756e-08,2.683306021822318e-09
1843,1.687013764239964e-06,8.860366718099755e-09,5.906911071384968e-10
1844,1.556555957904493e-06,1.5367971228918975e-08,1.2074834465636286e-08
1845,1.2934968935951474e-06,4.296775513168427e-08,3.348136878855712e-09
1846,1.4999232007539831e-06,3.1028856151138484e-08,1.1709002656346001e-09
1847,1.5041700862639118e-06,3.937053172364813e-08,0.0
1848,1.3049349263383192e-06,2.4940186749145e-08,4.02261068899179e-09
1849,1.3147301842764136e-06,2.178647862116634e-08,0.0
1850,1.329964334217948e-06,4.0055075700706766e-08,3.394498016007219e-09
1851,1.3156854947737884e-06,3.611685550630739e-08,6.449438760824933e-10
1852,1.330104396402021e-06,3.645905466420629e-08,6.510545436100301e-10
1853,1.4601373550249264e-06,2.6276500530997282e-08,5.3747388761848924e-09
1854,1.3716554576603812e-06,3.3252252062965226e-08,3.117398783558656e-09
1855,1.3389402511165827e-06,4.086341576226005e-08,3.1841622671890946e-09
1856,1.4532370187225752e-06,7.765784149071919e-08,0.0
1857,1.1608228760451311e-06,3.661131797727535e-08,2.4407544874094356e-09
1858,1.4137830248728278e-06,4.0128144362938656e-08,0.0
1859,1.2878106190328253e-06,3.462677744536791e-08,0.0
1860,1.4184693100105505e-06,3.570203349623213e-08,3.661747127736703e-09
1861,1.4058288115847972e-06,4.197207764677913e-08,3.3011746669586728e-09
1862,1.3761786021859734e-06,3.975828111180135e-08,3.6143890103090826e-09
1863,1.4124788094704854e-06,6.792684248413394e-08,2.9967726078439227e-09
1864,1.3391675111051882e-06,2.0137857159596706e-08,2.3973640850272204e-09
1865,1.3023837936998461e-06,3.4359963985153286e-08,9.41368871743009e-10
1866,1.2635996426979546e-06,4.281739340861179e-08,2.432806400776144e-09
1867,1.5014599057394662e-06,3.930777303651212e-08,9.220341823379385e-09
1868,1.6948707752817427e-06,4.2482917628205996e-08,0.0
1869,1.388872874485969e-06,2.392924380867356e-08,9.767038289254515e-10
1870,1.2374076732157846e-06,5.67670848106161e-08,1.1468097582678638e-09
1871,1.3021563063375652e-06,4.460894498237167e-08,1.4869648623516696e-08
1872,1.2312382295931457e-06,4.3540841376810135e-08,3.628403577593531e-09
1873,1.3061461459074053e-06,4.489503541149631e-08,4.190203295451056e-09
1874,1.4189696457833634e-06,6.213593550796759e-08,5.974609140757536e-10
1875,1.3233892559583182e-06,7.552415892675413e-08,2.2886108563824337e-09
1876,1.4722046444148873e-06,5.320493179361563e-08,6.04601479992084e-10
1877,1.319839725510974e-06,4.7004601100297805e-08,3.710889595609501e-09
1878,1.1727910305125988e-06,2.657198927558113e-08,4.831270938865373e-09
1879,1.8315756733500166e-06,3.299035677972739e-08,1.832797580370027e-09
1880,1.3002556897845352e-06,4.299957057085635e-08,3.8507077526617195e-09
1881,1.2543540606202441e-06,3.904604173321502e-08,0.0
1882,1.3344047147256788e-06,3.7270156738600235e-08,3.9932310791357395e-09
1883,1.3580258837464498e-06,6.256145435035165e-08,3.791603475633565e-09
1884,1.2107511793146841e-06,5.743476183539542e-08,0.0
1885,1.255609845429717e-06,6.767917432037862e-08,2.5782542767416317e-09
1886,1.3274775483296253e-06,5.4854442987917196e-08,1.936039106809062e-09
1887,1.2953386203662376e-06,3.3297515411589984e-08,5.223139698529167e-09
1888,1.2503692232712638e-06,4.3750240097395476e-08,1.9021844099853524e-09
1889,1.419679961145448e-06,8.269980583675007e-08,1.2530273485467092e-09
1890,1.2636857036341098e-06,3.4082809463598096e-08,0.0
1891,1.2627330079340027e-06,5.864282570655632e-08,6.374220040683554e-10
1892,1.2436728411557851e-06,4.1999032029949035e-08,0.0
1893,1.319132820754021e-06,6.158416487878071e-08,1.847525021858587e-09
1894,1.3069392252873513e-06,5.671385583383426e-08,3.150769645188234e-09
1895,1.1784446769524948e-06,3.791727021251745e-08,4.814891596538473e-09
