year,faudrait_VERB imiter_VERB,faudrait_VERB limiter_VERB
1800,0.0,6.288328968651058e-09
1801,3.5717739876872656e-08,1.1905912700171939e-08
1802,1.1189200677108602e-08,2.4616241489638924e-08
1803,1.950339223455444e-09,3.900678446910888e-09
1804,0.0,0.0
1805,1.421438877713399e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,9.360507036149102e-09,0.0
1811,0.0,0.0
1812,1.8670457180292033e-08,0.0
1813,0.0,0.0
1814,4.405347908686963e-08,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,0.0
1817,4.0478710161551135e-08,0.0
1818,1.5497530370112145e-08,1.1921177378582115e-09
1819,3.1053151161586356e-09,1.035105001712111e-09
1820,3.5599443393152796e-09,2.3732962262101864e-09
1821,2.6626018723163725e-08,0.0
1822,1.2030739071633434e-08,0.0
1823,1.7788837070042973e-08,0.0
1824,2.0210670470532932e-08,0.0
1825,6.163809906922779e-09,0.0
1826,8.80798456392995e-09,0.0
1827,1.013900075008678e-08,1.1982455028203276e-08
1828,1.6510142586412258e-08,1.8344602503717056e-09
1829,3.086343269842473e-08,3.429270423183084e-09
1830,4.174734336004349e-09,1.0436835840010872e-09
1831,4.677361609140007e-09,0.0
1832,1.488296597074168e-08,5.411987746839486e-09
1833,2.6642345218874652e-08,3.4750886612755494e-09
1834,1.4935249481595747e-08,4.667265685043276e-09
1835,1.1344631900556124e-08,0.0
1836,5.376600054063374e-09,4.704525213838906e-09
1837,1.3219993100221927e-08,9.045257876039159e-09
1838,8.2058102535143e-09,0.0
1839,8.38977065598101e-09,0.0
1840,1.3376346252869098e-08,0.0
1841,1.1556987367100646e-08,6.420548537278137e-10
1842,1.8112315203211438e-08,2.0124795163667386e-09
1843,1.063243981747064e-08,1.7720733769266417e-09
1844,2.140538946093784e-08,8.781698035420504e-09
1845,1.785672942844485e-08,3.9061593959388574e-09
1846,6.439951683034906e-09,2.3418005312692003e-09
1847,2.1572894581822766e-08,1.0786447290911383e-09
1848,4.02261068899179e-09,6.43617736884039e-09
1849,1.75967720394965e-08,2.513824481908955e-09
1850,2.647708541303473e-08,2.0366988096043315e-08
1851,4.514607354622058e-09,1.9348316282474798e-09
1852,9.765818376195057e-09,3.906327261660181e-09
1853,1.2541057081705276e-08,0.0
1854,4.676098175337984e-09,0.0
1855,1.2736649068756378e-08,7.429711956774554e-09
1856,3.1063134287023786e-09,4.659470143053568e-09
1857,1.9526036343364694e-09,4.393358121745905e-09
1858,3.9149408159744326e-09,3.9149408159744326e-09
1859,3.5645213447565993e-09,5.092173349652285e-09
1860,9.15436793036406e-09,4.577183909670879e-10
1861,8.960331143725853e-09,1.4147891747029462e-09
1862,5.873382225018986e-09,1.8071945051545413e-09
1863,7.991393324857654e-09,0.0
1864,3.835782358407869e-09,2.8768367688059016e-09
1865,1.1767110841276462e-08,2.9653119071326728e-08
