year,tout_DET latin_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,4.475680270843441e-09
1803,2.9255089017965474e-08
1804,0.0
1805,0.0
1806,0.0
1807,2.8469550272802735e-08
1808,2.2660739951163578e-09
1809,2.259030518203531e-09
1810,0.0
1811,2.5070767684098882e-09
1812,1.8670457180292033e-08
1813,0.0
1814,0.0
1815,0.0
1816,2.0858434979231788e-08
1817,4.670620334934483e-09
1818,9.536941902865692e-09
1819,1.035105001712111e-09
1820,1.1866481131050932e-08
1821,8.875339463365606e-09
1822,1.1028177482330648e-08
1823,2.3718449426723964e-08
1824,1.6842225392110777e-08
1825,2.4655239627691117e-08
1826,6.1655889282974385e-09
1827,1.566936447261469e-08
1828,1.6510142586412258e-08
1829,5.143905745796928e-09
1830,5.218417697960831e-09
1831,1.2472964883158966e-08
1832,8.117981509236927e-09
1833,4.6334514003376626e-09
1834,2.800359255594742e-08
1835,2.3445572594482655e-08
1836,1.1425274948351216e-08
1837,2.0177884252348122e-08
1838,1.8936485712828244e-09
1839,1.747868783041895e-08
1840,9.554533331179726e-09
1841,2.3113974734201292e-08
1842,3.6224632182779715e-08
1843,6.497602011990011e-09
1844,2.030767687344337e-08
1845,1.5066615066672284e-08
1846,5.444686301814272e-08
1847,1.5101026207275936e-08
1848,3.2180886289090438e-09
1849,1.1731181359664333e-08
1850,1.0183494048021657e-08
1851,4.192135238945127e-08
1852,5.5339636872986375e-08
1853,9.555090496604635e-09
1854,2.026309059433018e-08
1855,1.6982198758341838e-08
1856,1.7084724746041502e-08
1857,2.5871997877402464e-08
1858,2.5936483183386372e-08
1859,1.629495471888731e-08
1860,2.5174511808501165e-08
1861,3.631292094796734e-08
1862,2.0782737308877586e-08
1863,2.996772519026081e-08
1864,1.6302075245278047e-08
1865,1.9298061371131325e-08
1866,1.8002768165104044e-08
1867,9.220341823379385e-09
1868,1.5807597009143137e-08
1869,3.174287332985415e-08
1870,3.03904590381876e-08
1871,3.080141297573391e-08
1872,1.269941263259966e-08
1873,1.3169209722718733e-08
1874,1.9716210886144836e-08
1875,2.5174719531229073e-08
1876,2.599786252943659e-08
1877,2.412078248248406e-08
1878,3.0195443034841674e-08
1879,9.163988012872437e-09
1880,2.502960061434578e-08
1881,7.66975827293237e-09
1882,1.7304000898832328e-08
1883,2.7805090951904532e-08
1884,2.2445769687351458e-08
1885,1.4824962146775533e-08
1886,2.000573828819796e-08
1887,1.3057848802233707e-08
1888,4.438430289965822e-09
1889,2.0674951528576457e-08
1890,1.3764211936884152e-08
1891,1.9122659900006056e-08
1892,1.5671280495510587e-08
1893,1.046930819814662e-08
1894,2.898708117982096e-08
1895,6.6204757231957956e-09
1896,1.2973464080801023e-08
1897,1.1653427445246223e-08
1898,8.487532010548193e-09
1899,1.713549302451156e-08
1900,6.229263660451068e-09
1901,8.941982265753268e-09
1902,8.838511089681589e-09
1903,1.944079275340016e-08
1904,9.13686282189019e-09
1905,8.257214301199411e-09
1906,1.1317205617089598e-08
1907,1.0285686413702422e-08
1908,1.718986131216127e-08
1909,1.430255680556769e-08
1910,5.878565856320961e-09
1911,2.6601870706244313e-09
1912,1.2502610502451716e-08
1913,6.893886794756554e-09
1914,3.214436894438677e-08
1915,8.246533234057551e-09
1916,1.648119329900055e-08
1917,1.315970976634162e-08
1918,2.6418664589300533e-08
1919,4.4197672688373046e-08
1920,3.483226418410368e-08
1921,5.300923366924337e-09
1922,1.770704560755121e-08
