year,étaient_VERB en_ADP,étaient_VERB lents_ADJ,etaient_VERB en_ADP
1800,5.901596523472108e-06,2.2009151834367913e-08,1.5720821977538435e-08
1801,5.838659490109421e-06,1.6668277424969347e-08,9.524730337773235e-09
1802,4.3951181396550965e-06,1.7902721083373763e-08,8.951360541686881e-09
1803,5.60332455279422e-06,1.950339223455444e-09,9.751696339321825e-09
1804,6.9459010774153285e-06,1.730295728918918e-08,1.4831105232815389e-08
1805,6.461861175921513e-06,1.9900143755080535e-08,2.842877711017877e-09
1806,6.734460839652456e-06,3.458002950651462e-08,1.152667650217154e-08
1807,9.386410965817049e-06,1.7081731584767113e-08,2.2775640928784924e-08
1808,6.0640140873147175e-06,1.1330369531492579e-08,1.5862518409903714e-08
1809,8.134768904710654e-06,9.036122072814123e-09,3.6144488291256494e-08
1810,7.069522780511761e-06,1.1700633351097167e-08,3.042164919975221e-08
1811,7.639062459929846e-06,2.5070767684098882e-09,1.504245972228091e-08
1812,8.76444664754672e-06,1.2002436733382638e-07,8.00162425207418e-09
1813,9.366290214529727e-06,8.627225156487839e-09,2.0130190847567064e-08
1814,8.477148185193073e-06,9.440030979135372e-09,9.440030979135372e-09
1815,9.955451787391212e-06,3.776112933451259e-08,3.506390555685357e-08
1816,8.746636922296602e-06,1.1588019432906549e-08,2.7811246638975717e-08
1817,1.0032492355094291e-05,2.490997452753163e-08,2.6466848268569265e-08
1818,1.039288235915592e-05,1.4305412854298538e-08,1.668964877410417e-08
1819,1.0458700671733823e-05,4.45095160728215e-08,2.173720581311045e-08
1820,1.2055158549628686e-05,1.898636980968149e-08,2.3732962262101864e-08
1821,1.144721591117559e-05,1.8736827200882544e-08,1.1833785507064931e-08
1822,1.1409150829422288e-05,1.4035862250239006e-08,2.2056354964661296e-08
1823,1.3518527339329012e-05,2.174191138237802e-08,2.174191138237802e-08
1824,1.2384930414555129e-05,2.947389532437228e-08,5.894778887238772e-09
1825,1.2950165000802372e-05,4.226612659863349e-08,1.7610886970942374e-08
