year,furent_VERB à_ADP,furent_VERB a_ADP,furent_VERB las_ADJ
1800,1.603523855919775e-06,3.144164484325529e-09,9.432493897065797e-09
1801,1.6692090412107063e-06,1.1905913144261149e-08,3.095537337571841e-08
1802,1.6380989791286993e-06,6.713520406265161e-09,2.6854081625060644e-08
1803,1.5017611758594285e-06,1.1702035340732664e-08,6.826187615160961e-08
1804,1.1790729104177444e-06,7.4155528384522995e-09,9.887403784603066e-09
1805,1.4328103361549438e-06,2.842877711017877e-09,2.2743021688143017e-08
1806,1.2448811048670905e-06,1.4408345627714425e-08,4.3225035994964855e-08
1807,1.4434062904911116e-06,2.8469551160981155e-09,2.8469551160981155e-09
1808,1.6519679775228724e-06,1.8128591960930862e-08,2.039466551195801e-08
1809,1.8004473076871363e-06,9.036122294858728e-09,4.51806094758922e-08
1810,1.471939754082996e-06,7.020380277111826e-09,3.510190182964834e-08
1811,1.6521636325705913e-06,2.757784489659798e-08,1.7549536934780008e-08
1812,1.2695911664195592e-06,1.8670457180292033e-08,2.6672083208723052e-08
1813,1.420616399627761e-06,2.0130191291656274e-08,2.8757416448144113e-09
1814,1.7464058146288153e-06,7.237357380063258e-08,3.1466771410748606e-09
1815,1.7154342231151531e-06,1.618334155573109e-08,2.4275012222574333e-08
1816,1.6964860378720914e-06,3.476405829871965e-08,4.6352077731626196e-09
1817,1.4868140851831413e-06,3.113746738225842e-08,6.227493631882908e-09
1818,1.7154574152300484e-06,1.3113294672351117e-08,5.96058882251782e-08
1819,1.8642241457200726e-06,1.5526575580793178e-08,1.3456364911235141e-08
1820,1.9971287201769883e-06,1.3053129244156025e-08,2.254631326081835e-08
1821,1.8253614371133153e-06,7.889190523080458e-09,2.465372084259343e-08
1822,2.1324485715012997e-06,6.015369535816717e-09,2.3058916553964082e-08
1823,2.3194666027848143e-06,1.0870955913233615e-08,8.894418535021487e-09
1824,2.9061259283480467e-06,4.6316119828304636e-08,5.894778887238772e-09
1825,2.366903117945185e-06,1.937197513512956e-08,2.1133063299316746e-08
1826,3.0273042739281664e-06,1.3211976734872621e-08,3.170874407487645e-08
1827,2.649966063472675e-06,1.1060727833633877e-08,3.3182182335167454e-08
1828,2.236207137684687e-06,2.659967268670016e-08,2.0179061976932644e-08
1829,1.7086340449168347e-06,1.4574399131994653e-08,1.1145129263923081e-08
1830,1.8588004877528874e-06,6.157733123401954e-08,1.5655253093882493e-08
1831,1.5107879107745248e-06,1.4032085271509231e-08,5.14509785887185e-08
1832,1.355702920591284e-06,1.488296597074168e-08,2.976593194148336e-08
1833,1.8545389366408926e-06,1.5058717495186613e-08,4.40177885252524e-08
1834,1.9546507701306837e-06,1.2134890647885754e-08,3.080395316601425e-08
1835,2.3385068743664306e-06,2.7227116561334697e-08,2.4201881387853064e-08
1836,2.974604058181285e-06,3.2931675331138166e-08,3.763620171071125e-08
1837,2.2919293769518845e-06,1.4611571286238245e-08,5.0792603900617905e-08
1838,2.9338928015931742e-06,2.9667161172142187e-08,2.2723781967215473e-08
1839,2.177145461246255e-06,4.684288257283953e-08,2.027527834513876e-08
1840,1.8733254592007142e-06,5.541629177763241e-08,1.0828470564661075e-08
1841,1.8613170595926931e-06,1.6693426196923156e-08,1.4767261191650505e-08
1842,1.8742892962109181e-06,1.2074877542289641e-08,2.4820581145945653e-08
1843,1.5511548099311767e-06,1.1813822142769936e-08,2.0674189471492355e-08
1844,1.5614956510034972e-06,2.03076760407761e-08,2.140538946093784e-08
1845,1.5423750028276118e-06,1.3392546627244428e-08,3.348136701220028e-08
1846,1.5502719179494306e-06,2.1076204115288988e-08,3.2785209214125643e-08
1847,1.5311361494241282e-06,2.3190861675459473e-08,1.0247124926365814e-08
1848,1.4730801467521815e-06,1.367687652020777e-08,2.976732105253177e-08
