year,est_VERB égal_ADJ,est_VERB egal_ADJ,est_VERB légal_ADJ
1800,7.347912287514191e-06,3.772997558826319e-08,2.2009151834367913e-08
1801,5.5171999520098325e-06,2.6193008650921e-08,3.095537337571841e-08
1802,5.451378456200473e-06,4.0281122437590966e-08,3.8043282302169246e-08
1803,4.949960839439882e-06,1.2872239096850535e-07,6.631153581793114e-08
1804,1.317002170253545e-05,7.168367943677367e-08,2.5707248596518184e-07
1805,5.680069534719223e-06,3.1271653710973624e-08,1.3077237781544682e-07
1806,4.535747393674683e-06,3.458002950651462e-08,1.2391177506287931e-07
1807,1.1222697139601223e-05,1.1387820464392462e-08,2.3629726797480544e-07
1808,7.761303095321637e-06,1.8128591960930862e-08,1.8581806671136292e-07
1809,6.820012913522078e-06,4.292158095609011e-08,1.0617443280125372e-07
1810,6.601497716474114e-06,3.2761775514700275e-08,1.7550951270095538e-07
1811,7.854671821405645e-06,1.504245972228091e-08,8.774768645025688e-08
1812,6.921405201865127e-06,6.934741492159446e-08,1.2535878113340004e-07
1813,6.746489816578105e-06,1.4378708002027452e-08,7.189354289671712e-08
1814,5.4626316341455095e-06,6.293354282149721e-09,1.0698702368472368e-07
1815,4.401868864079006e-06,2.1577788444915313e-08,4.8550024445148665e-08
1816,5.63641242479207e-06,2.7811246638975717e-08,1.3442102897442965e-07
1817,3.70691554962832e-06,6.227493631882908e-09,8.874178547557676e-08
1818,3.4666784358705627e-06,2.026600220972341e-08,5.960588689291058e-08
1819,4.314317720854888e-06,1.0351049795076506e-08,1.0765091928988113e-07
1820,2.6189322852587793e-06,6.40789963313182e-08,1.2103811286579003e-07
1821,3.38643508257519e-06,1.577838126820552e-08,6.212737702071536e-08
1822,4.427311978361104e-06,1.303330066093622e-08,1.0226128210888419e-07
1823,3.488588390609948e-06,1.3835761869529506e-08,9.586206639600192e-08
1824,3.166338274240843e-06,5.894778887238772e-09,1.212640228231976e-07
1825,3.06253309645399e-06,8.805443485471187e-09,7.220463515977826e-08
1826,3.353199645061977e-06,1.3211976401805714e-08,9.424543179203937e-08
1827,3.1790375487616984e-06,9.217273166939322e-09,1.576153749738296e-07
1828,3.6780927530344343e-06,1.559291185060374e-08,1.5409466413984774e-07
1829,2.9791785891575273e-06,9.430493719264632e-09,1.783220682227693e-07
1830,3.828231456282083e-06,1.461157062010443e-08,1.273294003567571e-07
1831,3.6452240692597115e-06,7.327867024287116e-08,1.0446107778783187e-07
1832,3.2458397072332446e-06,9.470978667991403e-09,1.3259369779916597e-07
1833,3.249207793487585e-06,4.749287541017111e-08,1.633291617508803e-07
1834,3.449109271969064e-06,1.213489042584115e-08,1.6802155755613057e-07
1835,3.5100290460832184e-06,1.2100940693926532e-08,9.453859917130103e-08
1836,3.023665385626373e-06,2.6210924986003192e-08,1.4516820312504564e-07
1837,3.606274958656286e-06,5.5663127440652715e-09,1.2176309427402998e-07
1838,3.549328539520502e-06,1.5149188570262595e-08,9.468242634369517e-08
1839,2.872797040254227e-06,4.894032734625853e-09,1.2444826058555236e-07
1840,3.2141449537448352e-06,1.2739377552861697e-08,1.1465439353486317e-07
1841,3.1049771678226534e-06,3.2102742686390684e-09,2.0674166556489126e-07
1842,2.818813072735793e-06,2.0124794275488966e-08,2.8644291205637273e-07
1843,3.542965259839548e-06,1.1813821920725331e-08,1.1636614893895114e-07
1844,4.140021701459773e-06,1.2074834465636286e-08,1.3886059946344176e-07
1845,4.074124262842815e-06,1.2276501593078137e-08,1.5847847878447396e-07
1846,3.0343881007866003e-06,8.196302303531411e-09,1.7739139668293546e-07
1847,3.73642524209572e-06,7.550513103637968e-09,2.5240286660732636e-07
1848,3.7627501114911865e-06,9.65426583121598e-09,4.2398318811365243e-07
1849,3.1087629395187832e-06,2.8490010350878947e-08,2.4048921432040515e-07
1850,3.2899474717851263e-06,1.0183494048021657e-08,1.9484419055970648e-07
1851,4.223737505526515e-06,6.449438760824933e-09,1.767146287079413e-07
1852,4.160889602644602e-06,1.1718981340891332e-08,2.311243676444974e-07
1853,3.469692501312238e-06,1.3138249599364826e-08,2.1080919410110255e-07
1854,3.236379370719078e-06,7.27393034694046e-09,1.7717215605728143e-07
1855,3.519560777931474e-06,1.1675261646360013e-08,1.6557644499926027e-07
1856,4.159871423325967e-06,2.4332790005132665e-08,2.0708757375587084e-07
1857,3.416568233660655e-06,1.8549734193129552e-08,2.2650202424756571e-07
1858,4.123900907870848e-06,1.7127865348243176e-08,1.9036399301342044e-07
1859,3.6785859265364707e-06,9.675129142294736e-09,1.9910397952571657e-07
1860,3.658085461211158e-06,1.1900677776566226e-08,1.7851017197756391e-07
1861,3.853885573334992e-06,1.131831339762357e-08,1.6505872402206023e-07
1862,3.515445087032276e-06,2.3945327498609004e-08,1.8568923465522857e-07
