year,ait_VERB eu_VERB,ait_VERB lu_VERB
1800,7.168694992287783e-06,4.4018303668735825e-08
1801,6.9173352130746935e-06,1.9287578822968499e-07
1802,8.550787242711522e-06,1.1189200677108602e-07
1803,7.360580184467835e-06,7.411289004721766e-08
1804,1.0811875654326286e-05,1.2359254242255702e-07
1805,8.804392564343289e-06,1.051864728651708e-07
1806,7.581671525258571e-06,7.780506905419315e-08
1807,1.0436937373015098e-05,8.54086508184082e-08
1808,9.567364031681791e-06,1.2690014727922971e-07
1809,9.293651601183228e-06,1.1295152546608733e-07
1810,8.87142050487455e-06,1.591286178381779e-07
1811,8.579217137594242e-06,1.1532553401139012e-07
1812,9.951353604265023e-06,1.1202274663446588e-07
1813,9.596349627827294e-06,1.0352670187785407e-07
1814,8.184507350961212e-06,8.181360300341112e-08
1815,8.304751645482611e-06,1.0249449644561537e-07
1816,7.801054380252026e-06,8.806894413737609e-08
1817,8.460049684799742e-06,1.634717108345285e-07
1818,8.406814231420867e-06,1.5735953695639182e-07
1819,9.881112418952398e-06,1.4698491668241331e-07
1820,8.422828614129685e-06,1.2103811286579003e-07
1821,9.136669177678414e-06,2.0018821089706762e-07
1822,8.544832780899014e-06,1.0927921323400369e-07
1823,7.736167390248738e-06,1.2452186126665765e-07
1824,8.135636562656146e-06,1.6926436785524857e-07
1825,8.215478374040686e-06,1.1623184548170684e-07
1826,7.460362667188747e-06,1.3300056878051691e-07
1827,9.523286280455068e-06,1.2074627875335864e-07
1828,9.241093721357174e-06,1.3850174696017348e-07
1829,9.407345714862458e-06,1.2431105744781235e-07
1830,1.0187395673710853e-05,1.4820307114860043e-07
1831,9.518431397737004e-06,1.4187997976478073e-07
1832,9.77134368440602e-06,1.5559464827674674e-07
1833,7.853700481064152e-06,1.169946486356821e-07
1834,8.939679901232012e-06,1.7735608537350345e-07
1835,8.488053936162032e-06,1.1722786297241328e-07
1836,8.428492947132327e-06,1.236618061284389e-07
1837,8.50950073072454e-06,1.14805203565993e-07
1838,9.004298590298276e-06,9.215756335834158e-08
1839,8.649153642181773e-06,8.389770300709642e-08
1840,8.313080797961447e-06,5.86011346115356e-08
1841,9.380421033711173e-06,1.3611563076665334e-07
1842,8.332335710292682e-06,7.043678351692506e-08
1843,8.844417607178912e-06,1.1991029680302745e-07
1844,8.237781912612263e-06,1.0098952429871133e-07
1845,8.42056397232227e-06,8.035528509253709e-08
1846,8.502492164552677e-06,1.0011197559833818e-07
1847,8.429608897131402e-06,6.957258591455684e-08
1848,8.62447723193327e-06,7.884317199113866e-08
1849,8.87380065250909e-06,1.3742240412284445e-07
1850,8.547345714760013e-06,1.0047713772110001e-07
1851,9.307829714089166e-06,1.0512584935895575e-07
1852,9.215676982421428e-06,9.961134850300368e-08
1853,8.517169590049889e-06,1.1167512781184996e-07
1854,7.781027306918986e-06,7.845453353638732e-08
1855,8.204524419852532e-06,7.80119790988465e-08
1856,8.459009222860914e-06,9.06008139622827e-08
1857,8.300517947645858e-06,9.421312796575876e-08
1858,8.307504685944878e-06,8.563932851757272e-08
1859,8.220804375014268e-06,9.573285808528453e-08
1860,7.855820513213985e-06,1.0481750933877265e-07
1861,8.150600478984416e-06,8.252936822827905e-08
1862,8.036142389755696e-06,1.3689498246094445e-07
1863,8.426924068771768e-06,1.1437681735060323e-07
1864,8.583042472309899e-06,1.366497457411242e-07
1865,8.312757927342318e-06,9.649031085245952e-08
1866,8.398047611990478e-06,9.43928881724787e-08
1867,8.341982720594388e-06,1.038501693528815e-07
1868,8.068296665442176e-06,8.496583348005515e-08
1869,8.295145562442485e-06,1.0255390492375227e-07
1870,8.36655090097338e-06,1.1238735453389381e-07
1871,7.494302735722158e-06,1.2426777118434984e-07
1872,8.566660653741565e-06,1.034095049590178e-07
1873,8.701255865162238e-06,9.098727105083526e-08
1874,8.23002392280614e-06,8.842421550525614e-08
1875,8.489029823977035e-06,1.0298748520654044e-07
1876,8.442654689133633e-06,9.492243435715864e-08
1877,8.070566764217801e-06,1.0576035691656216e-07
1878,8.413054274569731e-06,1.1534659449807805e-07
1879,8.369164788746275e-06,9.225081498698273e-08
1880,7.870205081417225e-06,8.407378260244514e-08
1881,8.113210242299829e-06,1.0458761323661747e-07
1882,8.176140909199603e-06,8.785108462916469e-08
1883,8.59619649418164e-06,1.0426909113903093e-07
1884,7.81178823672235e-06,1.0892799906514483e-07
1885,7.832091796444729e-06,1.1795513188417317e-07
1886,7.824824933777563e-06,9.357522401387541e-08
1887,8.3237264334457e-06,8.422312447464719e-08
1888,8.231386345869396e-06,1.0271795503058456e-07
1889,8.121496648527682e-06,9.397705014180247e-08
1890,7.900657692516688e-06,9.897123476321212e-08
1891,8.08633558335714e-06,1.1919791376158173e-07
1892,7.98420387582155e-06,1.3539987264721276e-07
1893,8.17652926343726e-06,1.1208317829414227e-07
1894,8.180658369383309e-06,8.570093257276312e-08
1895,7.69359485275345e-06,9.027921521465032e-08
1896,7.833024028514046e-06,8.373780957526833e-08
