year,avaient_VERB assez_ADV,avaient_VERB lassé_VERB
1800,1.5091990235305275e-07,1.5720822421627645e-08
1801,2.571677271134831e-07,0.0
1802,1.1636768704192946e-07,1.1189200677108602e-08
1803,1.501761204281138e-07,5.851017448321727e-09
1804,1.7302956223375077e-07,4.943701892301533e-09
1805,1.3930100806192058e-07,1.1371510622026904e-08
1806,1.9019016406218725e-07,5.76333825108577e-09
1807,3.188589801084163e-07,2.8469551160981155e-09
1808,2.515342032438639e-07,0.0
1809,1.5587310997489112e-07,0.0
1810,1.708292529656319e-07,1.1700633351097167e-08
1811,1.7298829391165782e-07,7.521229861140455e-09
1812,2.3738152776786592e-07,0.0
1813,1.6966875193702435e-07,0.0
1814,1.7621391634747852e-07,0.0
1815,1.726223075593225e-07,2.697223555614414e-09
1816,2.4798362119327066e-07,1.3905623319487859e-08
1817,3.362846427990007e-07,1.8682481339737933e-08
1818,3.588274353205634e-07,4.768470951432846e-09
1819,3.115665947461821e-07,1.0351049795076506e-08
1820,4.1176690501742996e-07,2.966620282762733e-08
1821,2.7710783001566597e-07,7.88919063410276e-09
1822,2.987633536122303e-07,6.015369535816717e-09
1823,3.1229291153067607e-07,9.882687113105248e-09
1824,2.9221260433587304e-07,1.6842225392110777e-09
1825,4.323472637679515e-07,9.68598712347557e-09
1826,3.267762167524779e-07,4.315912249808207e-08
1827,3.9173411892079457e-07,2.21214555007343e-08
1828,3.6597481312128366e-07,2.7516904310687096e-09
1829,3.9436611132259713e-07,1.8860987105462357e-08
1830,4.1016764384949056e-07,2.191735437584441e-08
1831,2.946737822639989e-07,4.677361831184612e-09
1832,4.89784895307821e-07,1.7588959622116818e-08
1833,3.6256756175134797e-07,1.853380560135065e-08
1834,3.8644958522127126e-07,4.107193762870054e-08
1835,3.524398834997555e-07,1.3613558280667348e-08
1836,3.911476653684076e-07,2.150639949460853e-08
1837,3.8337978480740276e-07,2.2265251420350296e-08
1838,4.475322725738806e-07,2.2723782189260078e-08
1839,3.845311482564284e-07,1.1186360504567006e-08
1840,4.3441275465738727e-07,3.2485411693983224e-08
1841,4.077048458839272e-07,8.346713098461578e-09
1842,3.796878047523933e-07,2.750388627958955e-08
1843,4.235255346429767e-07,2.7762482313065107e-08
1844,4.2371692643428105e-07,3.2382512671347286e-08
1845,4.034504854644183e-07,1.3392547348889394e-08
1846,3.3604837312850577e-07,1.5807153141977892e-08
1847,3.829188699455699e-07,3.289866512545814e-08
1848,2.888234575948445e-07,2.333114323960217e-08
1849,2.5054450247807836e-07,3.100383594301093e-08
1850,2.742754361406696e-07,1.765138968323754e-08
1851,3.218270023808145e-07,3.160225037213138e-08
1852,2.8190660827931424e-07,3.059956377171602e-08
1853,3.4099730328307487e-07,1.7318602774096803e-08
1854,3.044659422357654e-07,1.454786069388092e-08
1855,3.13109296712355e-07,3.661786607267459e-08
1856,3.3599957305341377e-07,1.9673318973900678e-08
1857,3.099758316693624e-07,2.147863975565656e-08
1858,2.7159902060702734e-07,2.055343972795498e-08
1859,3.2029771546149277e-07,3.106225632265591e-08
1860,3.780753843329876e-07,1.7851016831382793e-08
1861,3.1219678930938244e-07,2.5466203645851948e-08
1862,2.557180209805665e-07,3.027050793358299e-08
1863,2.9318422889446083e-07,1.498386242859695e-08
1864,2.857657932509028e-07,1.2466292886870178e-08
1865,2.762917574727908e-07,1.4120532965122834e-08
1866,3.050739394439006e-07,2.5787747603978062e-08
1867,2.926245201706479e-07,1.844068364675877e-08
1868,2.5341554987790005e-07,1.2843672569928799e-08
1869,2.5980321538554563e-07,1.8557373193672788e-08
1870,2.3910982349661936e-07,2.1789386295267832e-08
1871,3.823623728749226e-07,7.434824089713743e-09
1872,3.4469834986339265e-07,1.028047680318167e-08
1873,3.184554486779234e-07,6.584604861359367e-09
1874,2.9992537520229234e-07,3.943242032899974e-08
1875,3.106789279172517e-07,1.7164582089002067e-08
1876,2.4486359961883863e-07,2.2370254981751714e-08
1877,3.0862230460115825e-07,2.412078203839485e-08
1878,2.2525800602579693e-07,2.8987624745013818e-08
1879,2.9324760930649063e-07,3.4823152361695975e-08
1880,2.2462461402028566e-07,2.5671384351610982e-08
1881,2.0080821627743717e-07,1.5339516323820135e-08
1882,1.9034401077533403e-07,2.994923420374107e-08
1883,2.515097037303349e-07,7.583206784733676e-09
1884,2.535051635277341e-07,1.9805090012425808e-08
1885,2.739395199569117e-07,1.418039830003437e-08
1886,2.755629111561575e-07,1.5488313243050555e-08
1887,2.585454126347031e-07,1.1752064210668323e-08
1888,2.4918614371927106e-07,1.0144983741966485e-08
1889,2.280509789898133e-07,2.255449160770695e-08
1890,2.1498387070550962e-07,1.1797895993481688e-08
1891,1.7592847711966897e-07,5.736798147637501e-09
1892,2.25039599399679e-07,1.6298132621272998e-08
1893,2.2170299018853257e-07,2.894455702895371e-08
1894,2.3693787909451203e-07,2.4576003676557434e-08
1895,1.9620682678578305e-07,1.9861428057765806e-08
1896,2.246768104896546e-07,2.5946928161602045e-08
1897,1.6547866721339233e-07,2.3889525468945294e-08
1898,2.3538756011021178e-07,2.2067583316243145e-08
1899,2.006511010677059e-07,1.8241008703512307e-08
1900,1.8168685755881597e-07,1.7130474705417953e-08
1901,2.1963744245567796e-07,1.676621685930968e-08
1902,1.7480610381426231e-07,1.276673788908056e-08
1903,1.9278786567156203e-07,1.5120615870500842e-08
1904,2.12297692314678e-07,9.674325340824907e-09
1905,2.4255567154796154e-07,1.2901897883388358e-08
1906,2.062817969772368e-07,2.98362707873423e-08
1907,2.1754227930159686e-07,1.439996183405512e-08
1908,1.6846064454512089e-07,8.349361202419914e-09
1909,1.8043226646113908e-07,9.351671770296832e-09
1910,2.009400645874848e-07,1.0688301688155377e-08
1911,2.0909070030938892e-07,7.448523575703803e-09
1912,1.9014387930837984e-07,1.146072631241779e-08
1913,2.2272557487212907e-07,1.3257474729133634e-08
1914,2.464401802626526e-07,2.276892807628883e-08
1915,2.674233030575124e-07,8.246533234057551e-09
1916,2.175517437308372e-07,1.6481193521045157e-08
1917,1.831392921758379e-07,2.8512703309502285e-08
1918,2.0675477685472288e-07,8.040463406189247e-09
1919,2.3111699931632756e-07,1.012863304339362e-08
1920,2.0975082293261949e-07,9.086678076641874e-09
1921,1.6811499392588303e-07,6.815472630705699e-09
1922,1.9920425131658703e-07,1.4018077365562931e-08
1923,2.2081172801335924e-07,8.492758496458919e-09
1924,1.8692855974222766e-07,1.2891624656674594e-08
1925,1.9246810722961527e-07,1.0998178368026856e-08
1926,2.1289125129442255e-07,4.458455382660986e-09
1927,2.5197249442499015e-07,1.7838759802657478e-08
1928,1.5653677110094577e-07,1.7139061725401916e-08
1929,1.9941327877859294e-07,1.2254447234738564e-08
1930,2.132231458062961e-07,2.1007207751111423e-08
1931,1.779235674348456e-07,1.3686427990933225e-08
1932,1.6548899850477028e-07,7.671675850140502e-09
1933,1.9270711959507025e-07,8.02946331646126e-09
1934,2.4202790882554837e-07,1.1981580172459871e-08
1935,1.543908609846767e-07,1.9149255514605557e-08
1936,1.7702083709991712e-07,1.6974599503782883e-08
1937,1.8131210310912138e-07,2.266401277761787e-08
1938,1.8410604241125839e-07,1.1668693011834819e-08
1939,2.0799907929358596e-07,3.058810094103137e-09
1940,1.6989746143281081e-07,5.0715658339584024e-09
1941,1.9184767552360427e-07,1.7709015143196893e-08
1942,2.2453167503044824e-07,1.517105907566929e-08
1943,2.438717672248458e-07,2.9032352077962287e-09
1944,1.8636480092482088e-07,3.2131861615880553e-09
1945,2.810270132158621e-07,1.3071024262956144e-08
1946,2.2830610646451532e-07,9.744772988540262e-09
1947,2.479541194588819e-07,1.311295849681926e-08
1948,1.9895554714821628e-07,1.087188805648509e-08
1949,2.0321206761764188e-07,2.945102384188658e-09
1950,1.8611882524055545e-07,1.595304155443955e-08
1951,2.24955570615748e-07,2.1322803522849654e-09
1952,1.8664303524928982e-07,1.5817205323287453e-08
1953,1.6914908940179885e-07,1.939288907237824e-08
1954,1.8176916682932642e-07,1.07497895029951e-08
1955,1.7551086273215333e-07,1.0324168187025862e-08
1956,1.7703916910249973e-07,9.593255967388359e-09
1957,2.1557491436396958e-07,9.718541527092839e-09
1958,2.0763330610407138e-07,4.136121722897457e-09
1959,1.852428681559104e-07,6.200598479111363e-09
1960,1.674841740850752e-07,1.1073332972788563e-08
1961,1.834314105053636e-07,1.389631831827387e-08
1962,2.1752910583927587e-07,7.610347574349419e-09
1963,2.1984581621836696e-07,1.0992290633282664e-08
1964,1.8616943009419629e-07,1.0951142992432494e-08
1965,1.5759485449962085e-07,1.5868925951068036e-08
1966,2.0882312412595638e-07,9.970334224895794e-09
1967,1.7502691207482712e-07,6.902469706915326e-09
1968,2.2906220920049236e-07,3.5931326802796093e-09
1969,1.9257052485954773e-07,4.541757636644661e-09
1970,1.908470892431069e-07,7.357959852516416e-09
1971,2.0399437516971375e-07,9.762954888969944e-09
1972,1.780160943098963e-07,5.643161493651405e-09
1973,1.7531988305563573e-07,8.821125663249774e-09
1974,1.5864111446717288e-07,6.188128898187983e-09
1975,1.4735618947270268e-07,5.140332159925265e-09
1976,1.6169281025213422e-07,5.713526984862938e-09
1977,1.745404176745069e-07,8.815172591880582e-09
1978,1.6396032265220128e-07,7.72276909088987e-09
1979,1.7614439684621175e-07,7.607565355449708e-09
1980,1.637323379100053e-07,1.0801786187730755e-08
1981,1.4295741834757791e-07,3.795329661659963e-09
1982,1.669818061600381e-07,3.1037510339615437e-09
1983,1.7303966615145328e-07,6.315316269933646e-09
1984,1.3279729671467067e-07,4.639206796497319e-09
1985,1.47381172155292e-07,5.414002357539971e-09
1986,1.912240890078465e-07,2.997242676272549e-09
1987,1.6682530201705958e-07,9.166224945733603e-09
1988,1.8529351564211538e-07,8.994830658082265e-09
1989,1.640948568137901e-07,2.7440609784434855e-09
1990,1.4874817111376615e-07,2.179460389939436e-09
1991,1.6998248497657187e-07,5.275318626374315e-09
1992,1.3829959755184973e-07,1.65298330578878e-09
1993,1.423576350134681e-07,2.7696036575264316e-09
1994,1.6985264039703907e-07,3.164955852952289e-09
1995,1.4369494749644218e-07,3.7957155196721715e-09
1996,1.3772277895895968e-07,4.270473752399084e-09
1997,1.323390819152337e-07,5.274383707565278e-09
1998,1.6116277379296662e-07,3.337690568372409e-09
1999,1.1973926916653e-07,4.113180906983871e-09
2000,1.7186142997616116e-07,3.976228346580513e-09
2001,1.4282750271377154e-07,2.190605918883648e-09
2002,1.4589467411951773e-07,3.9430991805033955e-09
2003,1.7792760331758473e-07,2.5001538617175356e-09
2004,1.6253679291367007e-07,3.9643121285681815e-09
2005,1.567304792615687e-07,4.954124666056714e-09
2006,1.7748105562986893e-07,1.0294725072412803e-08
2007,1.633742101603275e-07,1.9972397347078896e-09
2008,1.843471437723565e-07,3.8316958494988285e-09
2009,1.6784036915851175e-07,4.291373256748443e-09
2010,2.0926403010435024e-07,4.723792912386671e-09
2011,2.1299523211837368e-07,3.823972000160936e-09
2012,3.084252853113867e-07,8.510631643865452e-09
2013,3.277222049291595e-07,6.414987430147789e-09
2014,3.451719692293409e-07,9.094870079273676e-09
2015,3.114288347205729e-07,1.3077795069094122e-08
2016,3.3534996646267246e-07,1.1806638111622192e-08
2017,2.8828907261413406e-07,5.282783682725167e-09
2018,3.1545522460874054e-07,1.4972506734434177e-08
2019,2.933635983026761e-07,1.2754939104908658e-08
