year,étant_VERB égale_ADJ,étant_VERB légale_ADJ,etant_VERB égale_ADJ,etant_VERB egale_ADJ
1800,2.641098149069876e-07,0.0,0.0,0.0
1801,2.0001934331048687e-07,0.0,0.0,0.0
1802,3.8043282302169246e-07,0.0,0.0,0.0
1803,2.2038832980797451e-07,0.0,0.0,0.0
1804,3.114532205472642e-07,4.943701892301533e-09,0.0,0.0
1805,3.155594185955124e-07,5.685755422035754e-09,0.0,0.0
1806,2.305335300434308e-07,8.645007376628655e-09,0.0,0.0
1807,2.790015969367232e-07,2.8469551160981155e-09,2.8469551160981155e-09,0.0
1808,1.7675377250725433e-07,1.1330369531492579e-08,0.0,0.0
1809,3.365955478784599e-07,6.7770917766551975e-09,0.0,0.0
1810,3.6271964631851006e-07,2.106114038724627e-08,0.0,0.0
1811,2.582289084784861e-07,1.0028307073639553e-08,0.0,0.0
1812,3.5207148130211863e-07,1.8670457180292033e-08,0.0,0.0
1813,2.70319702622146e-07,1.4378708002027452e-08,0.0,0.0
1814,1.950939889638903e-07,6.293354282149721e-09,0.0,0.0
1815,2.4275013288388436e-07,0.0,0.0,0.0
1816,2.64206846622983e-07,4.6352077731626196e-09,0.0,0.0
1817,1.7592670076282957e-07,3.113746815941454e-09,0.0,0.0
1818,6.795070817133819e-08,1.1921177378582115e-09,0.0,0.0
1819,1.552657522552181e-07,3.1053151161586356e-09,0.0,0.0
1820,1.376511846729045e-07,1.1866481131050932e-09,0.0,0.0
1821,1.3510238261460472e-07,1.97229765852569e-09,0.0,0.0
1822,2.887377377192024e-07,1.2030739071633434e-08,0.0,0.0
1823,2.490437225333153e-07,5.929612356680991e-09,0.0,0.0
1824,2.1389625715073635e-07,1.1789557774477544e-08,8.421112696055388e-10,0.0
1825,1.1887347994843367e-07,4.4027217427355936e-09,0.0,0.0
1826,1.8672926671570167e-07,8.807984341885344e-10,0.0,0.0
1827,1.769716391208931e-07,8.295545583791863e-09,0.0,0.0
1828,1.981217110369471e-07,4.586150570418113e-09,0.0,0.0
1829,1.5946108078424004e-07,7.715858174606183e-09,0.0,0.0
1830,1.711641033352862e-07,7.305785310052215e-09,0.0,0.0
1831,2.463410453401593e-07,1.5591206103948707e-09,0.0,0.0
1832,1.9483155710986466e-07,4.058990921151917e-09,0.0,0.0
1833,1.9923841421132238e-07,4.6334514003376626e-09,0.0,0.0
