year,avait_VERB également_ADV,avait_VERB egalement_ADV,avait_VERB légalement_ADV
1800,4.4961552703171037e-07,0.0,0.0
1801,5.048107141192304e-07,4.7623651688866175e-09,0.0
1802,3.513409012612101e-07,0.0,0.0
1803,5.324425842445635e-07,0.0,5.851017448321727e-09
1804,4.770672603626736e-07,0.0,2.4718509461507665e-09
1805,3.6388834701028827e-07,2.842877711017877e-09,2.842877711017877e-09
1806,7.319439419006812e-07,0.0,5.76333825108577e-09
1807,8.711682539797039e-07,0.0,1.7081731584767113e-08
1808,5.234630862105405e-07,2.2660739951163578e-09,4.5321479902327155e-09
1809,6.234924398995645e-07,1.3554183553310395e-08,0.0
1810,7.582010539408657e-07,7.020380277111826e-09,0.0
1811,8.574202752242854e-07,5.0141535368197765e-09,7.521229861140455e-09
1812,7.094773764038109e-07,2.6672082320544632e-09,2.6672083208723052e-08
1813,9.403674994246103e-07,2.8757416448144113e-09,1.7254450312975678e-08
1814,9.66029915616673e-07,3.1466771410748606e-09,9.440030979135372e-09
1815,1.1085588766945875e-06,8.091670444798638e-09,1.3486118000116676e-08
1816,9.038654980031424e-07,0.0,0.0
1817,7.737660894235887e-07,3.113746815941454e-09,1.0898113522728181e-08
1818,1.1468172260720166e-06,3.5763532135746345e-09,2.2650237241350624e-08
1819,9.678232117948937e-07,4.140420006848444e-09,1.6561680027393777e-08
1820,1.0489969781701802e-06,4.746592452420373e-09,1.6613073583471305e-08
1821,1.0551792684054817e-06,5.9168927535324656e-09,1.3806083387635226e-08
1822,9.71482222666964e-07,0.0,1.4035862250239006e-08
1823,1.0584357141851797e-06,0.0,1.3835761869529506e-08
1824,1.2244297522556735e-06,1.6842225392110777e-09,1.0105335235266466e-08
1825,1.2274787195565295e-06,8.805443041381977e-10,1.8491430608946757e-08
1826,1.01291823284555e-06,7.927186018719112e-09,7.0463874735082754e-09
1827,1.2507839528552722e-06,8.295545583791863e-09,1.1982455028203276e-08
1828,1.2648603160414496e-06,2.7516904310687096e-09,3.5771975603893225e-08
1829,1.5131655572986347e-06,6.001223074036943e-09,1.800366966620004e-08
1830,1.1543140772118932e-06,4.174734336004349e-09,2.6092090266160994e-08
1831,1.295629203923454e-06,7.795603274018958e-09,2.6505050598757407e-08
