year,faut_VERB imiter_VERB,faut_VERB limiter_VERB
1800,2.8926314143973286e-07,2.2009151834367913e-08
1801,1.9287578822968499e-07,4.7623651688866175e-09
1802,9.398928568771225e-08,2.0140561218795483e-08
1803,2.6134546260436764e-07,2.5354410126965377e-08
1804,1.6808586167371686e-07,1.2359254952798437e-08
1805,1.9331568523739406e-07,0.0
1806,1.498467980809437e-07,1.4408345627714425e-08
1807,7.971474502710407e-08,1.7081731584767113e-08
1808,1.8808414381510374e-07,4.5321479902327155e-09
1809,1.2424668227595248e-07,1.3554183553310395e-08
1810,2.4805342491163174e-07,4.680253518074551e-09
1811,5.766276700569506e-08,1.504245972228091e-08
1812,1.9203899626063503e-07,8.00162425207418e-09
1813,1.8117172828624462e-07,1.1502966579257645e-08
1814,1.7306724942045548e-07,5.034683425719777e-08
1815,9.440282155992463e-08,0.0
1816,2.1321955046005314e-07,3.244645441213834e-08
1817,1.665854512111764e-07,1.0898113522728181e-08
1818,1.8358613829150272e-07,1.5497530370112145e-08
1819,2.4946029952843674e-07,2.5877625375869684e-08
1820,2.278364377161779e-07,3.5599443393152796e-09
1821,2.3075882893408561e-07,2.3667571014129862e-08
1822,1.1028177482330648e-07,3.0076847679083585e-09
1823,1.4824030358795426e-07,2.9648061783404955e-09
1824,1.0189546628680546e-07,7.57900142644985e-09
1825,1.8227267162274075e-07,2.1133063299316746e-08
1826,1.241925815520517e-07,2.642395191543301e-09
1827,1.585370910106576e-07,9.217273166939322e-09
1828,1.2932945026022935e-07,1.559291185060374e-08
1829,1.8518059619054839e-07,8.57317605795771e-10
1830,1.7325147894098336e-07,3.1310507520032616e-09
1831,1.1693404644574912e-07,1.2472964883158966e-08
1832,1.2988770947686135e-07,1.2176972319366541e-08
1833,1.1467792404573629e-07,2.20088942626262e-08
1834,1.0454674281845655e-07,1.4001796166951408e-08
1835,1.1722786297241328e-07,2.117664621437143e-08
1836,1.4785649682380608e-07,7.392825018825988e-09
1837,1.7533885454668052e-07,1.1132625488130543e-08
1838,1.0920039983375318e-07,6.943378316748294e-09
1839,1.1466019600447908e-07,1.11863602825224e-08
1840,8.790170369366024e-08,1.0191501864653674e-08
1841,1.2584274600158096e-07,2.247191943638427e-08
1842,1.3081117344881932e-07,1.9453969102301016e-08
1843,1.0750578383067477e-07,3.9576303123567413e-08
1844,1.783782437314585e-07,2.085653250105679e-08
1845,1.2276501593078137e-07,1.2276501593078137e-08
1846,1.1650457309997364e-07,2.6345256642912318e-08
1847,1.1379702158365035e-07,3.829188699455699e-08
1848,1.641225253479206e-07,4.183515400768556e-08
1849,7.625267528510449e-08,2.0948537127196687e-08
1850,1.0522943938440221e-07,3.2587180953669304e-08
1851,1.1931462040593033e-07,2.257303499675345e-08
1852,1.1133032984389502e-07,2.6042181744401205e-08
1853,1.128695146235259e-07,2.508211416341055e-08
1854,1.413220758195166e-07,1.1950028522278444e-08
1855,1.0879220724291372e-07,2.4411910715116392e-08
1856,1.76024428810706e-07,1.7602443946884705e-08
1857,1.1862066884305023e-07,1.5620829074691756e-08
1858,1.2870367527284543e-07,4.893676130990343e-09
1859,1.7517076855710911e-07,2.1387128512628806e-08
1860,1.0024032803812588e-07,1.0527522853465143e-08
