year,étant_VERB égaux_ADJ,étant_VERB légaux_ADJ
1800,2.986956246786576e-07,0.0
1801,2.404994461358001e-07,0.0
1802,2.1707049313590687e-07,0.0
1803,1.4237475909339992e-07,0.0
1804,1.2853624298259092e-07,0.0
1805,1.2792949632967066e-07,0.0
1806,2.0459850702536642e-07,0.0
1807,1.7366426163789583e-07,0.0
1808,2.5380029455845943e-07,0.0
1809,2.9141494906070875e-07,0.0
1810,2.106114038724627e-07,0.0
1811,2.0307321335621964e-07,0.0
1812,3.0139452178445936e-07,0.0
1813,2.0705340375570813e-07,0.0
1814,2.6117419338334e-07,0.0
1815,7.552225866902518e-08,0.0
1816,2.248075787747439e-07,0.0
1817,1.7592670076282957e-07,0.0
1818,6.199012148044858e-08,0.0
1819,1.604412744882211e-07,0.0
1820,1.3171793966648693e-07,0.0
1821,1.6567300065162271e-07,0.0
1822,2.3058916553964082e-07,0.0
1823,1.1661570198384652e-07,0.0
1824,1.1368501873221248e-07,0.0
1825,1.4881199206229212e-07,0.0
1826,1.0129181760021311e-07,0.0
1827,6.636436467033491e-08,0.0
1828,1.440051278223109e-07,0.0
1829,1.1488055662312036e-07,0.0
1830,1.6803305413759517e-07,2.0873671680021744e-09
1831,1.886535869743966e-07,3.1182412207897414e-09
1832,1.2176973029909277e-07,1.3529969367098715e-09
1833,2.258807541011265e-07,1.1583628500844156e-09
1834,1.9975895781954023e-07,1.8669061851994684e-09
1835,1.1269001021219083e-07,0.0
1836,8.400937900887584e-08,2.016224964762614e-09
1837,1.3428729062070488e-07,0.0
1838,1.218247263068406e-07,0.0
1839,1.230499577786759e-07,0.0
1840,1.5159858435254137e-07,0.0
1841,1.6115576784159202e-07,0.0
1842,1.2678620464612322e-07,1.341653010911159e-09
1843,1.3526826592169527e-07,0.0
1844,1.7508510552488588e-07,0.0
1845,1.1495269802708208e-07,0.0
1846,1.1299187718805115e-07,0.0
1847,1.337519393018738e-07,0.0
1848,2.276797772537975e-07,8.04522137798358e-09
1849,1.7680565633781953e-07,0.0
1850,1.5546801535037957e-07,0.0
1851,1.064157402197452e-07,6.449438760824933e-09
1852,1.2955985084772692e-07,6.510545436100301e-10
1853,1.660197028741095e-07,1.7915795513800958e-09
1854,1.1066765637224307e-07,0.0
1855,1.0826151708442922e-07,5.306937111981824e-10
1856,1.439258596747095e-07,0.0
1857,1.2008511873773386e-07,0.0
1858,9.39585760306727e-08,9.787352039936081e-10
1859,1.242490270669805e-07,0.0
1860,1.199222197101335e-07,9.154367819341758e-10
1861,1.169559027403011e-07,0.0
1862,1.1430505253429146e-07,4.517986262886353e-10
1863,1.1337789374010754e-07,0.0
1864,1.3041659485679702e-07,0.0
1865,1.035505761137756e-07,0.0
1866,1.1969407864853565e-07,9.731225825149181e-10
1867,1.1695275503598168e-07,0.0
1868,1.565940124237386e-07,3.951899252285784e-09
1869,1.0108884396231588e-07,0.0
1870,1.1238735453389381e-07,5.734048791339319e-10
1871,9.134212319850121e-08,1.0621177271019633e-09
