year,serait_VERB en_ADP,serait_VERB lent_ADJ
1800,1.7607320614843047e-06,3.144164484325529e-09
1801,1.8096988014804083e-06,0.0
1802,2.1975590698275482e-06,0.0
1803,1.5875760936978622e-06,0.0
1804,2.9093685043335427e-06,2.4718509461507665e-09
1805,1.7000409116008086e-06,0.0
1806,1.9508900095388526e-06,0.0
1807,3.154426167384372e-06,0.0
1808,2.4224329990829574e-06,0.0
1809,2.2748438368580537e-06,0.0
1810,2.461813437548699e-06,1.1700633351097167e-08
1811,2.5296403691754676e-06,0.0
1812,2.8245735848031472e-06,0.0
1813,3.3732449082890525e-06,0.0
1814,2.5267818273277953e-06,0.0
1815,2.7754431357607245e-06,0.0
1816,2.8437000310077565e-06,0.0
1817,2.6357865863246843e-06,3.113746815941454e-09
1818,2.3162847355706617e-06,9.536941902865692e-09
1819,3.126017190879793e-06,7.24573512300708e-09
1820,3.183776925652637e-06,1.542642635854463e-08
1821,3.295709348094533e-06,1.97229765852569e-09
1822,3.537037173373392e-06,1.2030739071633434e-08
1823,3.1407178084918996e-06,9.882686891060644e-10
1824,3.079600901401136e-06,0.0
1825,3.2870718769117957e-06,2.641632912414593e-09
1826,3.61127354153723e-06,2.642395191543301e-09
1827,4.133025413466385e-06,0.0
1828,3.945924163417658e-06,6.420610709767516e-09
1829,4.537781933322549e-06,1.2002446148073886e-08
1830,4.062016614625463e-06,0.0
1831,3.698234195326222e-06,1.5591206548037917e-08
1832,4.000812168669654e-06,6.764984572527055e-09
1833,4.07975403504679e-06,5.791814139399776e-09
1834,3.970909347117413e-06,1.120143711119681e-08
1835,3.758854745683493e-06,2.2689263801112247e-09
1836,3.7649642763426527e-06,1.2097349788575684e-08
1837,4.036968221043935e-06,4.174734336004349e-09
1838,4.005697974207578e-06,2.019891809368346e-08
1839,3.846010713459691e-06,7.690622361167243e-09
1840,4.1721459638210945e-06,1.7198159341091923e-08
1841,4.6831482904963195e-06,2.247191943638427e-08
1842,4.722618541563861e-06,3.3541325272778977e-09
1843,4.475666628422914e-06,7.088293507706567e-09
1844,4.583497684507165e-06,7.1351298203126134e-09
1845,4.41563452113769e-06,6.696273757711424e-09
1846,4.643790362024447e-06,1.2294452567118697e-08
1847,4.6333184400282335e-06,1.1325769655456952e-08
1848,4.436135441210354e-06,5.63165514222419e-09
1849,4.762859589391155e-06,7.54147322368226e-09
1850,4.49295748694567e-06,6.788996032014438e-10
1851,4.210193765175063e-06,2.579775504329973e-09
1852,3.936926987080369e-06,2.7344290387532055e-08
1853,3.841743819066323e-06,2.9859659189668264e-09
1854,3.855182967527071e-06,5.195664343204953e-09
1855,3.861327513732249e-06,0.0
1856,3.91964977097814e-06,5.177189343896771e-09
1857,3.819292487605708e-06,3.905207268672939e-09
1858,3.7911308936600108e-06,4.893676019968041e-10
1859,4.045731657242868e-06,1.018434669930457e-08
1860,4.083305611857213e-06,4.57718396518203e-09
1861,4.1939065340557136e-06,2.2165028923382124e-08
1862,4.128084128751652e-06,5.421583626485926e-09
1863,3.896803264069604e-06,1.9978483312144135e-09
1864,3.916333753295476e-06,6.233146443435089e-09
1865,3.88926537198131e-06,4.706844358715045e-10
1866,3.7961513044137973e-06,7.298419202328432e-09
1867,3.852646841551177e-06,7.76449837758264e-09
1868,3.959803052566713e-06,3.457911734727759e-09
1869,4.1207135836884845e-06,8.790334682373668e-09
1870,4.188149432593491e-06,2.0069171213776826e-08
1871,4.423720383783802e-06,1.274541272522356e-08
1872,4.155731403443497e-06,3.628403577593531e-09
1873,4.202175205136882e-06,8.380406590902112e-09
1874,4.004183210781775e-06,2.3898436563030145e-09
1875,4.0588515730632935e-06,5.149374260327022e-09
1876,3.866426595777739e-06,5.441413541973361e-09
1877,3.739958174264757e-06,3.710889595609501e-09
1878,3.994857252109796e-06,3.6234530931267273e-09
1879,3.873923105857102e-06,5.498392852132383e-09
1880,3.891781943821115e-06,1.9253538763308597e-09
1881,3.8007137845852412e-06,1.1156012114099667e-08
1882,4.163608991802903e-06,7.986462158271479e-09
1883,3.7644301755790366e-06,4.423537092179686e-09
1884,3.8870794014655985e-06,5.281357573494461e-09
1885,3.6946382806490874e-06,5.80107206715752e-09
1886,3.7881832213315647e-06,5.808117542471791e-09
1887,3.820726760750404e-06,1.9586774424595887e-09
1888,3.7752020034531597e-06,6.340614699951175e-10
1889,3.7897812035225797e-06,8.14467782106476e-09
1890,3.910347004421055e-06,5.898947996740844e-09
1891,3.952016413677484e-06,4.461953917456185e-09
1892,3.778032350965077e-06,9.402768341715273e-09
1893,3.949392521462869e-06,8.621783287310336e-09
1894,3.971229943999788e-06,4.411077725308132e-09
1895,3.896450834872667e-06,2.4074457982692365e-09
1896,3.830709829344414e-06,3.5382172747233653e-09
1897,3.892244876624318e-06,1.5732126712464378e-08
1898,3.793926907746936e-06,5.6583546736987955e-09
1899,3.855485829262761e-06,6.633094074004475e-09
1900,3.574040192688699e-06,3.114631885736685e-09
1901,3.8919979488127865e-06,7.824234593556412e-09
1902,3.6463768537942087e-06,8.838511256215043e-09
1903,4.066365818289341e-06,9.1803746826713e-09
1904,3.886928880092455e-06,3.2247751136083025e-09
1905,4.013006218883675e-06,4.64468330463319e-09
