year,fût_VERB à_ADP,fût_VERB a_ADP,fût_VERB là_ADV
1800,1.7230021285286057e-06,0.0,2.3266817095191072e-07
1801,1.6382535932280007e-06,0.0,2.28593535211985e-07
1802,1.331514908997633e-06,0.0,1.320325679898815e-07
1803,1.4217972648111754e-06,1.950339223455444e-09,1.326230716358623e-07
1804,2.358145820835489e-06,0.0,3.732494917585427e-07
1805,1.8450276684234268e-06,2.842877711017877e-09,1.5635826855486812e-07
1806,1.9336000605107984e-06,2.881669125542885e-09,2.7664023605211696e-07
1807,1.839133005887561e-06,5.693910232196231e-09,2.5053205376934784e-07
1808,1.590783995197853e-06,4.5321479902327155e-09,2.2660739773527894e-07
1809,1.845627934926597e-06,2.259030518203531e-09,1.8749953767382976e-07
1810,2.349487203900935e-06,0.0,2.9953622515677125e-07
1811,1.75996785856114e-06,5.0141535368197765e-09,2.2312983105621242e-07
1812,1.6910099702727166e-06,2.6672082320544632e-09,2.1337666566978442e-07
1813,1.967007392522646e-06,0.0,2.6169249167651287e-07
1814,2.114566996169742e-06,9.440030979135372e-09,1.3845379953636439e-07
1815,1.7666814073891146e-06,0.0,2.3735567822313897e-07
1816,1.779919784894446e-06,0.0,3.0592372013416025e-07
1817,1.8604637261887547e-06,0.0,2.584409912742558e-07
1818,2.0015656900795875e-06,4.768470951432846e-09,2.741870730460505e-07
1819,1.942892140505137e-06,2.070210003424222e-09,2.4221458261308726e-07
1820,1.9010102505490067e-06,1.1866481131050932e-09,2.456361585245759e-07
1821,1.9930068901885534e-06,9.86148829262845e-10,3.3134600130324543e-07
1822,2.0863305962848244e-06,1.0025615893027862e-09,2.0853281057497952e-07
1823,2.7720936941477703e-06,5.929612356680991e-09,3.2316387432729243e-07
1824,2.1162256871321006e-06,2.5263338088166165e-09,3.545288507211808e-07
1825,2.434705038467655e-06,1.7610886082763955e-09,2.2894151641139615e-07
1826,2.3860829969635233e-06,4.403992170942672e-09,2.219612014187078e-07
1827,2.3568566120957257e-06,3.6869091668556564e-09,2.755964771949948e-07
1828,2.247213842565543e-06,3.6689205562545624e-09,2.678311830095481e-07
1829,2.240170942968689e-06,1.714635211591542e-09,3.2406606464974175e-07
1830,2.151031821995275e-06,3.1310507520032616e-09,3.0058086508688575e-07
1831,1.9457825146673713e-06,6.236482219534878e-09,2.7128697865919094e-07
1832,2.0403194866958074e-06,1.0823975604701275e-08,3.111892965534935e-07
1833,1.7607114841666771e-06,5.791814250422078e-09,3.185497803315229e-07
1834,1.8379691937298048e-06,1.213489042584115e-08,2.6603413516568253e-07
1835,2.219766201960738e-06,3.025235173481633e-09,4.023562780730572e-07
1836,1.977244664885802e-06,4.70452493628315e-09,3.4410240346005594e-07
1837,2.0609272723959293e-06,8.349469338142512e-09,3.061472000354115e-07
1838,2.1625467070407467e-06,8.2058102535143e-09,3.14345669494287e-07
1839,2.112124548148131e-06,4.894032734625853e-09,2.460999155573518e-07
1840,2.239582499896642e-06,5.7327197988676915e-09,3.573395304101723e-07
1841,1.9865176454914035e-06,1.926164561183441e-09,3.0818631557849585e-07
1842,2.027908521995414e-06,7.379091560011375e-09,2.89797043251383e-07
1843,1.7549432413943578e-06,4.13483786099178e-09,2.73489973778851e-07
1844,1.8167137341151829e-06,1.097712254427563e-09,2.694883676213067e-07
1845,1.7159201206595753e-06,1.674068439427856e-09,2.8459163559091394e-07
1846,1.8266043753101258e-06,2.9272506640865004e-09,3.27852063719547e-07
1847,1.7964828202821082e-06,3.775256551818984e-09,2.9123407330189366e-07
1848,1.6999553054120042e-06,6.4361772578180876e-09,2.598606556603045e-07
1849,1.7378906704834662e-06,8.379414939696517e-10,2.639515628288791e-07
1850,1.7264417238038732e-06,2.0366988096043315e-09,2.7359652676750557e-07
1851,1.842604660851066e-06,4.514607354622058e-09,2.4572361212449323e-07
